N	2gram	Nazirov_Vr	RusskieA
1	и в	8	79
2	в том	3	64
3	том что	3	59
4	что в	7	57
5	т е	3	54
6	не только	9	41
7	во время	2	38
8	в этом	8	33
9	как бы	4	31
10	но и	7	31
11	п в	2	30
12	как и	6	28
13	может быть	4	28
14	в этот	3	26
15	а н	2	25
16	одна из	2	24
17	о том	4	23
18	при этом	4	22
19	там же	2	20
20	это не	4	20
21	а в	2	20
22	из них	2	19
23	все это	4	18
24	таким образом	2	17
25	то что	7	17
26	вместе с	2	17
27	об этом	5	17
28	потому что	1	17
29	во многих	1	16
30	один из	1	15
31	в них	2	14
32	и с	6	14
33	не менее	2	14
34	тем не	1	14
35	и что	8	14
36	и не	5	14
37	для нас	4	14
38	уже не	2	13
39	к этому	3	13
40	как в	1	13
41	еще не	2	13
42	не может	2	13
43	тем что	3	12
44	полагает что	1	12
45	не имеет	1	11
46	но это	2	11
47	далеко не	3	11
48	все же	6	10
49	его в	3	10
50	между тем	5	10
51	а б	1	10
52	так и	1	10
53	а также	2	10
54	то же	5	9
55	о чем	2	9
56	что они	1	9
57	и все	7	9
58	того как	1	9
59	том же	2	9
60	но в	6	9
61	в честь	2	9
62	но не	1	9
63	в этих	1	8
64	представление о	1	8
65	так же	4	8
66	после этого	2	8
67	связи с	3	8
68	во всех	1	8
69	что это	1	8
70	их в	2	8
71	в россии	5	8
72	того что	1	8
73	не все	1	8
74	же в	2	8
75	в это	2	7
76	в своем	3	7
77	на них	1	7
78	к нему	1	7
79	в свете	1	7
80	а с	2	7
81	не совсем	1	7
82	было бы	1	7
83	из сибири	1	7
84	еще в	1	7
85	это время	1	7
86	начиная с	2	7
87	до конца	1	7
88	ничего не	1	7
89	и как	3	7
90	предположить что	1	7
91	в эти	2	7
92	в году	18	6
93	же как	2	6
94	что этот	1	6
95	не всегда	1	6
96	но они	1	6
97	в одном	1	6
98	в качестве	1	6
99	в разные	1	6
100	в таком	1	6
101	также в	1	6
102	и у	3	6
103	в этой	2	6
104	в нем	6	6
105	в в	2	6
106	на стол	1	6
107	друг друга	1	6
108	не будем	1	6
109	в их	1	6
110	на нее	1	6
111	так в	2	6
