N	2gram	Vinokur_St	SlovoVZh
1	не может	10	16
2	может быть	16	14
3	точки зрения	16	14
4	как бы	8	13
5	и его	11	13
6	таким образом	16	12
7	и в	61	12
8	отношению к	3	11
9	по отношению	3	11
10	в нашем	1	11
11	и не	23	10
12	так как	7	9
13	если бы	11	9
14	прежде всего	11	8
15	для нас	7	7
16	сказать что	9	7
17	художественного произведения	1	7
18	в ней	9	6
19	в том	56	6
20	в процессе	3	6
21	только в	11	6
22	в нем	9	6
23	при этом	4	6
24	и др	1	5
25	можно сказать	2	5
26	что мы	5	5
27	хотя бы	8	5
28	должна быть	3	5
29	то же	7	5
30	а не	19	5
31	в виду	6	5
32	то что	27	5
33	как и	11	5
34	как в	15	5
35	том что	49	5
36	но в	16	5
37	никогда не	7	5
38	в самом	14	4
39	и к	5	4
40	и на	7	4
41	свое выражение	2	4
42	материала и	2	4
43	не только	36	4
44	ни было	1	4
45	и является	1	4
46	на самом	8	4
47	за пределы	2	4
48	от того	1	4
49	его в	4	4
50	литературы и	3	4
51	с другой	11	4
52	не в	15	4
53	дело в	9	4
54	отношение к	3	4
55	что не	3	4
56	так и	15	4
57	уже не	1	4
58	жизни и	6	4
59	в этом	37	4
60	все же	12	4
61	зависимости от	2	4
62	к нему	2	4
63	бы то	2	3
64	как к	3	3
65	и с	6	3
66	до сих	13	3
67	и более	4	3
68	в котором	11	3
69	и по	6	3
70	в поэзии	1	3
71	и пр	4	3
72	так называемой	2	3
73	мы не	3	3
74	то ни	2	3
75	между тем	7	3
76	для него	10	3
77	отношении к	3	3
78	того что	14	3
79	быть и	2	3
80	и уже	3	3
81	когда он	1	3
82	тем не	4	3
83	в некоторых	3	3
84	все это	13	3
85	он должен	2	3
86	ни в	5	3
87	в пределах	1	3
88	сколько бы	1	3
89	конечно не	2	3
90	по себе	3	3
91	так же	7	3
92	в них	2	3
93	в каком	4	3
94	в творчестве	1	3
95	самом деле	14	3
96	только на	1	3
97	но для	3	3
98	в себе	3	3
99	слово в	1	3
100	ясно что	10	3
101	все эти	7	3
102	о том	30	3
103	в своей	12	3
104	здесь не	1	3
105	не менее	8	3
106	из этого	1	3
107	и проч	1	3
108	в такой	2	3
109	нуждается в	2	3
110	да и	4	3
111	но и	28	3
112	бы мы	2	3
113	ведь и	3	3
114	и для	4	3
115	точек зрения	1	3
116	точка зрения	1	3
117	на границе	1	3
118	сих пор	12	3
119	и вообще	5	3
120	не к	2	3
121	еще не	4	3
122	в особенности	1	2
123	что в	41	2
124	этих двух	4	2
125	самое слово	1	2
126	истории литературы	2	2
127	но это	9	2
128	не так	2	2
129	и потому	3	2
130	и другие	3	2
131	ни на	3	2
132	какой степени	1	2
133	и то	6	2
134	выражение в	2	2
135	опираясь на	1	2
136	мы можем	1	2
137	в данном	16	2
138	в то	10	2
139	еще раз	1	2
140	которые мы	1	2
141	разрыв между	1	2
142	на один	1	2
143	данном случае	7	2
144	в момент	1	2
145	с одной	3	2
146	совпадает с	3	2
147	уже в	3	2
148	там где	6	2
149	в его	19	2
150	с этой	5	2
151	она не	3	2
152	это не	8	2
153	одной стороны	2	2
154	дело с	2	2
155	с точки	10	2
156	мы имеем	2	2
157	и дает	1	2
158	была бы	10	2
159	искусства и	1	2
160	на него	3	2
161	кроме того	3	2
162	тогда когда	1	2
163	от всех	1	2
164	и слово	1	2
165	как это	6	2
166	те же	1	2
167	но все	9	2
168	но зато	1	2
169	мы в	1	2
170	одно и	1	2
171	и та	1	2
172	и что	8	2
173	что и	8	2
174	в отношении	11	2
175	в форме	2	2
176	почти исключительно	1	2
177	конечно в	1	2
178	другой стороны	9	2
179	этой стороны	1	2
180	и вполне	4	2
181	но что	2	2
182	и те	4	2
183	как не	1	2
184	в этих	5	2
185	можно найти	3	2
186	тому же	2	2
187	связь с	1	2
188	оно не	3	2
189	бы даже	1	2
190	а к	2	2
191	и притом	1	2
192	но этот	1	2
193	на это	2	2
194	к ним	1	2
195	и здесь	2	2
196	как на	10	2
197	что форма	1	2
198	и все	3	2
199	но не	5	2
200	общего с	3	2
201	форму и	1	2
202	речи в	1	2
203	допустим что	2	2
204	могут быть	5	2
205	значения и	1	2
206	героев и	1	2
207	в самое	1	2
208	до конца	4	2
209	стороны и	1	2
210	в своем	8	2
211	за его	1	2
212	в корне	1	2
213	в какой	4	2
214	вместе с	5	2
215	между ними	1	2
216	место в	2	2
217	в зависимости	2	2
218	к его	2	2
219	настоящее время	2	2
220	лежит на	1	2
221	такой же	6	2
222	бы оно	1	2
223	и так	3	2
224	оценок и	1	2
225	с его	3	2
226	они ни	1	2
227	себя и	1	2
228	на все	2	2
229	является для	1	2
230	к этому	4	2
231	бы не	2	2
232	подчеркнуть что	5	2
233	между собой	1	2
234	он не	11	2
235	в условиях	1	2
236	независимо от	1	2
237	не отражает	1	2
238	эта последняя	1	2
239	что слово	1	2
240	на материале	1	2
241	в чем	4	2
242	в настоящее	2	2
243	и совершенно	1	2
244	словами и	1	2
245	точку зрения	3	2
246	едва ли	1	2
247	ничего не	6	2
248	более того	1	2
249	или иным	3	1
250	взаимоотношения между	2	1
251	все в	2	1
252	в русской	4	1
253	на которую	1	1
254	к одному	1	1
255	себе в	2	1
256	они являются	1	1
257	то в	3	1
258	одним и	2	1
259	именно такой	1	1
260	одной точки	1	1
261	во всяком	8	1
262	от него	1	1
263	в стиле	1	1
264	это и	5	1
265	и тех	1	1
266	литературы в	1	1
267	что они	9	1
268	его и	1	1
269	и такой	1	1
270	является в	1	1
271	во всех	8	1
272	не зная	2	1
273	но сами	1	1
274	не является	5	1
275	а с	6	1
276	только к	2	1
277	если оно	1	1
278	того в	1	1
279	что оно	4	1
280	и он	2	1
281	это делает	1	1
282	было в	2	1
283	с самого	4	1
284	зрения на	1	1
285	образом мы	1	1
286	каких бы	2	1
287	на эти	7	1
288	на этом	1	1
289	является и	1	1
290	них в	1	1
291	которой он	1	1
292	не имеют	2	1
293	и было	1	1
294	само собой	1	1
295	не ради	1	1
296	то есть	2	1
297	может особенно	1	1
298	нельзя было	1	1
299	и сейчас	6	1
300	всех языках	1	1
301	материала в	1	1
302	не нужен	1	1
303	но тот	1	1
304	в лучшем	1	1
305	к одной	1	1
306	нас не	3	1
307	слову в	1	1
308	и который	3	1
309	атмосферы вокруг	1	1
310	даже и	2	1
311	действительно является	1	1
312	и вот	1	1
313	зрения как	1	1
314	не знают	1	1
315	но при	1	1
316	героя в	1	1
317	в значительной	2	1
318	входит в	1	1
319	только и	1	1
320	и почти	1	1
321	является следствием	1	1
322	того чтобы	15	1
323	не должен	2	1
324	в основе	4	1
325	и их	3	1
326	еще более	5	1
327	не должно	1	1
328	ту же	1	1
329	на основе	1	1
330	в другом	5	1
331	формы но	1	1
332	несмотря на	4	1
333	но то	1	1
334	но эти	2	1
335	это только	1	1
336	случае она	1	1
337	конечно на	1	1
338	что собственно	1	1
339	на протяжении	1	1
340	степени не	1	1
341	во многих	3	1
342	большим трудом	1	1
343	для всего	1	1
344	что это	5	1
345	обычно не	1	1
346	хотя и	4	1
347	характерны для	1	1
348	и тогда	2	1
349	этом отношении	13	1
350	же степени	1	1
351	ни была	2	1
352	о чем	4	1
353	и соответствующие	1	1
354	точно и	2	1
355	в ее	6	1
356	это человек	4	1
357	и тем	3	1
358	она стала	1	1
359	в руках	2	1
360	кажется что	5	1
361	сам по	1	1
362	относится не	1	1
363	какой бы	1	1
364	бы только	2	1
365	в частности	6	1
366	говорит о	5	1
367	нашего времени	1	1
368	не как	2	1
369	со всей	1	1
370	и вся	2	1
371	должны быть	4	1
372	в качестве	7	1
373	и некоторые	1	1
374	потому не	1	1
375	значение этой	1	1
376	не хочет	2	1
377	в содержании	1	1
378	в науке	1	1
379	пор не	1	1
380	поэта в	1	1
381	в одном	7	1
382	в области	16	1
383	одно из	3	1
384	лет и	1	1
385	у нас	12	1
386	на которой	2	1
387	с жизнью	1	1
388	можно было	14	1
389	эпохи но	1	1
390	поэта как	1	1
391	в приведенном	1	1
392	же случае	1	1
393	и делает	1	1
394	быть ни	1	1
395	бы они	1	1
396	а между	2	1
397	в результате	5	1
398	и это	4	1
399	ни одной	2	1
400	как нечто	1	1
401	ни были	2	1
402	лишенным всякого	1	1
403	для них	2	1
404	значительной степени	3	1
405	этом смысле	2	1
406	с ней	1	1
407	и тот	1	1
408	том и	1	1
409	далеко не	1	1
410	только то	1	1
411	слова не	1	1
412	в современной	1	1
413	уже и	1	1
414	не вполне	1	1
415	у него	3	1
416	без того	1	1
417	так не	1	1
418	чем не	2	1
419	не на	3	1
420	в истории	5	1
421	не могут	2	1
422	ее отношении	1	1
423	по мнению	4	1
424	же время	5	1
425	не существует	4	1
426	более широком	1	1
427	при помощи	4	1
428	в виде	3	1
429	чего же	1	1
430	хочет этого	1	1
431	его положение	1	1
432	там же	1	1
433	в обоих	2	1
434	и общества	1	1
435	отметить что	4	1
436	отношения между	1	1
437	этом основании	1	1
438	самого начала	3	1
439	бы слова	1	1
440	всей его	1	1
441	произведение не	1	1
442	предполагает в	1	1
443	не было	7	1
444	когда мы	1	1
445	как например	2	1
446	связи с	3	1
447	им в	2	1
448	связанных с	1	1
449	сами по	2	1
450	более или	2	1
451	он еще	1	1
452	бы по	1	1
453	материал для	6	1
454	он имеет	1	1
455	вскрыть смысл	1	1
456	рассматривать как	1	1
457	что является	1	1
458	и приемов	1	1
459	время как	2	1
460	было бы	21	1
461	это же	1	1
462	не знает	2	1
463	образом не	2	1
464	свое утверждение	1	1
465	к тому	9	1
466	и общего	1	1
467	из двух	3	1
468	так называемую	1	1
469	в свои	1	1
470	себя на	1	1
471	них всегда	1	1
472	и можно	2	1
473	из нее	3	1
474	что здесь	2	1
475	ведь это	1	1
476	произведения в	2	1
477	как мы	1	1
478	которой можно	2	1
479	протяжении всей	1	1
480	что она	5	1
481	являются лишь	1	1
482	и о	4	1
483	слова с	1	1
484	на который	2	1
485	намека на	1	1
486	показать что	1	1
487	о самом	1	1
488	стороны поэзии	1	1
489	что для	4	1
490	времени очень	1	1
491	если мы	1	1
492	на одну	1	1
493	или о	2	1
494	тем же	3	1
495	известна и	1	1
496	него не	1	1
497	не те	1	1
498	найти в	1	1
499	вполне определился	1	1
500	и во	3	1
501	именно в	8	1
502	и таким	1	1
503	и богатая	1	1
504	уже на	1	1
505	и всего	1	1
506	они должны	1	1
507	то время	2	1
508	но эта	1	1
509	окончательном итоге	1	1
510	в таком	4	1
511	оно стало	2	1
512	формы для	1	1
513	например в	8	1
514	что я	3	1
515	само собою	2	1
516	тот же	2	1
517	вопросов касающихся	1	1
518	в высшей	1	1
519	положение в	1	1
520	относятся к	3	1
521	к которому	4	1
522	эти вопросы	3	1
523	имеем дело	2	1
524	время не	1	1
525	и без	4	1
526	на вещи	1	1
527	стиля и	1	1
528	нигде не	2	1
529	что все	3	1
530	как о	2	1
531	с искусством	1	1
532	проч все	1	1
533	столь же	5	1
534	том же	3	1
535	самом себе	1	1
536	в общем	2	1
537	конечно эти	1	1
538	есть в	2	1
539	же как	5	1
540	исходит из	1	1
541	том кто	3	1
542	места в	3	1
543	из его	3	1
544	в слове	5	1
545	яркое выражение	1	1
546	как будто	5	1
547	что именно	2	1
548	к вопросам	1	1
549	есть только	2	1
550	это прежде	2	1
551	явление можно	1	1
552	и всякого	1	1
553	но если	5	1
554	они не	2	1
555	почти единственным	1	1
556	и понимания	1	1
557	при таком	2	1
558	них и	2	1
559	на себя	3	1
560	от его	2	1
561	опираться на	1	1
562	чем мы	1	1
563	и только	3	1
564	так называемая	3	1
565	и словесной	1	1
566	были не	2	1
567	автора к	1	1
568	по своей	2	1
569	именно эта	1	1
570	в двух	4	1
571	убедиться в	2	1
572	или иного	4	1
573	лучшем случае	1	1
574	но уже	1	1
575	для этой	1	1
576	себе как	1	1
577	к вопросу	1	1
578	для этого	2	1
579	можно с	1	1
580	если она	1	1
581	себе и	1	1
582	чтобы убедиться	1	1
583	и обратно	1	1
584	для одной	1	1
585	не всегда	2	1
586	чтобы не	1	1
587	является то	1	1
