N	2gram	Propp_Isto	VeschiIm
1	т е	34	81
2	не есть	1	79
3	и не	12	57
4	не только	30	48
5	то что	12	48
6	не может	19	46
7	и в	41	45
8	и есть	2	40
9	и т	29	39
10	может быть	19	39
11	т д	25	38
12	а не	9	37
13	значит что	3	32
14	это значит	3	30
15	что я	2	26
16	потому что	13	25
17	не просто	3	24
18	было бы	4	24
19	только в	10	23
20	по себе	2	23
21	что она	6	23
22	в себе	3	23
23	сказать что	5	22
24	и что	15	22
25	как бы	8	20
26	что такое	2	20
27	что это	6	19
28	что же	2	19
29	но и	20	19
30	и ее	6	19
31	в этом	19	18
32	все же	14	18
33	есть только	1	18
34	так как	21	17
35	что мы	3	17
36	прежде всего	6	17
37	и это	9	17
38	есть не	1	17
39	таким образом	15	16
40	оно есть	2	16
41	того что	7	16
42	от всего	1	15
43	как и	8	15
44	уже не	8	15
45	в том	14	15
46	в ней	4	15
47	но это	5	14
48	и то	3	14
49	не в	12	14
50	в самом	2	13
51	не будет	6	13
52	том что	18	13
53	и больше	3	13
54	есть и	6	13
55	то ни	1	13
56	что в	21	12
57	и с	4	12
58	бы то	1	12
59	то же	12	12
60	и даже	3	12
61	о том	15	12
62	еще не	13	12
63	если мы	1	12
64	точки зрения	4	12
65	но если	2	12
66	ничего не	7	12
67	что они	5	12
68	что иное	2	12
69	ни было	1	12
70	не значит	1	12
71	что и	13	12
72	и как	3	12
73	и их	1	11
74	не менее	5	11
75	д и	1	11
76	и пр	2	11
77	тем не	4	11
78	ни в	4	11
79	что не	3	11
80	вовсе не	6	11
81	в то	6	11
82	и только	4	11
83	в чем	5	10
84	что оно	1	10
85	ясно что	2	10
86	с ее	1	10
87	есть ли	1	10
88	с ним	9	9
89	в результате	1	9
90	со стороны	3	9
91	то и	6	9
92	хотя бы	1	9
93	явление и	2	9
94	в своем	3	9
95	ни с	2	9
96	должно быть	1	9
97	это не	14	9
98	у нас	4	9
99	есть явление	2	9
100	но что	2	9
101	бы в	1	9
102	если оно	1	9
103	ли это	1	9
104	она не	3	9
105	другими словами	3	9
106	так что	6	9
107	но не	8	9
108	на то	5	9
109	и его	11	9
110	должна быть	3	8
111	это есть	1	8
112	если бы	3	8
113	смысла и	1	8
114	с тем	8	8
115	что он	29	8
116	себя и	1	8
117	отличается от	4	8
118	в свете	4	8
119	но в	7	8
120	мы не	10	8
121	мы имеем	27	8
122	в ее	3	8
123	все это	9	8
124	со своим	4	8
125	его в	7	8
126	указывает на	1	8
127	и потому	1	8
128	не с	2	8
