N	2gram	Propp_Isto	Stilisti
1	и в	41	42
2	как бы	8	30
3	не только	30	28
4	прежде всего	6	22
5	хотя бы	1	18
6	то же	12	16
7	но и	20	16
8	и не	12	14
9	может быть	19	13
10	не может	19	13
11	как и	8	12
12	что мы	3	11
13	мы уже	10	11
14	точки зрения	4	11
15	в этом	19	10
16	в себе	3	10
17	и как	3	10
18	мы должны	7	10
19	как мы	6	10
20	мы не	10	9
21	при этом	7	9
22	все же	14	9
23	язык и	1	9
24	эти слова	1	9
25	то что	12	9
26	для того	2	9
27	в то	6	9
28	таким образом	15	8
29	так как	21	8
30	с тем	8	8
31	и это	9	8
32	в ней	4	8
33	тем самым	3	8
34	что же	2	8
35	с его	4	8
36	ничего не	7	8
37	и на	12	7
38	так и	8	7
39	мы можем	11	7
40	только в	10	7
41	в которой	2	7
42	зависимости от	4	7
43	и его	11	7
44	потому что	13	7
45	того чтобы	1	7
46	другими словами	3	7
47	и тем	4	7
48	было бы	4	7
49	и той	1	7
50	и от	5	7
51	в зависимости	3	7
52	а не	9	7
53	никогда не	16	7
54	во всех	8	6
55	в его	4	6
56	не в	12	6
57	в нем	12	6
58	в конце	4	6
59	и так	2	6
60	на его	6	6
61	бы в	1	6
62	в свою	1	6
63	в форме	4	6
64	или как	1	6
65	когда мы	2	6
66	в этой	2	6
67	в области	3	6
68	в самом	2	5
69	связанных с	1	5
70	то есть	1	5
71	уже в	4	5
72	и их	1	5
73	с точки	1	5
74	те же	2	5
75	все время	2	5
76	самом деле	1	5
77	но все	5	5
78	и с	4	5
79	но в	7	5
80	тому что	2	5
81	вместе с	17	5
82	своей жизни	1	5
83	а с	3	5
84	мы увидим	6	5
85	как это	6	5
86	а в	12	5
87	же самое	1	5
88	в сознании	1	5
89	и то	3	5
90	же мы	6	5
91	независимо от	3	5
92	и наконец	6	5
93	мы видели	17	5
94	всего в	1	4
95	были бы	1	4
96	и к	1	4
97	мы видим	14	4
98	один из	7	4
99	всех своих	1	4
100	что это	6	4
101	на него	3	4
102	что такое	2	4
103	все это	9	4
104	в качестве	5	4
105	или иную	1	4
106	в одном	2	4
107	с появлением	6	4
108	его в	7	4
109	если бы	3	4
110	и все	6	4
111	к своему	4	4
112	у нас	4	4
113	как только	5	4
114	уже не	8	4
115	к тому	4	4
116	о том	15	4
117	связаны с	4	4
118	и без	1	4
119	в каждом	1	4
120	можно сказать	3	4
121	если мы	1	4
122	и пр	2	4
123	не существует	1	4
124	ту или	1	4
125	можно было	3	4
126	или иное	1	4
127	так же	6	4
128	в целом	2	4
129	не забудем	1	4
130	тем же	1	4
131	что именно	2	4
132	не просто	3	4
133	того что	7	4
134	какую роль	1	3
135	не так	4	3
136	этом случае	4	3
137	ответ на	6	3
138	видели что	4	3
139	что оно	1	3
140	и здесь	13	3
141	та же	5	3
142	что у	6	3
143	приближается к	1	3
144	что эти	4	3
145	как таковой	1	3
146	если он	5	3
147	для нас	8	3
148	и вот	2	3
149	в том	14	3
150	отношения к	2	3
151	хотя и	3	3
152	в разных	1	3
153	в ее	3	3
154	забудем что	1	3
155	из которых	3	3
156	мы легко	2	3
157	и уже	1	3
158	что и	13	3
159	долгое время	1	3
160	между ними	1	3
161	но что	2	3
162	только он	2	3
163	связи с	3	3
164	и даже	3	3
165	нам в	1	3
166	здесь мы	11	3
167	в основе	2	3
168	но вот	2	3
169	но для	3	3
170	вряд ли	1	3
171	все эти	8	3
172	как в	17	3
173	по своему	1	3
174	должно было	2	3
175	том что	18	3
176	бы мы	1	3
177	об этом	7	3
178	перед нами	4	3
179	еще не	13	3
180	до того	1	3
181	но при	2	3
182	его и	1	3
183	то он	2	3
184	в котором	3	3
185	и социального	1	3
186	если не	4	3
187	связь и	2	3
188	этом мы	2	3
189	для наших	1	3
190	и поэтому	1	3
191	во второй	1	3
192	не знает	2	3
193	в частности	3	3
194	только на	2	3
195	не с	2	3
196	в тех	8	3
197	связь между	1	3
198	о своем	1	3
199	в начале	2	3
200	конечно не	2	3
201	уже видели	3	3
202	от того	4	3
203	перед ним	2	3
204	их в	3	3
205	заметить что	1	3
206	не будет	6	3
207	сказать что	5	3
208	главным образом	3	3
209	жизни и	3	3
210	чаще всего	8	3
211	этого слова	1	3
212	и эта	5	3
213	к той	1	3
214	у них	3	3
215	не мог	1	3
216	это не	14	3
217	из них	2	3
218	только одна	2	2
219	весь комплекс	1	2
220	был и	1	2
221	находятся в	1	2
222	и он	8	2
223	очевидно что	1	2
224	мы найдем	2	2
225	и этот	1	2
226	и конечно	1	2
227	мы как	1	2
228	ничем не	2	2
229	на эти	2	2
230	что иное	2	2
231	должно быть	1	2
232	нас не	2	2
233	увидим что	2	2
234	зависит от	1	2
235	наших целей	1	2
236	был бы	1	2
237	и при	2	2
238	и потому	1	2
239	мы имеем	27	2
240	еще более	1	2
241	глаза и	1	2
242	может получить	1	2
243	с ним	9	2
244	еще мало	1	2
245	кроме того	6	2
246	о чем	2	2
247	что то	1	2
248	с природой	1	2
249	но как	4	2
250	смысле этого	1	2
251	как нечто	1	2
252	с собой	7	2
253	но это	5	2
254	в их	4	2
255	а на	2	2
256	связь с	7	2
257	не было	3	2
258	в предыдущей	1	2
259	на этот	4	2
260	из героев	1	2
261	или в	11	2
262	из двух	1	2
263	с ней	4	2
264	в наших	1	2
265	всех его	2	2
266	равно как	1	2
267	но эта	2	2
268	но не	8	2
269	тем что	11	2
270	из всего	3	2
271	он говорит	4	2
272	в жизни	2	2
273	в связи	3	2
274	ясно что	2	2
275	как не	1	2
276	эти три	3	2
277	что он	29	2
278	помнить что	1	2
279	случаях когда	7	2
280	или даже	3	2
281	не есть	1	2
282	в своей	4	2
283	на эту	1	2
284	здесь происходит	1	2
285	в этих	16	2
286	на одном	1	2
287	и сам	3	2
288	связанные с	3	2
289	больше и	3	2
290	ли он	5	2
291	по своей	1	2
292	при которых	2	2
293	себе и	3	2
294	тому же	1	2
295	должен быть	2	2
296	но мы	3	2
297	на первый	6	2
298	сих пор	5	2
299	связано с	7	2
300	в дальнейшем	3	2
301	мы обычно	1	2
302	первый взгляд	5	2
303	с этим	3	2
304	случай когда	2	2
305	к этому	5	2
306	человека в	1	2
307	ответить на	2	2
308	находит свое	1	2
309	между собой	1	2
310	вопрос о	6	2
311	видим что	4	2
312	со всех	1	2
313	в приведенных	3	2
314	теперь к	1	2
315	даже и	1	2
316	от лица	1	2
317	нашего сознания	1	2
318	из этих	6	2
319	его не	4	2
320	ни один	1	2
321	не должен	1	2
322	относится к	2	2
323	представляет собой	8	2
324	в какой	1	2
325	действительности он	1	2
326	не всегда	6	2
327	и тогда	1	2
328	он не	8	2
329	этот процесс	1	2
330	бытия в	1	2
331	в середине	2	2
332	только тогда	1	2
333	в так	1	2
334	в него	4	2
335	между двумя	2	2
336	и больше	3	2
337	для этого	1	2
338	и когда	2	2
339	тем и	1	2
340	ее с	2	2
341	по отношению	3	2
342	как уже	1	2
343	и те	2	2
344	останавливаться на	1	2
345	этот вопрос	3	2
346	а этот	1	2
347	не должно	1	2
348	ту же	3	2
349	но даже	1	2
350	самое время	2	2
351	при всем	1	2
352	себе в	3	2
353	должны были	4	2
354	смысл его	1	2
355	как например	1	2
356	отношение к	6	2
357	все больше	2	2
358	имели в	1	2
359	первобытного человека	1	2
360	друг другу	1	2
361	тех случаях	7	2
362	которые в	3	2
363	вовсе не	6	2
364	одной из	4	2
365	тот же	2	2
366	роль играет	1	2
367	есть не	1	2
368	отношению к	3	2
369	из трех	1	2
370	природы и	1	2
371	здесь не	4	2
372	однако в	2	2
373	в которых	2	2
374	эти вопросы	1	2
375	не будут	2	2
376	друг друга	2	2
377	только потому	1	2
378	и нет	3	2
379	таким же	2	2
380	в какой-то	1	2
381	подойти к	1	2
382	которая и	1	2
383	к нему	8	2
384	проследить эту	1	1
385	он пользуется	1	1
386	мы наблюдаем	1	1
387	в особенности	2	1
388	заставляет его	1	1
389	что в	21	1
390	которого он	1	1
391	это на	1	1
392	объединения в	1	1
393	было так	1	1
394	они являются	1	1
395	то в	1	1
396	та стадия	1	1
397	не происходит	3	1
398	и приведенное	1	1
399	и весь	1	1
400	именно к	1	1
401	дает нам	3	1
402	вместе со	2	1
403	и другие	10	1
404	утверждать что	3	1
405	которую они	1	1
406	совершенно особый	1	1
407	этап развития	1	1
408	можно заметить	1	1
409	в другой	3	1
410	форме мы	1	1
411	свое начало	2	1
412	все что	4	1
413	или наоборот	2	1
414	взгляд на	1	1
415	до сих	4	1
416	на языке	1	1
417	все его	3	1
418	он уже	1	1
419	еще раз	1	1
420	собой и	1	1
421	в прямом	1	1
422	ему в	1	1
423	на протяжении	1	1
424	руки или	1	1
425	и должны	1	1
426	же и	1	1
427	как нам	1	1
428	можно сделать	2	1
429	хлеб и	1	1
430	чего не	1	1
431	быть истолковано	1	1
432	них в	1	1
433	пришли к	3	1
434	здесь нет	4	1
435	в самый	1	1
436	должен стать	1	1
437	на вопрос	5	1
438	его самого	2	1
439	если в	3	1
440	происходит потому	1	1
441	также что	1	1
442	роль и	1	1
443	новые до	1	1
444	того как	5	1
445	о той	1	1
446	в основном	2	1
447	из комнаты	1	1
448	которые он	1	1
449	его с	2	1
450	но еще	1	1
451	в угоду	1	1
452	тогда когда	3	1
453	в состоянии	4	1
454	тридесятом государстве	1	1
455	что я	2	1
456	связан с	5	1
457	лишь только	1	1
458	дело с	2	1
459	одна и	1	1
460	над природой	1	1
461	увидим дальше	1	1
462	даже в	2	1
463	то у	1	1
464	которых он	2	1
465	многообразны и	1	1
466	формы в	1	1
467	всякого рода	1	1
468	уже знаем	5	1
469	бы на	1	1
470	тогда он	1	1
471	для возникновения	1	1
472	этот момент	1	1
473	тем как	1	1
474	связанное с	1	1
475	с некоторым	1	1
476	никак не	2	1
477	тем не	4	1
478	от всего	1	1
479	народов у	1	1
480	такое же	3	1
481	ясным что	1	1
482	в литературе	2	1
483	могла бы	1	1
484	до наших	1	1
485	не как	1	1
486	всегда уже	2	1
487	ее в	3	1
488	а затем	1	1
489	искать в	1	1
490	одно явление	1	1
491	совсем так	1	1
492	будет сказано	1	1
493	что собственно	2	1
494	всего мы	1	1
495	его но	1	1
496	это будет	1	1
497	для своего	1	1
498	он почти	1	1
499	легко можем	1	1
500	ни в	4	1
501	и делает	2	1
502	в результате	1	1
503	они будут	1	1
504	борьбы с	1	1
505	это история	1	1
506	другой стороны	17	1
507	знаем как	1	1
508	между этими	1	1
509	по ту	1	1
510	этими двумя	1	1
511	последний случай	1	1
512	и эти	5	1
513	по мере	1	1
514	бы что	2	1
515	это значит?	1	1
516	из многочисленных	1	1
517	себе не	2	1
518	предположить что	6	1
519	как можно	1	1
520	у него	16	1
521	не могут	3	1
522	он почувствовал	1	1
523	в более	3	1
524	не путем	1	1
525	к утверждению	2	1
526	и смысл	1	1
527	что самые	1	1
528	в виде	5	1
529	язык превратился	1	1
530	однако не	1	1
531	должен был	2	1
532	говорит он	1	1
533	похож на	1	1
534	должны помнить	1	1
535	особый и	1	1
536	за ним	3	1
537	в таких	3	1
538	как они	1	1
539	это всегда	1	1
540	положение и	1	1
541	более или	3	1
542	или не	1	1
543	отличаются от	1	1
544	иногда и	1	1
545	не о	1	1
546	мы начнем	1	1
547	получают некоторое	1	1
548	а о	1	1
549	как видно	1	1
550	относится и	1	1
551	из приведенных	1	1
552	от своего	2	1
553	мы увидели	1	1
