N	4gram	Medvedev_V	Mirosoze
1	и вместе с тем	1	5
2	в то время как	1	4
3	так же как и	1	3
4	никогда не может быть	1	2
5	л толстой и достоевский	1	2
6	не может быть принята	1	2
7	не может быть и	1	2
8	одну и ту же	1	2
9	в своем творчестве он	1	1
10	в том смысле что	1	1
11	он придает огромное значение	1	1
12	в том случае если	1	1
13	значит ли это что	1	1
14	в то же время	5	1
15	и не может быть	2	1
16	после того как он	1	1
17	быть и речи о	1	1
18	и есть то что	1	1
19	может быть и речи	1	1
20	это и есть то	1	1
21	и по отношению к	1	1
22	толстой и достоевский в	1	1
23	не может быть никакого	1	1
24	по отношению к этим	1	1
25	до сих пор не	1	1
26	в том что оно	1	1
