N	2gram	Bakhtin_fo	Vladivir
1	и в	84	116
2	то что	13	71
3	и не	19	67
4	у него	8	65
5	не только	16	65
6	в этом	41	53
7	в том	16	52
8	том что	7	51
9	что в	9	48
10	но и	14	47
11	в конце	11	41
12	в его	19	40
13	и с	10	39
14	то есть	42	37
15	и даже	5	36
16	сказать что	4	36
17	также и	6	36
18	там же	1	35
19	учение о	1	35
20	так что	4	35
21	потому что	11	33
22	что он	2	32
23	еще и	3	32
24	не может	8	31
25	о том	4	30
26	только в	12	30
27	как мы	19	29
28	никогда не	8	29
29	для него	5	29
30	вовсе не	20	27
31	а в	6	27
32	не было	8	26
33	в себе	7	25
34	но в	16	25
35	в то	13	25
36	и то	5	25
37	и его	26	25
38	а также	5	24
39	философии и	1	23
40	точки зрения	14	23
41	между прочим	1	23
42	он не	6	23
43	может быть	18	23
44	кроме того	7	22
45	он был	2	22
46	ни в	9	22
47	так как	12	22
48	в виде	1	22
49	об этом	3	22
50	в своей	2	21
51	вместе с	9	21
52	и что	1	20
53	в своем	8	20
54	для нас	2	20
55	прежде всего	28	20
56	в дальнейшем	10	19
57	и вообще	3	19
58	по поводу	1	19
59	как раз	13	19
60	таким образом	14	19
61	в те	1	19
62	в течение	2	19
63	так и	17	19
64	и потому	4	19
65	как и	15	18
66	не в	10	18
67	не был	2	18
68	хотя и	5	18
69	как это	2	18
70	с его	10	18
71	что и	5	17
72	в этой	3	17
73	а не	7	17
74	у нас	2	17
75	все же	12	16
76	уже не	5	16
77	к тому	6	16
78	совсем не	4	16
79	для себя	8	16
80	и все	10	16
81	было бы	2	16
82	того что	5	16
83	в котором	8	16
84	и к	4	15
85	то же	18	15
86	в своих	1	15
87	к этому	5	15
88	в эти	1	15
89	несмотря на	1	15
90	в связи	13	15
91	иной раз	2	15
92	разного рода	2	15
93	до конца	5	15
94	но это	1	15
95	это было	2	15
96	того же	9	14
97	все эти	12	14
98	раз и	3	14
99	тут же	1	14
100	его жизни	11	14
101	мы уже	17	14
102	и на	13	14
103	уже в	5	14
104	и как	12	14
105	во всем	3	13
106	в результате	6	13
107	с тем	5	13
108	можно сказать	2	13
109	так же	7	13
110	на этот	1	13
111	и от	3	13
112	что это	1	13
113	то время	4	13
114	да и	4	13
115	дело в	3	13
116	жизни и	12	13
117	по себе	3	12
118	только на	3	12
119	и это	5	12
120	и у	8	12
121	и по	5	12
122	в нем	28	12
123	то в	2	12
124	если не	3	12
125	всяком случае	1	12
126	ничего не	9	12
127	во всяком	5	12
128	есть только	2	12
129	связи с	14	12
130	при этом	8	11
131	но что	1	11
132	всякого рода	3	11
133	в данном	4	11
134	хотя бы	2	11
135	тому же	2	11
136	в которой	3	11
137	я не	1	11
138	на то	1	11
139	и здесь	2	11
140	в основном	12	11
141	в отношении	5	11
142	это есть	1	11
143	еще в	1	11
144	все это	10	11
145	то он	1	11
146	мы должны	2	11
147	и о	1	11
148	конце концов	1	11
149	в самом	9	10
150	что все	4	10
151	с точки	9	10
152	в качестве	6	10
153	отнюдь не	7	10
154	с ним	5	10
155	еще не	8	10
156	в истории	6	10
157	здесь не	5	10
158	он и	1	10
159	в ней	4	10
160	но не	9	10
161	и был	1	9
162	о чем	4	9
163	и сам	2	9
164	именно в	5	9
165	с этим	11	9
166	смысле слова	4	9
167	с другой	4	9
168	и притом	1	9
169	но он	4	9
170	а только	2	9
171	но как	1	9
172	мы будем	5	9
173	в начале	3	9
174	это время	8	9
175	отношения к	7	9
176	своей жизни	6	9
177	что мы	2	9
178	что если	1	9
179	это не	8	9
180	же время	13	9
181	ни с	3	9
182	по существу	17	9
183	что касается	1	9
184	в целом	2	9
185	с этой	3	8
