N	3gram	Propp_Isto	Literetu
1	в том что	6	21
2	по отношению к	6	12
3	с одной стороны	7	12
4	не может быть	8	11
5	в отличие от	3	11
6	так или иначе	1	10
7	о том что	5	10
8	в этом отношении	1	10
9	не говоря уже	1	8
10	с другой стороны	7	7
11	говоря уже о	1	6
12	к тому же	1	6
13	подобно тому как	3	6
14	не только в	5	6
15	едва ли не	1	6
16	тем не менее	7	5
17	еще в году	1	5
18	в соответствии с	1	5
19	в том чтобы	1	5
20	в связи с	5	5
21	прежде всего в	1	5
22	в силу своей	1	4
23	и прежде всего	1	4
24	то ни было	2	4
25	бы то ни	2	4
26	и т п	1	3
27	одной стороны и	1	3
28	то же самое	3	3
29	быть не может	1	3
30	на то что	5	3
31	а не как	1	3
32	на самом деле	2	3
33	в одном из	1	3
34	со второй половины	1	2
35	дело не только	1	2
36	в совершенно новой	1	2
37	в себя и	1	2
38	для того чтобы	1	2
39	и то же	1	2
40	органической связи с	1	2
41	что он в	1	2
42	в то что	1	2
43	в этой книге	1	2
44	и вместе с	2	2
45	тех или иных	1	2
46	не только не	1	2
47	без другого не	1	2
48	в другом тексте	2	2
49	к тому что	1	2
50	только то что	1	2
51	в другом месте	2	2
52	в этой связи	1	2
53	а не только	1	2
54	в значительной степени	1	2
55	могли бы быть	2	2
56	мы имеем дело	1	2
57	в чистом виде	2	2
58	лишь тогда когда	1	2
59	но в отличие	3	2
60	за то что	2	2
61	вместе с тем	7	2
62	тем что в	1	2
63	при всей своей	1	2
64	но и в	4	2
65	до тех пор	1	2
66	дело в том	3	2
67	можно было бы	5	2
68	в этом случае	3	2
69	на первый взгляд	2	2
70	и не только	1	2
71	одно из них	1	2
72	в каком отношении	1	1
73	и когда он	3	1
74	что он не	4	1
75	может быть назван	2	1
76	как будто бы	2	1
77	это как бы	1	1
78	она однако не	1	1
79	по себе но	1	1
80	к тому чтобы	1	1
81	в большинстве случаев	4	1
82	в себе как	1	1
83	означает не что	1	1
84	то что в	2	1
85	само нуждается в	1	1
86	как он был	1	1
87	это приводит к	1	1
88	не в том	1	1
89	друг от друга	1	1
90	более или менее	5	1
91	так и с	1	1
92	до сих пор	11	1
93	именно потому что	1	1
94	представляет собой одно	1	1
95	иметь в виду	2	1
96	мы никогда не	1	1
97	в зависимости от	3	1
98	во многих случаях	1	1
99	том что в	1	1
100	все же остается	1	1
101	в обратном порядке	2	1
102	но и с	1	1
103	не только на	2	1
104	с обратным знаком	1	1
105	далеко еще не	1	1
106	и в пределах	1	1
107	никогда не остается	1	1
108	при этом он	1	1
109	в высшей степени	1	1
110	ни к какой	1	1
111	в конечном итоге	2	1
112	по этому поводу	2	1
113	но все же	7	1
114	на его пути	2	1
115	о том как	2	1
116	это могло бы	1	1
117	для этой цели	1	1
118	но это не	1	1
119	пока еще не	1	1
120	и в этом	1	1
121	может быть только	1	1
122	в том где	1	1
123	в действительности это	1	1
124	не только по	1	1
125	после того как	2	1
126	и тем не	2	1
127	не только для	1	1
128	по существу своему	1	1
129	что ни есть	1	1
130	что непосредственно в	1	1
131	с того что	3	1
132	и в особенности	1	1
133	и в соответствии	1	1
134	в это время	2	1
135	от себя что	1	1
136	какой бы то	1	1
137	но уже в	1	1
138	как один из	2	1
139	и герой в	1	1
140	что у меня	1	1
141	быть и так	1	1
142	со мной в	1	1
143	не что иное	3	1
144	так как будто	1	1
145	и даже в	1	1
146	может быть вполне	1	1
147	уже не может	1	1
148	начинается с того	2	1
149	хотя бы на	1	1
150	однако это не	2	1
151	в одной из	1	1
152	одной из версий	1	1
153	пути по которому	1	1
154	в этом утверждении	1	1
155	ставит себе задачей	1	1
156	но в то	1	1
157	содержит в себе	1	1
158	из них эти	1	1
159	один из тех	1	1
160	во всех этих	1	1
161	с самого начала	4	1
162	содержат в себе	1	1
163	к этой же	1	1
164	том что он	1	1
165	не по своей	1	1
166	не могут быть	1	1
167	том что они	3	1
168	мира прежде всего	1	1
169	для него как	1	1
170	а так как	1	1
171	что иное как	3	1
172	легко может быть	1	1
173	это означает не	1	1
174	это свидетельствует о	1	1
175	с тем она	1	1
176	вопрос о том	2	1
177	него как и	1	1
178	приводит к тому	1	1
179	само по себе	2	1
180	но и для	1	1
181	в дальний путь	1	1
182	мы не можем	3	1
