N	3gram	Trubetskoy	VLabPisa
1	не может быть	4	8
2	с другой стороны	4	8
3	по отношению к	11	7
4	по этому поводу	1	7
5	более или менее	8	6
6	в том что	16	5
7	в зависимости от	1	5
8	в то же	2	5
9	то же время	2	5
10	вместе с тем	3	4
11	в связи с	3	4
12	к тому что	1	4
13	мы видели что	1	3
14	для того чтобы	7	3
15	о том что	4	3
16	в этой области	4	3
17	из приведенных выше	1	3
18	хотя бы в	1	3
19	та или иная	1	3
20	во всяком случае	2	2
21	по крайней мере	1	2
22	и в другом	1	2
23	таким образом по	1	2
24	образом по отношению	1	2
25	этой точки зрения	1	2
26	так и от	1	2
27	в том числе	1	2
28	не в том	1	2
29	в этом и	1	2
30	таким образом в	3	2
31	мы знаем что	7	2
32	приводит к тому	1	2
33	до сих пор	15	2
34	не только не	1	2
35	иметь в виду	1	2
36	в конце концов	4	2
37	том числе и	1	2
38	что все эти	1	2
39	во всех этих	2	2
40	таким образом даже	1	2
41	не может не	3	2
42	они должны быть	2	2
43	по этому вопросу	1	2
44	только в том	1	2
45	только то что	2	2
46	с одной стороны	2	2
47	значит и в	1	2
48	можно было бы	1	2
49	и не может	1	2
50	так же как	3	1
51	те черты которые	1	1
52	сих пор не	5	1
53	а как бы	1	1
54	в свою очередь	2	1
55	в том же	3	1
56	все то что	1	1
57	но по существу	1	1
58	если все эти	1	1
59	этой области не	1	1
60	но вместе с	2	1
61	и в ту	1	1
62	мы видим что	1	1
63	на то что	7	1
64	и может быть	2	1
65	начале этой главы	1	1
66	эти примеры показывают	1	1
67	как мы знаем	1	1
68	в ту же	1	1
69	то непосредственное впечатление	1	1
70	по сравнению с	5	1
71	в том случае	4	1
72	подлежит сомнению что	3	1
73	между ними нет	1	1
74	и без того	4	1
75	большею частью в	1	1
76	то время как	1	1
77	данного произведения в	1	1
78	в этом случае	4	1
79	заключает в себе	2	1
80	том или ином	1	1
81	говоря уже о	1	1
82	с этой точки	1	1
83	на основании этих	1	1
84	в самом деле	5	1
85	и так или	1	1
86	таким образом для	1	1
87	что все они	1	1
88	и художественное произведение	1	1
89	не отличается от	1	1
90	у него в	1	1
91	она к тому	1	1
92	только в этом	1	1
93	в то время	2	1
94	чтобы ответить на	1	1
95	а между тем	8	1
96	и то же	1	1
97	все же не	3	1
98	каждый из них	1	1
99	не говоря уже	1	1
100	так или иначе	5	1
101	зависимости от них	1	1
102	хотя и не	1	1
103	ничего общего с	2	1
104	ни одна из	1	1
105	всех других видов	1	1
106	как и все	2	1
107	что ни одна	1	1
108	одно и то	1	1
109	мы только что	1	1
110	из этих элементов	1	1
111	том же духе	1	1
112	не подлежит сомнению	3	1
113	между этими двумя	2	1
114	если бы все	1	1
115	а потому и	1	1
116	том же направлении	1	1
117	в данном случае	3	1
118	в том или	1	1
119	но даже в	1	1
120	что они не	1	1
121	именно в том	1	1
122	а в том	1	1
123	что во всех	1	1
124	к тому же	5	1
125	между всеми этими	1	1
126	может быть признана	1	1
127	уже о том	1	1
128	то же самое	1	1
129	том случае если	4	1
130	том что оно	1	1
131	по его мнению	1	1
132	их отношение к	1	1
133	но все же	2	1
134	точки зрения на	1	1
135	хотя бы с	1	1
136	в начале этой	2	1
137	таким образом и	1	1
138	только тогда когда	1	1
139	нет и не	1	1
140	тот или иной	1	1
141	но с другой	1	1
142	между собою в	1	1
143	может быть и	4	1
