N	3gram	Medvedev_F	FransuaR
1	то же время	13	55
2	в то же	13	55
3	в том что	3	27
4	в том числе	1	27
5	до сих пор	7	27
6	в большинстве случаев	5	22
7	с точки зрения	17	20
8	но в то	3	20
9	в этом отношении	7	20
10	для того чтобы	3	17
11	том числе и	1	17
12	в связи с	9	16
13	большей или меньшей	1	16
14	как мы видели	5	16
15	и до конца	3	16
16	но и в	4	15
17	в большей или	1	15
18	нужно сказать что	1	14
19	с начала и	2	14
20	или меньшей степени	1	14
21	и прежде всего	2	14
22	начала и до	2	14
23	не может быть	11	13
24	с одной стороны	5	13
25	в той же	2	13
26	на самом деле	7	13
27	а также и	1	12
28	и в то	4	12
29	с другой стороны	4	12
30	все то что	1	11
31	в отличие от	2	11
32	как и все	2	11
33	самом же деле	1	10
34	как и в	1	10
35	на самом же	1	10
36	в данном случае	2	10
37	в значительной степени	3	10
38	в конце концов	2	10
39	мы видим что	1	9
40	по отношению к	4	9
41	так и в	6	9
42	до известной степени	3	9
43	вполне понятно что	1	8
44	таким образом в	1	8
45	в его целом	8	8
46	более или менее	7	8
47	в самом деле	5	7
48	в чем же	1	7
49	в узком смысле	1	7
50	прежде всего в	5	7
51	это конечно не	1	7
52	и в других	1	7
53	в своей книге	2	7
54	на первый план	1	7
55	в настоящее время	11	7
56	в отрыве от	2	7
57	во всех этих	1	7
58	и в особенности	1	6
59	но все же	2	6
60	имеем в виду	1	6
61	и все остальные	1	6
62	выходит за пределы	1	6
63	и во всех	1	6
64	в свою очередь	6	6
65	и до сих	2	6
66	в новое время	1	6
67	с самого начала	2	6
68	одной стороны и	4	5
69	в применении к	4	5
70	до настоящего времени	3	5
71	и в этой	2	5
72	в книге о	1	5
73	по сравнению с	1	5
74	и в частности	2	5
75	мы имеем в	1	5
76	во всяком случае	6	5
77	все это в	1	5
78	все же в	1	5
79	прежде всего необходимо	1	5
80	на первом плане	1	5
81	в изобразительных искусствах	1	5
82	вместо того чтобы	1	5
83	только то что	1	5
84	в это время	1	5
85	в собственном смысле	1	4
86	но даже и	2	4
87	связи с этим	4	4
88	на этот вопрос	1	4
89	так же как	1	4
90	как мы увидим	3	4
91	сказать что и	1	4
92	в самом начале	1	4
93	в нем и	2	4
94	что и в	2	4
95	может быть и	4	4
96	не могла не	1	4
97	в строгом смысле	2	4
98	как раз и	4	4
99	мы увидим дальше	1	4
100	и не может	5	4
101	но он не	1	4
102	влияние и на	2	4
103	же время в	1	4
104	и до настоящего	2	4
105	и как бы	1	3
106	в литературе и	1	3
107	во всем своем	1	3
108	и ни на	2	3
109	в предыдущей главе	1	3
110	и др но	1	3
111	в этом процессе	2	3
112	в своей статье	5	3
113	друг от друга	2	3
114	но и с	2	3
115	очень характерно для	1	3
116	таковы основные моменты	1	3
117	не только с	1	3
118	в нашем примере	1	3
119	в сущности не	1	3
120	смысле этого слова	4	3
121	между тем как	1	3
122	в одном месте	1	3
123	можно говорить о	1	3
124	они вовсе не	1	3
125	не только не	2	3
126	не входит в	1	3
127	ни к какому	1	3
128	всего того что	1	3
129	со всех сторон	1	3
130	вместе с тем	5	3
131	вовсе не является	1	3
132	как мы знаем	2	3
133	в целом ряде	2	3
134	как один из	2	3
135	все же не	1	3
136	так и на	1	3
137	как бы ни	3	3
138	продолжает жить и	1	3
139	что касается до	1	3
140	мир в его	1	3
141	является одним из	1	3
142	ровно ничего не	1	3
143	как и во	1	3
144	в этом смысле	3	3
145	в ее целом	3	3
146	все это уже	1	3
147	тех или иных	1	3
148	и не в	2	3
149	есть не что	1	3
150	все эти формы	1	3
151	и там где	1	3
152	бы то ни	4	3
153	и в том	1	3
154	и в этом	6	3
155	как своего рода	1	3
156	большое место в	2	3
157	в особенности в	1	3
158	заключается в том	1	3
159	в ней и	2	3
160	так и не	1	3
161	не что иное	1	3
162	в связи со	2	3
163	так как они	1	3
164	но как раз	1	3
165	еще далеко не	1	3
166	что в нем	2	3
167	что иное как	1	3
168	в предисловии к	3	3
169	нет и не	2	3
170	несмотря на их	1	2
171	как и всякая	2	2
172	же время не	2	2
173	быть и речи	1	2
174	мы уже знаем	1	2
175	в том или	1	2
176	самом деле в	1	2
177	быть и не	2	2
178	жизни и прежде	1	2
179	еще не было	1	2
180	от всех форм	1	2
181	во внешнем мире	1	2
182	в этой роли	1	2
183	как в его	1	2
184	это отношение к	1	2
185	в более или	1	2
186	сам по себе	2	2
187	рядом с этим	1	2
188	и некоторые другие	1	2
189	но при этом	1	2
190	уже знаем что	1	2
191	между этими двумя	2	2
192	и в общем	1	2
193	в точке пересечения	1	2
194	мы полагаем что	3	2
195	что в основе	1	2
196	по этому поводу	1	2
197	то ни было	1	2
