N	3gram	Voloshinov	formyVre
1	то же время	7	21
2	в то же	7	18
3	как мы уже	3	15
4	в связи с	12	15
5	с точки зрения	31	15
6	друг с другом	2	13
7	для того чтобы	7	12
8	но и в	3	12
9	не только в	2	11
10	до сих пор	10	10
11	и того же	9	9
12	одного и того	9	9
13	мы уже говорили	1	9
14	в большинстве случаев	7	8
15	в том числе	3	8
16	и прежде всего	4	8
17	не может быть	23	7
18	в отличие от	7	7
19	в этом отношении	4	7
20	прежде всего в	1	7
21	друг от друга	1	6
22	во всех этих	1	6
23	с одной стороны	2	6
24	мы уже сказали	1	6
25	в том что	9	5
26	одной стороны и	1	5
27	том числе и	3	5
28	на первый план	2	5
29	той или иной	5	5
30	как и в	1	5
31	одно и то	3	5
32	и то же	3	5
33	в широком смысле	2	5
34	вполне понятно что	4	4
35	по отношению к	9	4
36	о которых мы	1	4
37	прежде всего необходимо	1	4
38	мы уже указывали	1	4
39	в нем нет	4	4
40	как если бы	6	4
41	но все же	4	4
42	с другой стороны	6	4
43	в его целом	2	4
44	в последнем счете	1	4
45	равно как и	1	4
46	связи с этим	3	4
47	в xviii веке	1	4
48	в этом случае	3	4
49	во всяком случае	4	4
50	может быть и	8	4
51	в той или	3	3
52	и как бы	1	3
53	прямо сказать что	1	3
54	с нашей точки	1	3
55	до известной степени	2	3
56	точки зрения не	2	3
57	по сравнению с	1	3
58	он ни был	1	3
59	нашей точки зрения	1	3
60	можно прямо сказать	1	3
61	в этом процессе	1	3
62	может быть только	1	3
63	сами по себе	1	3
64	но при этом	2	3
65	в зависимости от	2	3
66	друг за другом	1	3
67	между этими двумя	2	3
68	а не в	3	3
69	к вопросу о	1	3
70	как мы увидим	2	3
71	то же самое	8	3
72	нем нет ничего	1	3
73	в другом месте	1	3
74	а следовательно и	2	3
75	же как и	2	3
76	в точном смысле	5	3
77	но в то	6	3
78	о том что	2	3
79	так же как	2	3
80	как бы ни	1	3
81	с самого начала	9	3
82	так и в	2	3
83	как бы на	2	3
84	и в сущности	1	3
85	жизни и в	1	3
86	тот или иной	2	3
87	за пределы данного	1	2
88	соответствии с этим	1	2
89	так сказать в	1	2
90	в пределах индивидуального	2	2
91	первый план выдвигается	1	2
92	хлеб и вино	1	2
93	или иной степени	2	2
94	связаны друг с	1	2
95	на этой же	1	2
96	можно сказать что	4	2
97	конечно не в	1	2
98	в ее целом	3	2
99	каждом из них	1	2
100	очень важный момент	1	2
101	может войти в	1	2
102	совершенно так же	1	2
103	они не могут	1	2
104	но для того	1	2
105	по природе своей	1	2
106	только на почве	3	2
107	рядом с этим	1	2
108	и для себя	1	2
109	начало и конец	1	2
110	все более и	2	2
111	только в этом	1	2
112	как мы видим	1	2
113	как мы сказали	4	2
114	быть и речи	4	2
115	в соответствии с	1	2
116	все же и	1	2
117	к тому же	2	2
118	этим определяется и	1	2
119	но в этом	1	2
120	вовсе не является	3	2
121	же время они	1	2
122	это значит что	1	2
123	в каком же	1	2
124	таким образом и	1	2
125	все без исключения	3	2
126	в нашем случае	1	2
127	а как бы	1	2
128	в свою очередь	5	2
129	но он не	1	2
130	нет ничего что	2	2
131	и должно быть	1	2
132	не было бы	3	2
133	и та же	1	2
134	у него нет	1	2
135	здесь как и	1	2
136	в процессе его	2	2
137	и в самом	1	2
138	ни в один	1	2
139	все разобранные нами	2	2
140	всякой связи с	2	2
141	мы здесь не	1	2
142	более и более	2	2
143	во всех своих	1	2
144	в романе не	1	2
145	в подходе к	1	2
146	со всех сторон	2	2
147	в узком смысле	4	2
148	как и все	2	2
149	дело в том	1	2
150	и все другие	1	2
151	идет именно о	1	2
152	к тому что	4	2
153	он не знает	2	2
154	с другом и	1	2
155	в соединении с	1	2
156	жизни в ее	1	2
157	с тем что	1	2
158	дело идет именно	1	2
159	одна и та	1	2
160	всего того что	1	2
161	дело здесь идет	1	2
162	и в большинстве	1	2
163	если бы он	3	2
164	в основе своей	1	2
165	к жизни и	1	2
166	лежит в основе	2	2
167	в целом ряде	1	1
168	на этой почве	4	1
169	и вне его	1	1
170	подлежит конечно сомнению	1	1
171	в двух направлениях	2	1
172	в образе в	1	1
173	как и во	1	1
