N	4gram	Tiupa_Teor	StatiiOP
1	дело в том что	1	9
2	в то же время	8	9
3	заключается в том что	1	6
4	в том что в	1	4
5	той мере в какой	1	3
6	в той мере в	1	3
7	обращает на себя внимание	1	3
8	и в самом деле	2	3
9	в том что он	2	3
10	одним и тем же	1	3
11	состоит в том что	5	2
12	в том что она	1	2
13	в том числе и	2	2
14	и в то же	2	2
15	том что он не	1	2
16	но в то же	2	2
17	бы то ни было	2	2
18	по тем или иным	1	2
19	в той или иной	1	2
20	дай мне бог сойти	1	1
21	мне бог сойти с	1	1
22	бог сойти с ума	1	1
23	языка не может быть	1	1
24	а с другой стороны	1	1
25	на вопрос что такое	1	1
26	то же время оно	1	1
27	не может быть и	1	1
28	с этой точки зрения	2	1
29	относится не только к	1	1
30	отдает себе отчет в	1	1
31	в связи с этим	1	1
32	можно даже сказать что	1	1
33	себе отчет в том	1	1
34	бы они ни были	1	1
35	иметь в виду что	1	1
36	и по отношению к	1	1
37	одно и то же	2	1
38	той или иной мере	1	1
39	я думаю что в	1	1
40	но дело в том	1	1
41	в одной из своих	1	1
42	приводит к тому что	2	1
43	мы имеем дело с	1	1
44	не дай мне бог	1	1
45	точно так же как	1	1
