N	2gram	Berdyaev_O	VrazhdaK
1	в бесах	3	10
2	не только	11	9
3	достоевского с	2	9
4	в этом	12	8
5	достоевский и	1	8
6	и в	19	8
7	и что	1	8
8	достоевский в	1	8
9	что в	4	7
10	достоевского в	3	7
11	достоевского и	5	7
12	и все	10	7
13	но и	13	7
14	то что	5	7
15	к достоевскому	2	6
16	о нем	1	6
17	как и	6	6
18	и даже	1	6
19	и с	2	6
20	все же	2	6
21	в котором	1	6
22	в нем	10	6
23	но в	2	6
24	у него	22	5
25	в россии	5	5
26	и не	13	5
27	не было	9	5
28	это не	3	4
29	с ним	3	4
30	все это	6	4
31	в виду	1	4
32	в своих	3	4
33	что он	3	4
34	достоевского не	4	4
35	уже в	2	4
36	у достоевского	19	4
37	о том	3	4
38	подпольного человека	1	4
39	в дневнике	2	4
40	может быть	11	4
41	в ней	1	4
42	в истории	2	4
43	как бы	3	4
44	что достоевский	2	4
45	что у	2	3
46	в его	7	3
47	в том	5	3
48	в петербург	1	3
49	т е	4	3
50	достоевского к	2	3
51	его в	2	3
52	но он	7	3
53	достоевского о	1	3
54	достоевский не	4	3
55	и как	1	3
56	тем что	2	3
57	ставрогина и	1	3
58	в русской	3	3
59	человека в	11	3
60	он был	8	3
61	том что	2	3
62	в этот	2	3
63	он не	7	3
64	в конце	1	3
65	к творчеству	1	3
66	и о	2	3
67	что есть	2	3
68	из подполья	11	3
69	в своем	2	3
70	петр верховенский	1	3
71	на то	1	3
72	с его	4	3
73	и его	4	3
74	к этому	2	3
75	достоевский был	3	2
76	начиная с	1	2
77	записки из	3	2
78	и то	2	2
79	и он	8	2
80	после этого	1	2
81	его с	1	2
82	для него	5	2
83	его и	1	2
84	о чем	1	2
85	о которой	2	2
86	достоевский писал	1	2
87	и достоевский	1	2
88	же не	1	2
89	в них	1	2
90	и наказания	1	2
91	права на	1	2
92	россии в	2	2
93	достоевского он	7	2
94	отношения к	1	2
95	в мире	1	2
96	в своей	2	2
97	в это	1	2
98	и это	1	2
99	еще не	3	2
100	а с	1	2
101	о достоевском	2	2
102	личность и	1	2
103	в этой	5	2
104	человека с	1	2
105	а в	5	2
106	достоевский всегда	2	2
107	писателей но	1	2
108	отношение к	5	2
109	уже не	1	2
110	из них	1	2
111	в себе	3	2
112	в глазах	1	2
113	не может	4	2
114	одна из	1	2
115	он сам	4	2
116	чувств и	1	2
117	в эти	1	2
118	но это	1	2
119	и ее	3	2
120	никогда не	9	2
121	все в	4	1
122	говорит достоевский	1	1
123	в самом	5	1
124	во всем	1	1
125	то в	1	1
126	как к	2	1
127	связан с	1	1
128	в преступлении	4	1
129	так и	2	1
130	преступления и	1	1
131	что они	2	1
132	в свое	1	1
133	попадает в	1	1
134	а белого	1	1
135	все что	3	1
136	в душе	2	1
137	один из	1	1
138	которым он	1	1
139	для русской	1	1
140	ближе к	1	1
141	и наказание	1	1
142	ни с	7	1
143	записках из	3	1
144	лет назад	1	1
145	того как	1	1
146	к этой	2	1
147	был еще	2	1
148	хочет сделать	1	1
149	собой в	1	1
150	героев достоевского	2	1
151	он всегда	7	1
152	еще более	1	1
153	от которого	1	1
154	из всех	1	1
155	что это	1	1
156	хотя и	2	1
157	вечный муж	1	1
158	а это	1	1
159	н к	1	1
160	и был	1	1
161	он и	1	1
162	его ума	1	1
163	и из	2	1
164	в ее	2	1
165	того что	3	1
166	этом он	2	1
167	говорит о	1	1
168	чем у	1	1
169	в поэме	1	1
170	него в	5	1
171	не хочет	1	1
172	когда достоевский	1	1
173	и наказании	3	1
174	прежде всего	9	1
175	ее и	1	1
176	быть может	3	1
177	нет ничего	7	1
178	произведений достоевского	2	1
179	в этих	3	1
180	он лишь	3	1
181	за это	1	1
182	бедные люди	1	1
183	христа и	1	1
184	ко всем	2	1
185	был достоевский	1	1
186	самим собой	1	1
187	и сам	1	1
188	человека достоевский	2	1
189	в одном	1	1
190	людей а	1	1
191	и начинается	1	1
192	преступление и	1	1
193	но не	1	1
194	из мертвого	2	1
195	в глубине	7	1
196	белинского и	1	1
197	легенда о	2	1
198	петербурга и	1	1
199	он ставит	1	1
200	жизни и	1	1
201	в процессе	1	1
202	то лицо	1	1
203	есть вражда	1	1
204	в жизни	1	1
205	судьбу его	1	1
206	человек и	4	1
207	преступлении и	3	1
208	чем достоевский	1	1
209	этого типа	1	1
210	всего художник	1	1
211	творчеству достоевского	1	1
212	человек в	1	1
213	всего он	1	1
214	не есть	2	1
215	человеком в	1	1
216	вокруг ставрогина	2	1
217	одном из	1	1
218	как в	1	1
219	и я	1	1
220	сразу же	2	1
221	никто не	3	1
222	но у	1	1
223	отличается от	1	1
224	да и	1	1
225	его жизни	1	1
226	достоевский так	1	1
227	ли он	1	1
228	том как	1	1
229	это было	3	1
230	не имеет	2	1
231	человеком и	1	1
232	что пишет	1	1
233	под влиянием	1	1
234	что как	1	1
235	в записках	3	1
236	достоевскому он	1	1
237	дневника писателя	1	1
238	в великом	1	1
239	человека к	2	1
240	во всяком	1	1
241	было не	1	1
242	то он	1	1
243	это конечно	1	1
244	начало в	1	1
245	его судьбу	1	1
246	достоевском и	2	1
247	не могли	2	1
248	человека он	1	1
249	это за	3	1
250	потому что	9	1
251	но достоевский	1	1
252	также и	1	1
253	совсем не	2	1
254	с тою	1	1
255	человека как	1	1
256	более всего	3	1
257	к михайловского	1	1
258	для достоевского	5	1
259	в частности	1	1
260	одним словом	1	1
261	и лишь	1	1
262	он подошел	1	1
263	не с	1	1
264	отношении к	1	1
265	было такой	1	1
266	самом достоевском	1	1
267	человеческого достоинства	1	1
268	это была	1	1
269	в форме	1	1
270	людей и	1	1
271	доходит до	1	1
272	творчества достоевского	1	1
273	мертвого дома	2	1
274	проникнуть в	1	1
275	по своей	1	1
276	от того	1	1
277	которую он	2	1
278	человека и	10	1
279	и можно	1	1
280	этот период	1	1
281	было бы	3	1
282	вопросу о	1	1
283	что же	2	1
284	среди них	1	1
285	и никогда	2	1
286	что для	2	1
287	оба они	1	1
288	людей достоевского	1	1
289	ключ к	1	1
290	заключается в	1	1
291	могут быть	3	1
292	до конца	7	1
293	и раньше	1	1
294	что только	1	1
295	был в	1	1
296	и от	3	1
297	и есть	3	1
298	в силу	1	1
299	на этот	1	1
300	всю жизнь	1	1
301	в уме	1	1
302	и дал	1	1
303	не стоит	1	1
304	не все	2	1
305	этом отношении	1	1
306	же это	2	1
307	всяком случае	1	1
308	о великом	6	1
309	подполья но	1	1
310	из него	1	1
311	лишь один	1	1
312	бы в	1	1
313	михайловского жестокий	1	1
314	свои собственные	1	1
315	в какую-то	1	1
316	ничего не	2	1
317	достоевский прежде	2	1
318	и самый	1	1
319	поэтому он	1	1
320	к нему	3	1
