N	4gram	Tiupa_Vved	StatiiOP
1	дело в том что	1	9
2	в то же время	4	9
3	той мере в какой	2	3
4	в том смысле что	1	3
5	в той мере в	2	3
6	и в этом случае	1	2
7	состоит в том что	1	2
8	в том что и	1	2
9	сомневаться в том что	1	2
10	совсем не в том	1	2
11	в том числе и	1	2
12	внимание на то что	1	2
13	и в то же	1	2
14	одних и тех же	1	2
15	но в то же	1	2
16	во всяком случае в	1	2
17	в той или иной	1	2
18	не в том что	2	2
19	у нас нет никаких	1	1
20	ни к одному из	1	1
21	мысль о том что	1	1
22	в той же мере	1	1
23	именно то что он	1	1
24	не относится ни к	1	1
25	это вовсе еще не	1	1
26	сколько в том что	1	1
27	в самом деле не	1	1
28	вплоть до второй половины	1	1
29	состоит в том чтобы	1	1
30	но на самом деле	1	1
31	одной и той же	1	1
32	дело не только в	1	1
33	одно и то же	1	1
34	свидетельствует о том что	1	1
35	то же самое и	1	1
36	в том же году	1	1
37	он не может быть	1	1
38	так же как и	1	1
39	мы имеем дело с	4	1
40	относится ни к одному	1	1
