N	2gram	Losev_Dial	Analitik
1	не только	26	71
2	и в	35	66
3	в качестве	2	61
4	но и	17	57
5	в том	20	52
6	может быть	30	52
7	в этом	18	51
8	в частности	4	51
9	как и	10	50
10	и не	51	48
11	а не	24	42
12	при этом	2	40
13	том что	18	40
14	то есть	1	35
15	так и	18	35
16	в мире	3	31
17	отнюдь не	13	29
18	как бы	19	29
19	не может	16	29
20	а в	8	28
21	в его	4	27
22	и его	6	27
23	не в	12	26
24	но не	9	26
25	в себе	23	24
26	что в	19	22
27	и даже	23	22
28	к тому	6	22
29	в этой	3	22
30	о том	8	20
31	я в	3	20
32	в самом	6	19
33	то же	21	19
34	в своей	9	19
35	но в	8	19
36	в данном	5	18
37	в то	10	18
38	тем самым	1	17
39	с другой	10	17
40	только в	7	17
41	со стороны	2	17
42	или иной	4	17
43	в целом	1	17
44	что и	7	16
45	могут быть	6	16
46	то что	25	16
47	не есть	67	15
48	между тем	3	15
49	уже не	3	15
50	прежде всего	14	15
51	в сущности	2	15
52	в их	5	15
53	в принципе	1	14
54	не менее	5	14
55	того же	1	14
56	себя в	2	14
57	я и	3	14
58	той или	11	14
59	мы имеем	4	14
60	же время	9	14
61	данном случае	1	14
62	столь же	1	14
63	отличие от	1	14
64	далеко не	2	14
65	по себе	39	13
66	точки зрения	25	13
67	тому же	3	13
68	он не	5	13
69	ничего не	19	13
70	как раз	7	13
71	для него	2	13
72	а также	1	13
73	и к	8	12
74	и сам	1	12
75	никогда не	18	12
76	как это	8	12
77	как в	3	12
78	еще не	4	12
79	есть не	8	12
80	в той	4	11
81	даже в	6	11
82	имеем дело	1	11
83	по своей	5	11
84	той же	1	11
85	это не	18	11
86	можно сказать	10	11
87	и как	14	11
88	не с	5	11
89	нуждается в	6	11
90	именно в	4	10
91	все же	9	10
92	с одной	4	10
93	в конце	5	10
94	было бы	14	10
95	подобно тому	1	10
96	и одновременно	1	10
97	отношения к	3	10
98	перед лицом	2	10
99	здесь не	1	10
100	того или	1	10
101	и самого	1	10
102	один из	3	10
103	на себя	1	10
104	говорить о	9	9
105	говорит о	6	9
106	в результате	2	9
107	другой стороны	7	9
108	одной стороны	3	9
109	том чтобы	1	9
110	в своем	7	9
111	крайней мере	11	9
112	таким образом	5	9
113	во всех	3	9
114	за пределы	4	9
115	только не	2	9
116	имеет место	1	9
117	вместе с	3	9
118	по крайней	11	9
119	вступает в	1	9
120	тому как	1	9
121	того что	6	9
122	что касается	3	9
123	личности в	2	9
124	о чем	4	8
125	не всегда	2	8
126	между двумя	1	8
127	я с	1	8
128	в сторону	1	8
129	как известно	3	8
130	с ним	9	8
131	если бы	12	8
132	и все	11	8
133	что он	16	8
134	перед нами	3	8
135	не является	3	8
136	в основе	4	8
137	с точки	18	8
138	хотя и	4	8
139	этом отношении	2	8
140	времени и	10	8
141	дело не	3	8
142	он и	2	8
143	одного из	1	8
144	во всяком	5	7
145	в противоположность	6	7
146	в другом	6	7
