N	3gram	Bakhtin_Pr	PoTuStor
1	с точки зрения	13	6
2	с самого начала	4	4
3	до сих пор	8	3
4	не может быть	8	3
5	в большинстве случаев	9	3
6	по крайней мере	2	3
7	в этом смысле	5	3
8	по сравнению с	6	3
9	во всяком случае	1	3
10	можно сказать что	6	3
11	мы можем сказать	1	2
12	все то что	2	2
13	так же как	1	2
14	в нем нет	3	2
15	а потому и	1	2
16	и может быть	1	2
17	во всех его	2	2
18	о том что	3	2
19	в его целом	1	2
20	и в этом	1	2
21	нам кажется что	3	2
22	так и в	2	1
23	всем мире и	1	1
24	жизни в этом	1	1
25	мы и попытались	1	1
26	в том что	6	1
27	друг с другом	6	1
28	аристотелевский термин катарсис	1	1
29	связанные с ним	1	1
30	и связанных с	1	1
31	то что можно	1	1
32	все эти разнородные	1	1
33	нуждается в особом	1	1
34	а может быть	1	1
35	только себя и	1	1
36	не что иное	1	1
37	в некоторых отношениях	1	1
38	что иное как	1	1
39	в этом и	1	1
40	не чем иным	1	1
41	дело в том	3	1
42	он прежде всего	1	1
43	той или иной	2	1
44	я и мир	1	1
45	остановимся на некоторых	3	1
46	вместе с ним	1	1
47	мы уже знаем	1	1
48	ничего общего не	1	1
49	как мы сказали	4	1
50	в применении к	1	1
51	останавливаться не будем	1	1
52	можно было бы	2	1
53	можем сказать что	1	1
54	каждого из этих	1	1
55	мы должны перейти	1	1
56	в свою противоположность	1	1
57	а вместе с	1	1
58	при всей их	2	1
59	и прежде всего	5	1
60	в данном случае	1	1
61	связанная с этим	1	1
62	мы имеем в	3	1
63	для нашего времени	1	1
64	снова и снова	1	1
65	и в известной	1	1
66	основе их лежит	1	1
67	есть прежде всего	1	1
68	и ту же	1	1
69	в себя и	1	1
70	должны перейти к	1	1
71	и в эпоху	2	1
72	может быть даже	2	1
73	чем иным как	1	1
74	термин катарсис очищение	1	1
75	уже знаем что	1	1
76	со всеми его	1	1
77	имеем в виду	3	1
78	нельзя сказать о	1	1
79	но мы уже	1	1
80	и т.п и	1	1
81	и др и	1	1
82	в высшей степени	1	1
83	и этим как	1	1
84	в свое время	4	1
85	мы увидим что	1	1
86	которая позволила бы	1	1
87	одну и ту	1	1
88	очень важный момент	1	1
89	то же самое	1	1
90	во всем мире	2	1
91	жизни таким образом	1	1
92	из того же	1	1
93	как один из	1	1
94	если б я	2	1
95	с его специфической	1	1
96	так как он	1	1
97	в нем и	1	1
98	то что я	1	1
99	в этом отношении	1	1
100	или во всяком	1	1
101	еще не знает	1	1
102	что если б	1	1
103	таким образом и	2	1
104	сих пор еще	2	1
105	в основе их	1	1
106	теперь мы должны	2	1
107	этим как бы	1	1
108	при некоторых условиях	1	1
109	нужно отметить что	1	1
110	имеем дело с	1	1
111	и т.п наконец	1	1
112	отдаленную связь с	1	1
113	но именно этот	1	1
114	несколько слов о	3	1
115	в связи с	1	1
116	может быть только	1	1
