N	2gram	Medvedev_F	Tragedij
1	и в	54	18
2	в этом	39	9
3	в году	2	9
4	не только	14	8
5	и на	10	7
6	и не	34	7
7	может быть	30	7
8	и с	17	7
9	как бы	10	7
10	что он	8	6
11	у него	1	6
12	же время	13	6
13	в образе	1	6
14	но в	9	6
15	и его	27	6
16	это не	4	5
17	несмотря на	2	5
18	что это	1	5
19	так и	24	5
20	все же	8	5
21	в дальнейшем	3	5
22	то же	16	5
23	как и	18	5
24	не может	26	5
25	в то	14	5
26	что в	10	4
27	в себе	4	4
28	и даже	7	4
29	все это	11	4
30	прежде всего	34	4
31	и все	9	4
32	этот образ	2	4
33	еще не	6	4
34	но и	18	4
35	том что	3	4
36	и что	2	4
37	так же	5	4
38	то что	14	4
39	в этой	10	4
40	в нем	25	4
41	но это	4	4
42	в целом	7	4
43	своего рода	1	3
44	один из	4	3
45	должно быть	13	3
46	в основном	3	3
47	уже в	1	3
48	в его	30	3
49	для него	9	3
50	в своем	12	3
51	романа и	1	3
52	с ним	3	3
53	и сам	1	3
54	в конце	2	3
55	и как	6	3
56	в мире	4	3
57	как в	12	3
58	никто не	2	3
59	при этом	14	3
60	жизнь и	3	3
61	как это	8	3
62	тем самым	5	3
63	с ее	7	3
64	мог бы	1	3
65	отнюдь не	13	3
66	все эти	12	3
67	к нему	3	3
68	в самом	17	2
69	не так	4	2
70	и то	1	2
71	в душе	2	2
72	и здесь	8	2
73	данном случае	2	2
74	первого же	1	2
75	в том	17	2
76	это уже	1	2
77	он и	3	2
78	с тем	11	2
79	в ее	10	2
80	для искусства	1	2
81	по мнению	1	2
82	говорит о	1	2
83	как у	1	2
84	что и	10	2
85	ни в	3	2
86	бы и	1	2
87	но при	1	2
88	чем он	3	2
89	в русском	2	2
90	не могут	8	2
91	в виде	2	2
92	его в	5	2
93	как же	1	2
94	не в	16	2
95	в первом	8	2
96	но все	4	2
97	но эта	2	2
98	было в	3	2
99	из самых	1	2
100	еще в	2	2
101	от всего	1	2
102	в таком	2	2
103	между этими	2	2
104	ничем не	4	2
105	этими двумя	2	2
106	вопрос о	3	2
107	вряд ли	2	2
108	и это	4	2
109	нет в	2	2
110	но особенно	1	2
111	под влиянием	3	2
112	уже не	9	2
113	к тому	6	2
114	о том	1	2
115	перед нами	3	2
116	не был	1	2
117	не имеет	2	2
118	впечатление что	2	2
119	в данном	2	2
120	ее к	2	2
121	отличие от	2	2
122	она должна	3	2
123	раз и	6	2
124	он был	1	2
125	то и	2	2
126	потому что	2	2
127	так что	2	2
128	он не	8	2
129	по поводу	1	2
130	в частности	4	2
131	но они	1	2
132	в это	1	2
133	в одном	2	2
134	и до	8	2
135	в отличие	2	2
136	отношение к	4	2
137	собой но	1	2
138	в самую	2	2
139	о его	1	2
140	до конца	9	2
141	столь же	2	2
142	русской литературы	2	2
143	который в	1	2
144	одна из	2	2
145	что говорит	1	2
146	с его	12	2
