N	4gram	Tiupa_Hudo	Vladivir
1	дело в том что	1	11
2	в то же время	11	9
3	в том что в	1	5
4	и в то же	2	5
5	и в этом смысле	1	4
6	еще и потому что	1	4
7	на самом же деле	1	3
8	только в том случае	1	3
9	во что бы то	1	3
10	что бы то ни	1	3
11	в том что он	1	3
12	заключается в том что	1	3
13	бы то ни стало	1	3
14	в течение всей жизни	1	3
15	с одной стороны и	1	2
16	сводится к тому что	1	2
17	в связи с этим	2	2
18	не имеет ничего общего	1	2
19	в том случае если	2	2
20	имеет ничего общего с	1	2
21	но в то же	3	2
22	а в том как	1	1
23	с этой точки зрения	1	1
24	не может не вызвать	1	1
25	состоит в том что	3	1
26	не в этом а	1	1
27	в него и в	1	1
28	в том что она	1	1
29	том смысле как мы	1	1
30	и о том что	2	1
31	а также и о	1	1
32	в том смысле как	1	1
33	но тем не менее	2	1
34	в них нет ничего	1	1
35	она в самом деле	1	1
36	в такой же мере	2	1
37	то и другое в	1	1
38	все еще казалось что	1	1
39	том что он не	1	1
40	не чем иным как	1	1
41	в один ряд с	1	1
42	мы уже знаем что	1	1
43	можно судить по его	1	1
44	в этом а в	1	1
45	мы имеем дело с	1	1
46	и то и другое	1	1
47	в письме к а	1	1
48	ни в чем не	1	1
49	о том что в	3	1
50	так же как и	1	1
51	характер с одной стороны	1	1
52	а в иных случаях	1	1
53	не имеют никакого отношения	1	1
54	не в том что	1	1
