N	2gram	Medvedev_F	formyVre
1	и в	54	148
2	в этом	39	73
3	в нем	25	51
4	прежде всего	34	46
5	и т	22	40
6	и не	34	37
7	в его	30	36
8	и его	27	36
9	вовсе не	18	35
10	но и	18	33
11	то же	16	32
12	т п	11	32
13	не только	14	32
14	в литературе	6	32
15	но в	9	31
16	жизни и	10	31
17	так и	24	29
18	может быть	30	27
19	не в	16	26
20	как мы	10	26
21	как и	18	25
22	как бы	10	25
23	точки зрения	21	24
24	мы уже	1	24
25	только в	6	23
26	в то	14	23
27	в том	17	22
28	то что	14	22
29	связи с	12	21
30	во всех	9	21
31	жизни в	2	21
32	же время	13	21
33	все эти	12	21
34	в своем	12	19
35	и др	8	19
36	и на	10	19
37	в основном	3	19
38	и для	5	19
39	таким образом	28	18
40	у него	1	18
41	и все	9	18
42	еще не	6	18
43	по существу	8	18
44	при этом	14	17
45	те же	1	17
46	с этим	6	17
47	в особенности	7	17
48	так как	4	17
49	в пределах	13	17
50	все же	8	16
51	в условиях	1	16
52	в связи	11	16
53	того же	1	16
54	в основе	7	16
55	и во	2	16
56	и их	13	16
57	не может	26	16
58	в одном	2	15
59	в них	4	15
60	в дальнейшем	3	15
61	никогда не	6	15
62	с точки	17	15
63	так сказать	6	15
64	с его	12	15
65	вместе с	8	15
66	лишь в	15	15
67	и как	6	14
68	и с	17	14
69	так же	5	14
70	в конце	2	14
71	его жизни	1	14
72	всех этих	6	14
73	а не	11	14
74	как раз	8	14
75	все это	11	14
76	в самом	17	13
77	в котором	2	13
78	для того	3	13
79	с ним	3	13
80	как в	12	13
81	роль в	2	13
82	здесь в	2	13
83	в их	16	13
84	в частности	4	13
85	того чтобы	4	13
86	а в	11	13
87	же в	4	13
88	и до	8	12
89	конечно не	5	12
90	время в	4	12
91	не было	7	12
92	он не	8	12
93	значение и	4	12
94	отнюдь не	13	12
95	что в	10	12
96	с природой	1	12
97	это время	1	12
98	потому что	2	12
99	в истории	10	12
100	ничего не	5	12
101	но не	5	12
102	и наконец	7	12
103	из них	5	11
104	хотя и	3	11
105	его в	5	11
106	между ними	3	11
107	романа в	1	11
108	ни в	3	11
109	в образе	1	11
110	уже в	1	11
111	мира и	1	11
112	в ней	15	11
113	и другие	3	10
114	кроме того	3	10
115	уже не	9	10
116	входит в	8	10
117	влияние на	3	10
118	в ее	10	10
119	вещей и	3	10
120	этого ряда	1	10
121	сих пор	7	10
122	также и	1	10
123	до сих	7	10
124	на основе	6	10
125	здесь не	5	10
126	в большинстве	6	10
127	и даже	7	9
128	но все	4	9
129	их в	2	9
130	на этой	1	9
131	с другой	8	9
132	наряду с	1	9
133	всего в	5	9
134	здесь нет	1	9
135	должно быть	13	9
136	и это	4	9
137	в других	5	9
138	могут быть	7	9
139	та же	3	9
140	отношения к	6	9
141	оно не	6	9
142	том что	3	9
143	в самой	2	9
144	для него	9	9
145	жизнь и	3	9
146	и других	4	9
147	мира в	2	9
148	и к	7	8
149	в результате	8	8
150	в виду	2	8
151	в этих	3	8
152	к тому	6	8
153	но эти	1	8
154	в этот	2	8
155	в некоторых	2	8
156	с одной	5	8
157	в произведении	2	8
158	что и	10	8
159	романе и	1	8
160	характер и	2	8
161	рядом с	1	8
162	в мире	4	8
163	здесь на	1	8
164	в роман	1	8
165	и по	3	8
166	один из	4	8
167	в жизни	3	8
168	со всеми	3	8
169	если бы	8	8
170	большинстве случаев	5	8
171	этого времени	1	8
172	до конца	9	8
173	жизни но	2	8
174	и то	1	8
175	значение в	4	8
176	том числе	1	8
177	во всяком	6	8
178	это не	4	8
179	и прежде	3	8
180	а также	1	8
181	на фоне	7	8
182	и потому	9	8
183	отношение к	4	8
184	отношению к	4	8
185	или иной	1	8
186	в целом	7	8
