N	3gram	Bakhtin_Pr	NovoeSre
1	в высшей степени	2	6
2	не может быть	8	4
3	подобно тому как	5	3
4	лицом к лицу	1	3
5	во всех сферах	1	3
6	культуры нового времени	1	2
7	и не во	1	2
8	в том и	2	2
9	ни одна из	1	2
10	равно как и	1	2
11	так же как	4	2
12	в нем нет	1	2
13	в этом смысле	12	2
14	что в нем	1	2
15	он не может	2	2
16	с другой стороны	3	2
17	она не может	3	2
18	это не значит	3	2
19	быть не может	1	1
20	сами по себе	4	1
21	в том что	10	1
22	не в том	1	1
23	и в высшей	1	1
24	не в духе	1	1
25	до сих пор	3	1
26	образ человека и	1	1
27	я не могу	1	1
28	нельзя сказать ни	1	1
29	и быть не	1	1
30	тому как в	2	1
31	как будто бы	1	1
32	что она не	3	1
33	это конечно не	1	1
34	в зависимости от	5	1
35	слова а не	1	1
36	по существу своему	1	1
37	в то что	2	1
38	том числе и	1	1
39	можно было бы	4	1
40	то что он	1	1
41	мы должны перейти	1	1
42	только для себя	1	1
43	не только в	2	1
44	в большинстве случаев	3	1
45	в том чтобы	1	1
46	в том смысле	1	1
47	в отличие от	3	1
48	в значительной степени	1	1
49	ведь прежде всего	1	1
50	xviii века но	1	1
51	о том что	5	1
52	же как и	3	1
53	и весь мир	1	1
54	и того же	1	1
55	и не могут	1	1
56	не могут быть	1	1
57	потому что не	2	1
58	выходит за пределы	2	1
59	в платоновском смысле	1	1
60	в новое время	1	1
61	было бы сказать	1	1
62	нового времени что	1	1
63	но это было	1	1
64	то что в	1	1
65	во всяком случае	3	1
66	та или иная	1	1
67	ни в какие	1	1
68	в том числе	1	1
69	совершенно так же	2	1
70	конечно не в	1	1
71	верить в то	1	1
72	или иная форма	1	1
73	для них не	1	1
74	себе и в	1	1
75	в мире а	1	1
76	а не к	1	1
77	и еще не	2	1
78	в то время	3	1
79	это и есть	3	1
80	то время как	2	1
81	по природе своей	2	1
82	в известном смысле	1	1
83	во времени в	1	1
84	и т.п так	1	1
85	не будет и	1	1
86	переживает кризис и	1	1
87	и про себя	1	1
88	и не может	3	1
89	одного и того	1	1
90	может быть только	3	1
