N	4gram	Vygotskiy_	Analitik
1	в то же время	1	14
2	состоит в том что	3	7
3	в той или иной	1	5
4	в том что он	1	4
5	дело в том что	2	3
6	одной и той же	2	3
7	бы то ни было	1	3
8	может быть сведено к	2	2
9	с этой точки зрения	1	2
10	в то же самое	1	2
11	ни в коем случае	1	2
12	то же самое время	1	2
13	в тех случаях когда	1	2
14	в такой же мере	3	2
15	один и тот же	1	2
16	заключается в том что	6	2
17	в коем случае не	1	2
18	одно и то же	2	2
19	из того что в	2	2
20	его можно было бы	1	1
21	мы имеем в виду	1	1
22	и в самом деле	1	1
23	в свою очередь является	1	1
24	так как если бы	1	1
25	во всех своих частях	1	1
26	для того чтобы быть	1	1
27	в основе которого лежит	2	1
28	том виде в каком	1	1
29	на самом же деле	1	1
30	а по своей природе	1	1
31	такой же мере как	1	1
32	в том и заключается	1	1
33	лишь в тех случаях	1	1
34	дело тут не в	1	1
35	приходит к выводу что	4	1
36	как если бы он	2	1
37	то же самое что	1	1
38	в том числе и	3	1
39	состоит в том чтобы	1	1
40	или во всяком случае	2	1
41	здесь и теперь в	1	1
42	в отличие от элементов	1	1
43	так же точно и	1	1
44	несмотря на то что	1	1
45	истинном значении этого слова	1	1
46	же мере как и	1	1
47	как раз в том	1	1
48	и та и другая	1	1
49	раз в том что	1	1
50	вместе с ним и	1	1
51	в собственном смысле слова	4	1
52	друг с другом в	2	1
53	а вместе с ним	1	1
54	все что мы знаем	1	1
55	приводит к тому что	1	1
56	в том виде в	1	1
57	в том что мы	1	1
58	той или иной мере	1	1
59	ответ на этот вопрос	3	1
