N	2gram	Tiupa_Disk	Vladivir
1	и в	27	116
2	то что	10	71
3	и не	25	67
4	в году	3	65
5	не только	36	65
6	в этом	29	53
7	в том	29	52
8	том что	27	51
9	что в	8	48
10	но и	22	47
11	в конце	1	41
12	в его	9	40
13	и с	2	39
14	то есть	29	37
15	и даже	4	36
16	сказать что	4	36
17	также и	6	36
18	там же	3	35
19	учение о	1	35
20	так что	1	35
21	же с	1	34
22	потому что	7	33
23	что он	6	32
24	еще и	1	32
25	не может	17	31
26	о том	12	30
27	только в	9	30
28	как мы	2	29
29	никогда не	3	29
30	для него	9	29
31	вовсе не	1	27
32	а в	5	27
33	не было	9	26
34	а к	3	25
35	в себе	22	25
36	но в	15	25
37	в то	8	25
38	и то	4	25
39	и его	4	25
40	а также	15	24
41	точки зрения	6	23
42	он не	4	23
43	может быть	29	23
44	что же	4	23
45	он был	1	22
46	ни в	7	22
47	в виде	1	22
48	об этом	3	22
49	в своей	10	21
50	вместе с	3	21
51	а именно	1	20
52	и что	2	20
53	в своем	11	20
54	прежде всего	17	20
55	не менее	6	19
56	и вообще	2	19
57	как раз	1	19
58	тем не	1	19
59	таким образом	4	19
60	так и	14	19
61	и потому	3	19
62	как и	27	18
63	не мог	1	18
64	не в	8	18
65	не был	1	18
66	хотя и	3	18
67	как это	2	18
68	с его	9	18
69	что и	5	17
70	в этой	5	17
71	едва ли	2	17
72	а не	35	17
73	все же	8	16
74	уже не	7	16
75	к тому	6	16
76	не есть	3	16
77	для себя	6	16
78	и все	5	16
79	было бы	1	16
80	того что	4	16
81	в котором	7	16
82	и к	4	15
83	то же	12	15
84	в своих	6	15
85	под названием	2	15
86	к этому	4	15
87	несмотря на	1	15
88	в связи	1	15
89	разного рода	2	15
90	до конца	2	15
91	но это	3	15
92	это было	2	15
93	того же	5	14
94	все эти	2	14
95	раз и	1	14
96	тут же	3	14
97	же касается	4	14
98	и на	8	14
99	уже в	2	14
100	и как	9	14
101	во всем	2	13
102	в результате	3	13
