N	3gram	Trubetskoy	slovoVRo
1	не может быть	4	19
2	то же время	10	18
3	в то же	10	18
4	той или иной	3	15
5	с точки зрения	9	15
6	в большинстве случаев	2	11
7	более или менее	4	9
8	в этом случае	3	9
9	во всяком случае	6	8
10	в значительной степени	1	7
11	но в то	1	7
12	не может не	3	6
13	но все же	1	6
14	в том что	7	5
15	по отношению к	1	5
16	в каждый данный	1	5
17	в этом отношении	1	5
18	во всех областях	1	5
19	для того чтобы	6	4
20	друг с другом	14	4
21	до сих пор	5	4
22	каждый данный момент	1	4
23	и не может	3	4
24	в свою очередь	1	4
25	лишь тогда когда	1	4
26	в лучшем случае	3	4
27	всех областях жизни	1	3
28	до известной степени	1	3
29	того или иного	2	3
30	тех или иных	1	3
31	в данном случае	3	3
32	в связи с	1	3
33	сама по себе	2	3
34	к тому что	2	3
35	в основе его	1	3
36	в другом случае	2	3
37	которых мы говорили	1	2
38	как бы ни	1	2
39	и в другом	2	2
40	о которых мы	1	2
41	тем не менее	1	2
42	то есть не	1	2
43	а между тем	5	2
44	или в лучшем	2	2
45	что он есть	1	2
46	и в том	2	2
47	и в этом	1	2
48	в том и	2	2
49	но по существу	1	2
50	том и в	2	2
51	о том что	2	2
52	а следовательно и	2	2
53	на том же	1	2
54	мы не знаем	1	2
55	можно было бы	3	2
56	во всех этих	1	2
57	с самого начала	1	2
58	тем что он	1	2
59	же время в	1	2
60	и в частности	1	2
61	и не только	1	2
62	тот или иной	1	2
63	тот факт что	2	2
64	что он не	2	1
65	бы друг с	1	1
66	он еще не	1	1
67	в применении к	1	1
68	и более или	1	1
69	основе его лежит	1	1
70	он не может	1	1
71	в том числе	1	1
72	с ним в	1	1
73	только с точки	1	1
74	она не может	2	1
75	как бы не	1	1
76	свою точку зрения	1	1
77	жизни перед нами	1	1
78	в том случае	4	1
79	друг друга в	1	1
80	возможно лишь при	4	1
81	по самому своему	2	1
82	по себе еще	1	1
83	речь идет о	1	1
84	в нем самом	1	1
85	наиболее полное и	1	1
86	о котором идет	2	1
87	том числе и	1	1
88	именно так как	1	1
89	и прежде всего	1	1
90	лишь при условии	2	1
91	а в том	1	1
92	в этой роли	1	1
93	в этом направлении	2	1
94	самому своему существу	1	1
95	то ни было	1	1
96	одну и ту	1	1
97	бы то ни	4	1
98	перед нами не	1	1
99	в его целом	1	1
100	с другом в	1	1
101	мы говорили в	2	1
102	говорить и писать	1	1
103	и во всяком	2	1
104	и к ее	1	1
105	на то что	4	1
106	и вот в	1	1
107	и ту же	1	1
108	по крайней мере	1	1
109	в том чтобы	1	1
110	заключается в том	1	1
111	отличается от того	1	1
112	точки зрения здесь	1	1
113	противоречат друг другу	1	1
114	к одному из	1	1
115	жизни но и	1	1
116	может стремиться к	1	1
117	за ними не	1	1
118	необходимо иметь в	1	1
119	в противном случае	1	1
120	жизни и в	1	1
121	его жизни и	1	1
122	уже не на	1	1
123	и с точки	1	1
124	дело в том	1	1
125	с другом и	2	1
126	так же как	1	1
127	того чтобы их	1	1
128	эта точка зрения	1	1
129	всех этих случаях	1	1
130	всяком случае не	1	1
131	о себе самом	1	1
132	том случае если	3	1
133	будучи по существу	2	1
134	с отказом от	1	1
135	от нас и	1	1
136	момент необходимый для	1	1
137	прежде всего в	1	1
138	неизбежно приводит к	1	1
139	друг к другу	1	1
