N	3gram	Vygotskiy_	Narrotol
1	в том что	33	18
2	в данном случае	3	17
3	не только в	1	13
4	в отличие от	3	11
5	по отношению к	19	11
6	к тому же	1	9
7	о том что	7	9
8	не может быть	4	8
9	тем не менее	1	8
10	той или иной	1	8
11	в то же	1	8
12	в этом отношении	7	8
13	и тем самым	3	6
14	состоит в том	7	6
15	в известном смысле	7	6
16	мы имеем дело	2	6
17	можно сказать что	7	6
18	с одной стороны	10	6
19	для того чтобы	20	5
20	но при этом	2	5
21	в свою очередь	4	5
22	но и в	1	5
23	на самом деле	3	5
24	подобно тому как	6	5
25	и все же	1	5
26	имеем дело с	1	5
27	к тому что	5	4
28	во всяком случае	2	4
29	у нас нет	1	4
30	которая состоит в	1	3
31	в самом деле	6	3
32	и не может	3	3
33	друг на друга	2	3
34	до сих пор	3	3
35	в этом и	2	3
36	в первом случае	2	3
37	речь идет о	1	3
38	в зависимости от	2	3
39	в связи с	6	3
40	то же самое	7	3
41	едва ли не	1	3
42	внимание на то	1	3
43	того или иного	1	3
44	на то что	5	3
45	с точки зрения	12	3
46	как раз в	1	3
47	и то что	6	3
48	мере в какой	3	2
49	на протяжении этого	1	2
50	в той мере	3	2
51	но и на	1	2
52	мы узнаем что	1	2
53	если бы она	1	2
54	более или менее	1	2
55	и то же	1	2
56	одного и того	8	2
57	сами по себе	1	2
58	так и по	1	2
59	той мере в	3	2
60	не могло быть	1	2
61	не только не	7	2
62	и того же	8	2
63	и т.п и	1	2
64	на этот раз	1	2
65	а с другой	3	2
66	и потому что	1	2
67	смысле можно сказать	2	2
68	в том смысле	1	2
69	но все же	2	2
70	именно то что	3	2
71	одно и то	1	2
72	можно было бы	8	2
73	так же как	9	2
74	отношению к ним	1	2
75	тому что он	4	2
76	тем или иным	2	2
77	по своей природе	2	2
78	что иное как	2	2
79	известном смысле можно	1	2
80	как бы в	1	2
81	в этом последнем	1	2
82	потому что я	1	1
83	в самом начале	2	1
84	об этом прямо	1	1
85	но то же	1	1
86	одной стороны и	2	1
87	тем более не	1	1
88	и тот же	5	1
89	и как бы	1	1
90	со всеми своими	1	1
91	в этом направлении	1	1
92	вытекает непосредственно из	1	1
93	не только потому	1	1
94	о том как	3	1
95	никак не может	2	1
