N	3gram	Losev_Prob	Sotsiolo
1	дело не в	4	2
2	в том что	17	2
3	и заключается что	1	2
4	в конце концов	4	2
5	это и есть	3	1
6	и в то	2	1
7	конечно не в	1	1
8	в то же	10	1
9	друг от друга	3	1
10	ровно ничего не	2	1
11	сказать и о	2	1
12	хотя бы о	1	1
13	выходит за пределы	1	1
14	с одной стороны	2	1
15	в связи с	9	1
16	быть не только	1	1
17	то же самое	17	1
18	том и заключается	1	1
19	на первый план	3	1
20	далеко еще не	1	1
21	по крайней мере	9	1
22	о том как	4	1
23	только то что	4	1
24	в данном стихотворении	1	1
25	в процессе живого	1	1
26	и только как	1	1
27	сама по себе	11	1
28	благодаря тому что	1	1
29	но только в	2	1
30	это вовсе не	5	1
31	во всяком случае	8	1
32	а в том	1	1
33	и в этом	6	1
34	в том и	1	1
35	как бы они	1	1
36	в настоящее время	4	1
37	не выходит за	2	1
38	не было бы	3	1
39	и потому его	1	1
40	тем более не	2	1
