N	2gram	Tiupa_Teor	Freidism
1	таким образом	3	34
2	и не	17	34
3	точки зрения	11	31
4	не может	8	30
5	– это	33	29
6	и пр	1	29
7	в этом	12	28
8	может быть	22	28
9	и в	24	28
10	прежде всего	3	26
11	в его	12	25
12	и его	11	22
13	с помощью	1	20
14	как бы	8	19
15	как мы	1	18
16	то что	6	17
17	– в	20	17
18	вовсе не	3	16
19	с точки	3	15
20	жизни человека	1	15
21	все эти	3	15
22	так как	1	15
23	с ним	1	14
24	в своей	8	14
25	так и	14	14
26	самом деле	2	14
27	в душе	9	13
28	как и	6	13
29	по отношению	10	13
30	но в	12	13
31	во всех	3	13
32	в самом	7	12
33	то же	12	12
34	ни в	5	12
35	что он	4	12
36	том что	11	12
37	во внешнем	2	12
38	для него	5	12
39	все это	2	12
40	– не	4	12
41	и потому	3	12
42	только в	9	11
43	сказать что	4	11
44	отношению к	10	11
45	его в	4	11
46	все что	1	10
47	один из	2	10
48	не только	24	10
49	но и	14	10
50	тот же	1	10
51	никогда не	4	10
52	в том	20	10
53	в сознание	1	10
54	он не	5	10
55	за пределы	2	10
56	не в	9	10
57	и на	2	9
58	те же	1	9
59	уже не	6	9
60	совершенно не	1	9
61	человеческого поведения	1	9
62	с его	6	9
63	к нему	2	9
64	в чем	2	9
65	а не	14	9
66	и др	3	9
67	могут быть	5	9
68	при этом	20	8
69	все же	1	8
70	еще не	6	8
71	с этим	1	8
72	было бы	1	8
73	и вот	3	8
74	а в	15	8
75	– все	3	8
76	с другими	6	8
77	на этом	2	8
78	оно и	1	8
79	– только	3	8
80	что в	10	7
81	и к	3	7
82	не могут	2	7
83	в жизни	3	7
84	роль в	3	7
85	– и	2	7
86	его жизни	1	7
87	в каком	2	7
88	если мы	2	7
89	до конца	1	7
90	что все	1	7
91	и для	3	7
92	из них	1	7
93	того что	5	7
94	не является	5	7
95	но не	13	7
96	я и	2	7
97	– с	8	7
98	об этом	2	7
99	человека –	1	7
100	в нем	7	7
101	быть и	2	7
102	в этой	3	7
103	отношение к	7	7
104	в себе	14	7
105	жизни и	1	7
106	и прежде	2	7
107	в то	9	7
108	и ее	4	7
109	более того	1	7
110	одно из	1	6
111	если он	1	6
112	не менее	6	6
113	к тому	4	6
114	можно сказать	5	6
115	в основе	6	6
116	в свою	4	6
117	для того	5	6
118	же время	8	6
119	из этих	3	6
120	мы имеем	7	6
121	как раз	3	6
122	что такое	2	6
123	сознания и	1	6
124	в таком	3	6
125	большинстве случаев	1	6
126	– как	2	6
127	она не	1	6
128	совсем не	1	6
129	и что	4	6
130	в пределах	5	6
131	человека и	2	6
132	и о	5	6
133	и только	1	6
134	для этого	1	6
135	в индивидуальную	1	5
136	что это	1	5
137	в более	1	5
138	со всеми	1	5
139	в своих	1	5
140	ее в	2	5
141	оно –	1	5
142	с ними	2	5
143	вместе с	2	5
144	со стороны	6	5
145	в следующей	2	5
146	на первый	1	5
147	тех же	1	5
148	того чтобы	5	5
149	говорить о	4	5
150	на основании	1	5
151	и до	1	5
152	и те	1	5
153	что она	2	5
154	по поводу	1	5
155	той же	1	5
156	это не	4	5
157	в ее	6	5
158	что и	2	5
159	с их	2	5
160	в которой	3	5
161	тому что	2	5
162	между ними	6	5
163	в этих	4	5
164	в себя	5	5
165	внутренней речи	13	5
166	и по	3	5
167	не было	1	5
168	во второй	7	5
169	не знает	4	5
170	как это	10	5
171	далеко не	4	5
172	только то	1	5
173	он –	1	5
174	в большинстве	2	5
175	заключается в	2	5
176	что может	2	5
177	отнюдь не	3	5
178	внешней речи	2	5
179	с которыми	1	4
180	в виду	5	4
181	сводится к	12	4
182	по себе	2	4
183	если бы	3	4
184	общения между	2	4
185	так называемый	1	4
186	именно в	3	4
187	в собственном	1	4
188	как в	5	4
189	себя и	2	4
190	зависимости от	1	4
191	из которого	3	4
192	это и	2	4
193	данном случае	5	4
194	из тех	2	4
195	в данном	9	4
196	в котором	1	4
197	потому что	3	4
198	не всегда	2	4
199	и т.п	7	4
200	слова и	1	4
201	только на	2	4
202	– один	1	4
203	в мир	1	4
204	а только	4	4
205	в истории	1	4
206	так же	2	4
207	свою очередь	3	4
208	на которые	1	4
209	в своем	7	4
210	нигде не	1	4
211	одна из	1	4
212	и внешней	3	4
213	едва ли	1	4
214	– его	5	4
215	внутренней и	2	4
216	тем не	3	4
217	на всех	1	4
218	по ту	1	4
219	таком случае	2	4
220	у него	2	4
221	не существует	1	4
222	в зависимости	1	4
223	я не	2	4
224	по своему	4	4
225	между собой	3	4
226	на язык	1	4
227	человека к	3	4
228	о себе	2	4
229	в таких	1	4
230	не дает	1	4
231	не тот	1	4
232	то ни	2	4
233	в развитии	1	4
234	и может	1	4
235	в другом	4	4
236	личности и	4	4
237	ту сторону	1	4
238	в систему	1	4
239	в узком	3	4
240	внешнем мире	2	4
241	в области	7	4
242	с ее	4	4
243	в целом	4	4
244	себе самом	1	3
245	другой –	1	3
246	не так	1	3
247	во втором	3	3
248	для всех	2	3
249	в центре	1	3
250	на почве	5	3
251	это уже	1	3
252	мы в	2	3
253	в результате	1	3
254	жизни –	2	3
255	в них	2	3
256	не сможет	1	3
257	оно не	2	3
258	и даже	2	3
259	все то	1	3
260	их в	3	3
261	значение в	1	3
262	конечном счете	6	3
263	к его	3	3
264	нам уже	1	3
265	жизни в	2	3
266	приводит к	6	3
267	другому человеку	1	3
268	при анализе	1	3
269	раз и	1	3
270	на основе	2	3
271	– лишь	1	3
272	сознания в	2	3
273	между двумя	3	3
274	сознания –	3	3
275	имеет дело	2	3
276	в одном	3	3
277	в совершенно	1	3
278	являются только	1	3
279	из наиболее	1	3
280	на две	3	3
281	тем же	2	3
282	в нашем	4	3
283	с этими	1	3
284	о том	2	3
285	во всей	3	3
286	в сознании	1	3
287	всего к	1	3
288	того же	4	3
289	и становится	1	3
290	конечно с	1	3
291	бы то	2	3
292	только не	3	3
293	и то	3	3
294	говорит о	1	3
295	мы видим	1	3
296	не поддается	1	3
297	они не	1	3
298	мы конечно	1	3
299	у нас	2	3
300	в конечном	6	3
301	и притом	3	3
302	от всех	2	3
303	одним из	3	3
304	на себя	2	3
305	не остается	1	3
306	случае не	2	3
307	во внутренней	2	3
308	и как	3	3
309	и сам	4	3
310	и со	1	3
311	в условиях	1	3
312	себе и	1	3
313	единство и	1	3
314	жизни по	1	3
315	следующей главе	1	3
316	этих двух	2	3
317	остается в	1	3
318	читателя в	4	3
319	между тем	5	3
320	в какой	2	3
321	в искусстве	9	3
322	и является	2	3
323	человека с	3	3
324	но во	2	3
325	в материальном	1	3
326	себя в	7	3
327	свести к	1	3
328	и от	1	3
329	и есть	1	3
330	чаще всего	1	3
331	о своих	1	3
332	нуждается в	1	3
333	независимо от	1	3
334	на это	1	3
335	однако и	1	2
336	и другие	2	2
337	в тени	1	2
338	вступить в	1	2
339	случае в	1	2
340	– так	1	2
341	в момент	3	2
342	жизни а	2	2
343	его с	1	2
344	для себя	3	2
345	без исключения	4	2
346	и их	1	2
347	оказывается не	1	2
348	хх века	4	2
349	из которых	2	2
350	не как	1	2
351	для восприятия	1	2
352	окружающей его	2	2
353	из того	1	2
354	для нас	1	2
355	в отношении	4	2
356	до последнего	1	2
357	их не	1	2
358	особого рода	7	2
359	по пути	4	2
360	чувства и	1	2
361	в первом	2	2
362	сознание не	1	2
363	жизнь в	1	2
364	не позволяет	1	2
365	второй –	3	2
366	в составе	1	2
367	теми же	1	2
368	из всего	1	2
369	отношения к	4	2
370	в мире	26	2
371	психики но	1	2
372	приходит в	1	2
373	а именно	3	2
374	тому назад	1	2
375	в широком	1	2
376	предмета и	1	2
377	не имеет	1	2
378	отличается от	2	2
379	да и	1	2
380	роли в	5	2
381	нет в	1	2
382	обратное влияние	1	2
383	не входит	2	2
384	все они	1	2
385	но их	3	2
386	художественный образ	1	2
387	всей его	2	2
388	в такой	1	2
389	должно быть	1	2
390	вопрос о	1	2
391	произведение искусства	12	2
392	– а	1	2
393	совершенно иной	2	2
394	опыта как	1	2
395	связана с	1	2
396	одной стороны	3	2
397	высказывания –	2	2
398	лежат в	1	2
399	представляет собой	13	2
400	время в	1	2
401	и теперь	1	2
402	значение для	1	2
403	в различных	1	2
404	превращается в	2	2
405	к объекту	1	2
406	быть это	1	2
407	в глаза	2	2
408	же самое	1	2
409	с другой	9	2
410	в прошлом	1	2
