N	4gram	Bakhtin_Pr	VeschiIm
1	не что иное как	1	12
2	есть не что иное	1	8
3	одно и то же	1	5
4	значит ли это что	1	4
5	дело в том что	2	4
6	в то же время	8	4
7	и в то же	3	3
8	на самом же деле	2	1
9	к одному и тому	2	1
10	в этом смысле и	1	1
11	есть все то что	1	1
12	что с точки зрения	1	1
13	с точки зрения этого	1	1
14	с самим собою в	1	1
15	не может обойтись без	1	1
16	что он не есть	1	1
17	жизни не может обойтись	1	1
18	но в то же	3	1
19	одному и тому же	2	1
20	в этом и заключается	1	1
21	если бы оно было	1	1
22	один и тот же	1	1
