N	2gram	Medvedev_I	UchenyiS
1	и в	1	14
2	и не	2	8
3	в этом	2	7
4	художественного творчества	1	5
5	в художественном	1	5
6	все это	1	5
7	с другой	1	4
8	очевидно что	1	3
9	для него	1	3
10	другой стороны	1	3
11	если бы	1	2
12	это было	1	2
13	и с	3	2
14	художественном творчестве	1	2
15	по существу	1	2
16	тем что	1	2
17	более чем	1	2
18	ничего не	2	2
19	неудивительно что	1	2
20	не случайно	1	2
21	так то	1	1
22	что в	2	1
23	первую очередь	1	1
24	а для	1	1
25	и др	1	1
26	то и	1	1
27	в значительной	1	1
28	ученики и	1	1
29	творчества то	1	1
30	значительной мере	1	1
31	только для	1	1
32	без этого	1	1
33	так и	1	1
34	он не	2	1
35	что для	1	1
36	в первую	1	1
37	что при	1	1
38	точно и	1	1
39	так напр	2	1
40	того что	1	1
41	бы в	1	1
42	никогда не	1	1
