N	3gram	Vinokur_Vv	NovoeSre
1	не может быть	10	4
2	подобно тому как	2	3
3	в средние века	1	3
4	лицом к лицу	1	3
5	не значит что	1	3
6	вопрос о том	5	2
7	вместе с тем	3	2
8	так же как	1	2
9	в этом смысле	10	2
10	что в нем	2	2
11	когда мы говорим	1	2
12	с одной стороны	4	2
13	с другой стороны	5	2
14	лишь в том	1	1
15	в том что	15	1
16	не в том	2	1
17	в этой системе	1	1
18	философской мысли но	1	1
19	до сих пор	7	1
20	как будто бы	2	1
21	и потому что	2	1
22	вообще не существует	1	1
23	в зависимости от	3	1
24	слова а не	1	1
25	и это есть	1	1
26	можно было бы	4	1
27	том смысле в	1	1
28	только потому что	1	1
29	не только в	4	1
30	но и в	1	1
31	бы сказать что	1	1
32	том что нет	1	1
33	в том чтобы	5	1
34	не быть в	1	1
35	в том смысле	1	1
36	в отличие от	4	1
37	в значительной степени	1	1
38	как это было	1	1
39	жизни и творчества	2	1
40	в нем не	1	1
41	вот почему о	1	1
42	о том что	13	1
43	что в этом	2	1
44	и того же	2	1
45	и не могут	2	1
46	но это уже	1	1
47	не могут быть	2	1
48	наряду с этим	1	1
49	мы говорим о	1	1
50	заключает в себе	1	1
51	было бы сказать	1	1
52	то что в	1	1
53	и не в	1	1
54	во всяком случае	5	1
55	та или иная	1	1
56	в том числе	1	1
57	средние века но	1	1
58	не осталось ни	1	1
59	и для того	1	1
60	одна из сторон	1	1
61	имея в виду	1	1
62	в известном смысле	3	1
63	того чтобы быть	1	1
64	о человеке и	1	1
65	смысле в каком	1	1
66	смысле слова а	1	1
67	одного и того	2	1
68	о природе и	1	1
69	может быть только	1	1
