N	3gram	Bakhtin_fo	EvropaiC
1	в том что	4	16
2	до сих пор	4	15
3	по отношению к	3	11
4	друг с другом	5	9
5	с точки зрения	9	8
6	для того чтобы	11	7
7	на самом деле	1	7
8	друг от друга	2	6
9	что касается до	1	6
10	сих пор не	1	5
11	по сравнению с	3	5
12	представляет из себя	1	5
13	в самом деле	1	5
14	к тому же	2	5
15	не может быть	4	4
16	о том что	2	4
17	тот факт что	1	4
18	совершенно так же	1	4
19	с другой стороны	1	4
20	которых мы говорили	1	4
21	о которых мы	1	4
22	в конце концов	1	4
23	в этом случае	1	4
24	может быть и	4	4
25	вместе с тем	3	3
26	в том же	3	3
27	одного и того	6	3
28	нечего и говорить	1	3
29	так же как	2	3
30	в данном случае	2	3
31	и того же	6	3
32	не может не	1	3
33	в связи с	12	3
34	в свою очередь	1	2
35	рано или поздно	1	2
36	в нашем случае	1	2
37	о которой мы	1	2
38	том что все	1	2
39	но вместе с	1	2
40	во всяком случае	1	2
41	которой мы говорили	1	2
42	и может быть	1	2
43	во всех этих	2	2
44	каждый из этих	1	2
45	друг на друга	4	2
46	как и в	3	2
47	а следовательно и	3	2
48	в то время	3	2
49	в то же	10	2
50	того чтобы быть	1	2
51	между этими двумя	3	2
52	и культур не	1	2
53	в высшей степени	1	2
54	они должны быть	1	2
55	из того же	1	2
56	но все же	3	2
57	с одной стороны	3	2
58	то же время	13	2
59	и в том	1	2
60	друг к другу	2	2
61	именно в тех	1	1
62	это имеет место	1	1
63	роль во всех	1	1
64	есть одно из	1	1
65	встречаются друг с	1	1
66	не считаясь с	1	1
67	мы говорили в	1	1
68	и у нас	1	1
69	широком смысле слова	1	1
70	все то что	2	1
71	то есть в	2	1
72	что по существу	1	1
73	но по существу	2	1
74	времени все же	1	1
75	мы уже знаем	1	1
76	становится как бы	1	1
77	для борьбы с	1	1
78	мы находим в	1	1
79	далее в виду	1	1
80	но и помимо	1	1
81	та или иная	1	1
82	к тому времени	2	1
83	таким образом все	1	1
84	в ту же	1	1
85	ту же рубрику	1	1
86	в данный момент	1	1
87	таким образом весь	1	1
88	от так называемого	1	1
89	по существу он	1	1
90	и все другие	2	1
91	и в дальнейшем	1	1
92	между ними нет	1	1
93	когда дело идет	1	1
94	этой точки зрения	1	1
95	совершенно ясно что	1	1
96	в себе и	1	1
97	во всех отношениях	1	1
98	с этой точки	1	1
99	становится до некоторой	1	1
100	в том числе	7	1
101	только в том	1	1
102	они не могут	2	1
103	но для того	2	1
104	и для того	1	1
105	только в этом	1	1
106	в этом и	1	1
107	конечно не без	1	1
108	тем более что	2	1
109	вместе с ними	1	1
110	до некоторой степени	1	1
111	как и греческий	1	1
112	этот вопрос в	1	1
113	с такою же	1	1
114	все упомянутые до	1	1
115	важную роль в	1	1
116	лишь то что	1	1
117	в частной жизни	3	1
118	и до сих	1	1
119	в тот же	1	1
120	каждый из них	1	1
121	таким образом первое	1	1
122	в других областях	1	1
123	дело в том	2	1
124	смысле этого слова	1	1
125	одно и то	4	1
126	как мы видели	1	1
127	в зависимости от	1	1
128	между тем как	1	1
129	как мы сказали	1	1
130	с тем и	1	1
131	том числе и	4	1
132	уже говорили что	1	1
133	надо сказать что	1	1
134	состоит именно в	1	1
135	как бы ни	1	1
136	что в таком	2	1
137	которые могут быть	1	1
138	так что в	1	1
139	тогда когда оно	1	1
140	с самого начала	3	1
141	в нем не	3	1
142	что во всех	1	1
143	они вовсе не	1	1
144	и то же	4	1
145	из этих положений	1	1
146	то же отношение	1	1
147	упомянутые до сих	1	1
148	тех случаях когда	1	1
149	том что они	1	1
150	нет в самом	1	1
151	так же мало	1	1
152	в широком смысле	3	1
153	то же самое	1	1
154	дело идет об	1	1
155	во всем мире	1	1
156	и все прочие	1	1
157	и все же	1	1
158	по этому вопросу	1	1
159	а так как	1	1
160	к тому что	1	1
161	и помимо этого	1	1
162	так как все	1	1
163	мы уже говорили	6	1
164	то увидим что	1	1
165	таким образом и	2	1
166	никогда не было	1	1
167	до конца не	1	1
168	сих пор еще	1	1
169	в основе их	1	1
170	то время как	2	1
171	теперь мы должны	1	1
172	другом все эти	1	1
173	и все они	1	1
174	уже одно это	1	1
175	тот или иной	1	1
176	в течение которого	1	1
177	все эти элементы	1	1
178	в тех случаях	1	1
179	что все их	1	1
180	мы уже сказали	4	1
181	именно в том	1	1
