N	3gram	Nazirov_Tv	Russkaja
1	то же время	18	10
2	в то же	19	10
3	в том что	8	7
4	на самом деле	2	6
5	во всяком случае	2	6
6	до сих пор	1	5
7	не может быть	2	4
8	бы то ни	1	4
9	той или иной	1	3
10	в конце концов	1	3
11	вместе с тем	1	3
12	можно было бы	1	3
13	в данном случае	2	3
14	не может не	1	3
15	к вопросу о	1	3
16	и не может	2	3
17	что он не	1	2
18	с самим собой	1	2
19	и в том	1	2
20	того или иного	1	2
21	точно так же	3	2
22	но она не	1	2
23	и в другом	1	2
24	о том что	6	2
25	к тому что	1	2
26	в настоящее время	1	2
27	о том чтобы	1	2
28	и от которого	1	1
29	тем что они	1	1
30	перед самим собой	1	1
31	но при этом	1	1
32	в самом деле	2	1
33	приходит к сознанию	1	1
34	верит в возможность	1	1
35	и как бы	1	1
36	за то что	1	1
37	может быть назван	2	1
38	дело в том	4	1
39	не только для	1	1
40	он еще не	2	1
41	но в то	5	1
42	самим собой в	2	1
43	и должно быть	1	1
44	том числе и	1	1
45	прежде всего на	1	1
46	так же как	1	1
47	по отношению к	3	1
48	и прежде всего	1	1
49	и вот в	1	1
50	и ту же	1	1
51	в согласии с	1	1
52	по крайней мере	4	1
53	полное представление о	1	1
54	заключается в том	1	1
55	и в других	1	1
56	с самого начала	3	1
57	и что в	1	1
58	то ни было	1	1
59	он верит в	1	1
60	и того же	1	1
61	чтобы мы были	1	1
62	отказаться от своей	1	1
63	заключает в себе	1	1
64	не должны вызывать	1	1
65	но ведь в	1	1
66	сплошь и рядом	1	1
67	одну и ту	1	1
68	на первый взгляд	1	1
69	он не может	1	1
70	в связи с	2	1
71	то же самое	1	1
72	и все же	3	1
73	в том же	3	1
74	только с этой	1	1
75	чудесным образом в	1	1
76	в том числе	1	1
77	что все это	3	1
78	тем не менее	2	1
79	он на самом	1	1
80	только то что	1	1
81	в другом месте	1	1
82	говорить о том	1	1
83	то есть не	2	1
84	для себя из	1	1
85	в свою очередь	2	1
86	в применении к	1	1
87	никогда не было	2	1
88	это и есть	1	1
89	на этот вопрос	2	1
90	то и другое	1	1
91	он как будто	1	1
92	к тому же	1	1
93	одного и того	1	1
94	и в этом	1	1
