N	4gram	Vygotskiy_	Vvedenie
1	той мере в какой	2	6
2	в той мере в	3	6
3	не что иное как	2	5
4	на вопрос о том	3	4
5	вопрос о том что	1	3
6	с одной стороны и	2	3
7	для того чтобы понять	1	3
8	есть не что иное	2	3
9	для того чтобы он	1	2
10	состоит в том что	7	2
11	с этой точки зрения	7	2
12	то же самое что	2	2
13	заключается в том что	10	2
14	в этом смысле нельзя	1	2
15	по самой своей природе	2	2
16	одно и то же	1	2
17	одной и той же	3	2
18	одного и того же	8	2
19	ответ на этот вопрос	2	2
20	приходит к выводу что	1	1
21	только в том что	2	1
22	если принять во внимание	2	1
23	не иначе как через	2	1
24	в самом деле как	1	1
25	в собственном смысле этого	1	1
26	но во всяком случае	1	1
27	в том что он	3	1
28	представление о том что	1	1
29	было бы сказать что	1	1
30	в связи с этим	1	1
31	в том смысле что	1	1
32	но как мы уже	1	1
33	бы то ни было	1	1
34	но вместе с тем	3	1
35	ответить на этот вопрос	1	1
36	сомневаться в том что	1	1
37	заключается в том чтобы	2	1
38	в собственном смысле слова	1	1
39	но с точки зрения	1	1
40	собственном смысле этого слова	1	1
41	и в конце концов	1	1
42	мы имеем в виду	1	1
43	для того чтобы сделать	1	1
44	но в этом случае	2	1
45	в том что в	2	1
46	мере в какой они	1	1
47	не говоря уже о	1	1
48	мы имеем дело с	1	1
49	можно было бы назвать	1	1
50	в том виде как	1	1
