N	4gram	Savitsky_E	Myshleni
1	заключается в том что	2	43
2	в то время как	1	20
3	одного и того же	1	17
4	с этой точки зрения	5	16
5	так же как и	3	16
6	один и тот же	1	12
7	в том числе и	1	10
8	с одной стороны и	6	10
9	в том смысле что	1	5
10	в тех случаях когда	1	4
11	одну и ту же	1	4
12	несмотря на то что	1	4
13	в связи с этим	1	3
14	того что мы знаем	1	3
15	дело в том что	1	3
16	ответить на этот вопрос	1	3
17	к тому или иному	1	3
18	бы то ни было	4	3
19	одна и та же	1	3
20	само по себе не	2	2
21	и связанное с ним	1	2
22	о котором мы говорили	1	2
23	из того что в	1	2
24	приводит нас к выводу	1	2
25	в гораздо большей степени	1	2
26	в то же время	14	2
27	как это имело место	1	2
28	в той или иной	3	2
29	с точки зрения развития	1	2
30	но само по себе	1	2
31	и с точки зрения	1	2
32	в том случае если	1	2
33	чтобы ответить на этот	1	2
34	на то что в	1	2
35	в некотором смысле она	1	1
36	мы стремились показать в	1	1
37	с точки зрения этих	1	1
38	в пределах одного и	1	1
39	и не быть в	1	1
40	и в применении к	1	1
41	того чтобы ответить на	1	1
42	если оставить в стороне	1	1
43	не станем вдаваться в	1	1
44	с другой стороны в	1	1
45	в этом отношении с	1	1
46	как это мы видим	1	1
47	то мы увидим что	1	1
48	что при известных условиях	1	1
49	на основании того что	1	1
50	и та и другая	1	1
51	то же время не	1	1
52	что как бы ни	1	1
53	то же время в	1	1
54	так и со стороны	1	1
55	и в то же	8	1
56	и в этом смысле	2	1
57	и то и другое	1	1
58	мы не станем вдаваться	1	1
59	мы можем сказать что	1	1
60	для того чтобы ответить	1	1
61	с мы не станем	1	1
62	не говоря уже о	1	1
63	в последнее время в	1	1
64	очевидно что в этом	1	1
65	и только в качестве	1	1
66	но так как мы	1	1
67	пределах одного и того	1	1
68	и во многих других	1	1
69	не заключает в себе	1	1
70	в качестве одного из	1	1
71	которые можно было бы	1	1
72	когда дело идет о	1	1
73	во всех этих случаях	1	1
74	на вопрос можно ли	1	1
75	что в основных чертах	1	1
76	как мы стремились показать	1	1
