N	3gram	Medvedev_F	Tvorches
1	в то же	13	25
2	то же время	13	24
3	и т д	11	17
4	в том что	3	11
5	и в то	4	7
6	не может быть	11	6
7	но в то	3	6
8	и т п	11	5
9	в самом деле	5	5
10	по отношению к	4	5
11	до сих пор	7	4
12	по крайней мере	1	4
13	с точки зрения	17	4
14	с самого начала	2	4
15	в таком случае	1	3
16	сами по себе	4	3
17	чуть ли не	1	3
18	в отличие от	2	3
19	это значит что	1	3
20	во всяком случае	6	3
21	как и в	1	3
22	с другой стороны	4	3
23	и не может	5	3
24	является одним из	1	3
25	что он не	1	2
26	в данном случае	2	2
27	влечет за собой	1	2
28	для того чтобы	3	2
29	в том числе	1	2
30	тем не менее	2	2
31	так и в	6	2
32	но при этом	1	2
33	на первом плане	1	2
34	и в конце	1	2
35	могут быть поняты	1	2
36	в конце концов	2	2
37	не сводится к	2	2
38	в этой области	1	2
39	том числе и	1	2
40	не могут быть	4	2
41	в высшей степени	4	2
42	в целом и	1	2
43	в связи с	9	2
44	в своем творчестве	1	2
45	в свою очередь	6	2
46	вместе с тем	5	2
47	заключается в том	1	2
48	только то что	1	2
49	особое место в	2	2
50	на этот вопрос	1	2
51	все же не	1	2
52	на самом деле	7	2
53	в этом романе	1	2
54	именно в этом	1	2
55	reductio ad absurdum	1	2
56	так же как	1	2
57	как бы ни	3	2
58	но отнюдь не	1	2
59	нет и не	2	2
60	так сказать в	2	1
61	лишь в том	1	1
62	таким образом чтобы	1	1
63	на этом фоне	1	1
64	в этот период	1	1
65	в средневековой европе	1	1
66	и как бы	1	1
67	по себе а	2	1
68	во всей ее	1	1
69	в применении к	4	1
70	том смысле что	2	1
71	и наконец в	2	1
72	то во всяком	1	1
73	и многие другие	1	1
74	не был понят	1	1
75	его участие в	1	1
76	что оно не	1	1
77	то или иное	1	1
78	мы говорим о	2	1
79	хотя бы и	1	1
80	так и от	1	1
81	этом романе и	1	1
82	гоголь и достоевский	1	1
83	прежде всего возникает	1	1
84	в процессе художественного	1	1
85	как бы не	1	1
86	и в свою	1	1
87	а с точки	1	1
88	и психологии и	1	1
89	идет уже не	1	1
90	мы знаем что	1	1
91	ничего общего с	2	1
92	резко отличен от	1	1
93	и др однако	2	1
94	с утверждением и	1	1
95	в этом пункте	4	1
96	она дана в	1	1
97	в его художественной	2	1
98	прежде всего и	1	1
99	могут быть названы	1	1
100	в ранний период	1	1
101	и тем самым	2	1
102	и прежде всего	2	1
103	по себе не	1	1
104	их мышления и	1	1
105	в мире идеологических	1	1
106	и в других	1	1
107	образом не оказалось	1	1
108	что как бы	1	1
109	то ни было	1	1
110	в первой главе	1	1
111	потому что не	1	1
112	возникает вопрос о	1	1
113	нужно сказать что	1	1
114	на то чтобы	2	1
115	со всем что	1	1
116	по этому поводу	1	1
117	к тому что	3	1
118	не может не	1	1
119	на самом же	1	1
120	не только на	1	1
121	бы то ни	4	1
122	его место в	1	1
123	действительности вместе с	1	1
124	и в том	1	1
125	является в высшей	1	1
126	и в этом	6	1
127	русской критики и	1	1
128	с ним на	1	1
129	к вопросу о	1	1
130	это то что	1	1
131	может и не	1	1
132	в художественном произведении	3	1
133	в том и	1	1
134	того или иного	6	1
135	только что он	1	1
136	в основе этой	2	1
137	если же это	1	1
138	равно как и	1	1
139	художественных форм и	2	1
140	такое представление о	2	1
141	самом же деле	1	1
142	но и в	4	1
143	как и для	1	1
144	в том смысле	3	1
145	в чем же	1	1
146	так и не	1	1
147	и в дальнейшем	1	1
148	имеем в виду	1	1
149	не может и	1	1
150	в своей книге	2	1
151	что же касается	1	1
152	в целом ряде	2	1
153	все более и	3	1
154	и не в	2	1
155	как один из	2	1
156	только в качестве	1	1
157	точки зрения их	2	1
158	с одной стороны	5	1
159	можно говорить лишь	1	1
160	не с точки	1	1
161	в настоящее время	11	1
162	более и более	3	1
163	отметить что в	1	1
164	таким образом в	1	1
165	без всякой иронии	1	1
166	все это в	1	1
167	то и другое	1	1
168	со всех сторон	1	1
169	один из возможных	1	1
170	и в их	2	1
171	не что иное	1	1
172	уже не о	1	1
173	в роман и	1	1
174	художественное произведение не	1	1
175	в отношении к	1	1
176	в отрыве от	2	1
177	рассказе и в	1	1
178	литературы с другой	1	1
179	в самом конце	1	1
180	с установкой на	1	1
181	чем же выразится	1	1
182	совершенно естественно что	1	1
183	мы имеем в	1	1
184	в этом случае	1	1
185	еще далеко не	1	1
186	в современном искусстве	1	1
187	у нас не	3	1
188	в этом его	1	1
189	что в нем	2	1
190	же как и	1	1
191	а так сказать	1	1
192	тем что он	1	1
193	друг для друга	1	1
194	что иное как	1	1
195	и в истории	1	1
196	и до конца	3	1
197	в нем и	2	1
198	в предисловии к	3	1
199	не только с	1	1
200	в более широком	1	1
201	в его статье	1	1
202	до конца и	1	1
203	в виду что	1	1
204	ни в чем	1	1
205	мы не можем	3	1
206	быть самим собой	1	1
207	как и всякая	2	1
208	нам кажется что	1	1
209	начала и до	2	1
