N	2gram	Medvedev_S	VelikijI
1	и не	1	20
2	и в	3	16
3	то что	2	9
4	еще не	2	8
5	и потому	1	7
6	все это	7	5
7	как бы	2	5
8	в мире	1	5
9	но и	2	5
10	в котором	1	4
11	в этом	5	4
12	в его	3	4
13	так и	1	4
14	и есть	1	4
15	что все	1	4
16	как и	1	4
17	что он	1	4
18	что в	2	3
19	и мы	2	3
20	в конце	2	3
21	хотя бы	1	3
22	в том	5	3
23	тому что	1	3
24	не в	3	3
25	и что	2	3
26	в этих	1	3
27	в них	1	3
28	не было	1	3
29	и будет	1	3
30	в своей	1	3
31	должна быть	2	3
32	в чем	1	3
33	все эти	1	3
34	никогда не	1	3
35	во всяком	1	2
36	один из	1	2
37	более чем	3	2
38	это не	1	2
39	между тем	1	2
40	не только	3	2
41	с ним	1	2
42	для нас	3	2
43	прежде всего	1	2
44	а между	1	2
45	мы не	1	2
46	конечно не	1	2
47	только в	2	2
48	а с	1	2
49	а в	1	2
50	но не	1	2
51	тем что	1	2
52	том что	2	2
53	и стало	1	1
54	но как	1	1
55	он говорит	1	1
56	может быть	2	1
57	они не	1	1
58	между собою	1	1
59	это как	1	1
60	но она	1	1
61	то же	2	1
62	что это	1	1
63	это значит	1	1
64	в этой	1	1
65	в результате	2	1
66	основной вопрос	1	1
67	у него	1	1
68	вот в	1	1
69	в виде	1	1
70	и самые	1	1
71	с другой	1	1
72	по достоинству	1	1
73	или даже	2	1
74	еще недостаточно	1	1
75	в процессе	1	1
76	нам право	1	1
77	еще и	1	1
78	ничего не	1	1
79	заключается что	2	1
80	по крайней	1	1
81	единственный путь	1	1
82	все же	1	1
83	своего же	1	1
84	и по	1	1
85	их на	1	1
86	никакая наука	1	1
87	конце концов	2	1
88	что личность	1	1
89	в целом	1	1
90	наше дело	1	1
91	же теперь	1	1
92	им не	2	1
93	крайней мере	1	1
94	вовсе не	1	1
95	что на	1	1
96	бы в	1	1
