N	3gram	Tiupa_Narr	VrazhdaK
1	и все же	4	5
2	то же время	7	4
3	в то же	7	4
4	в русской литературе	1	3
5	как и у	1	3
6	в связи с	3	3
7	в том что	11	2
8	не может быть	6	2
9	как раз в	3	2
10	с точки зрения	2	2
11	и что в	1	2
12	это то что	1	1
13	что к этому	1	1
14	о себе знать	1	1
15	о котором уже	1	1
16	котором уже говорилось	1	1
17	войне и мире	2	1
18	но при этом	3	1
19	в ответ на	3	1
20	ни тот ни	1	1
21	и все что	1	1
22	а также в	1	1
23	в свою очередь	2	1
24	в войне и	2	1
25	к центральному эпизоду	1	1
26	в то время	1	1
27	одно и то	2	1
28	речь идет о	3	1
29	тот ни другой	1	1
30	уже говорилось выше	1	1
31	в той же	1	1
32	точно так же	2	1
33	так же как	1	1
34	что в ней	1	1
35	а тем более	1	1
36	на то что	2	1
37	и в то	2	1
38	в соответствии с	7	1
39	не только от	2	1
40	по крайней мере	1	1
41	он и не	1	1
42	в этом смысле	1	1
43	а с другой	2	1
44	в мире а	1	1
45	и то что	1	1
46	не только не	2	1
47	о том что	3	1
48	но и от	2	1
49	до сих пор	3	1
50	преступление и наказание	1	1
51	но в этом	1	1
52	на этот раз	1	1
53	в е годы	2	1
54	во всяком случае	2	1
55	между тем это	1	1
56	тем не менее	6	1
57	как он сам	1	1
58	и в самом	1	1
59	то что я	1	1
60	как бы в	2	1
61	едва ли не	2	1
62	с другой стороны	1	1
63	это за человек	2	1
64	в известном смысле	4	1
65	что это за	2	1
66	связи с этим	1	1
67	что у него	2	1
68	самим собой в	1	1
69	на первый взгляд	1	1
70	и о которой	1	1
71	и то же	2	1
72	бы в ответ	1	1
73	в этом отношении	5	1
74	и не может	3	1
75	может быть и	1	1
