N	3gram	Propp_Isto	VerxiiNi
1	вместе с тем	7	8
2	с одной стороны	7	7
3	друг с другом	3	5
4	до сих пор	11	5
5	для того чтобы	1	5
6	более или менее	5	5
7	и вместе с	2	4
8	но все же	7	4
9	о том что	5	4
10	к тому же	1	4
11	в том что	6	3
12	так же как	6	3
13	главным образом в	1	3
14	в связи с	5	3
15	точно так же	8	3
16	а так как	1	3
17	тем не менее	7	3
18	с течением времени	1	3
19	так или иначе	1	3
20	и связанные с	1	2
21	не только для	1	2
22	то что он	1	2
23	на то что	5	2
24	таким образом в	1	2
25	с самого начала	4	2
26	то ясно что	2	2
27	может быть даже	1	2
28	но вместе с	1	2
29	то ни было	2	2
30	то же самое	3	2
31	бы то ни	2	2
32	в этом отношении	1	2
33	влечет за собой	2	2
34	но и для	1	2
35	друг на друга	1	2
36	но все это	1	2
37	и в этом	1	2
38	мы видели что	3	1
39	не совсем так	1	1
40	должны прежде всего	1	1
41	начинается с того	2	1
42	сами по себе	1	1
43	нельзя сказать чтобы	1	1
44	что эти действия	1	1
45	не с тем	1	1
46	что здесь имеется	2	1
47	в первом случае	1	1
48	с представлением о	1	1
49	от неправильного понимания	1	1
50	именно потому что	1	1
51	и тот же	2	1
52	не только не	1	1
53	иметь в виду	2	1
54	смысле этого слова	1	1
55	но в то	1	1
56	ни один из	1	1
57	в этом направлении	1	1
58	отношении можно говорить	1	1
59	он как бы	1	1
60	в то что	1	1
61	так как самое	1	1
62	тем что в	1	1
63	мы видим что	12	1
64	до известной степени	1	1
65	в соответствии с	1	1
66	сих пор были	1	1
67	не может быть	8	1
68	по отношению к	6	1
69	всегда связан с	1	1
70	мы имеем в	4	1
71	возможно что этому	1	1
72	этим дело не	1	1
73	переворот во всей	1	1
74	в отличие от	3	1
75	и не могут	1	1
76	а не как	1	1
77	в этой роли	2	1
78	после того как	2	1
79	из них не	1	1
80	только в одном	2	1
81	в прямом смысле	1	1
82	тем или иным	1	1
83	что в этом	1	1
84	один и тот	2	1
85	есть то самое	1	1
86	но этим дело	1	1
87	в этих мифах	1	1
88	не более как	1	1
89	том что они	3	1
90	с тем что	3	1
91	надо иметь в	1	1
92	и есть то	1	1
93	котором здесь идет	1	1
94	так чтобы не	1	1
95	в одном из	1	1
96	что происходит в	1	1
97	и что он	1	1
98	только то что	1	1
99	с другой стороны	7	1
100	здесь идет речь	2	1
101	мы должны прежде	1	1
102	но тем не	1	1
103	к нему в	1	1
104	в лесах и	1	1
105	о том как	2	1
106	не в том	1	1
107	в то время	3	1
108	идет речь есть	1	1
109	у всех народов	1	1
110	только тогда когда	1	1
111	обстоит дело с	2	1
112	но не всегда	2	1
113	но они не	3	1
114	у тюркских племен	1	1
115	очень много но	2	1
116	что и в	1	1
117	о котором здесь	1	1
118	в эту сторону	1	1
119	имеется и в	1	1
120	и здесь не	1	1
