N	3gram	Nazirov_Tr	KulturaY
1	и т п	1	93
2	в том что	2	33
3	в самом деле	1	29
4	тем не менее	1	19
5	во всяком случае	1	19
6	в связи с	1	12
7	и в самом	2	11
8	не может быть	1	11
9	о том что	2	10
10	в этом случае	1	8
11	после того как	1	7
12	хотя бы и	1	6
13	в отличие от	2	6
14	то же время	5	6
15	в то же	5	6
16	так и в	3	5
17	в данном случае	2	5
18	и в этом	1	5
19	но все же	2	5
20	сам по себе	1	4
21	том что он	1	4
22	смысле этого слова	1	4
23	к тому что	1	4
24	точно так же	2	4
25	в той же	1	3
26	что я не	1	3
27	в конце концов	1	3
28	вместо того чтобы	1	3
29	и вместе с	1	3
30	на русский язык	1	3
31	в виду не	1	3
32	не могут быть	1	3
33	что он не	1	2
34	в применении к	1	2
35	что в ней	1	2
36	что все это	1	2
37	по природе своей	1	2
38	не правда ли	1	2
39	в известной мере	1	2
40	общем смысле этого	1	2
41	в одном из	1	2
42	в общем смысле	1	2
43	по сравнению с	1	2
44	бы может быть	1	2
45	ничего не значит	1	2
46	может быть не	1	2
47	с первого же	2	2
48	имеет в виду	1	1
49	о совершенно ином	1	1
50	на них он	1	1
51	также что все	1	1
52	первого же взгляда	1	1
53	отнюдь не является	1	1
54	то что он	1	1
55	не только нет	1	1
56	я не хочу	1	1
57	но и на	1	1
58	в братьях карамазовых	1	1
59	на вопрос о	1	1
60	не есть с	1	1
61	создается впечатление что	1	1
62	бы и не	1	1
63	за что не	1	1
64	ответа на вопрос	1	1
65	так часто и	1	1
66	и в сфере	1	1
67	не только не	1	1
68	но это уже	1	1
69	несмотря на все	1	1
70	бы и в	1	1
71	то вряд ли	1	1
72	в своей книге	1	1
73	то и дело	1	1
74	и не может	1	1
75	как своего рода	1	1
76	что вместе со	1	1
77	и что же?	1	1
78	как это часто	1	1
79	в письмах к	1	1
80	что нужно для	1	1
81	в чем же	1	1
82	не было до	1	1
83	ту же мысль	1	1
84	как и в	1	1
85	всяком случае что	1	1
86	одном из своих	1	1
87	не в силах	2	1
88	ни за что	1	1
89	ставил перед собой	1	1
90	быть не так	1	1
91	одно из самых	1	1
92	и в частности	2	1
93	она все же	1	1
94	в году и	1	1
95	с самого начала	1	1
96	и то что	1	1
97	и при этом	1	1
98	не нашел в	1	1
99	в виде отдельных	1	1
100	и все же	1	1
101	и до конца	1	1
102	еще ничего не	1	1
103	в году в	2	1
