N	4gram	Nazirov_Tv	VeschiIm
1	не что иное как	1	12
2	бы то ни было	1	12
3	и т д и	1	11
4	т д и т	1	10
5	д и т д	1	10
6	и тем не менее	1	5
7	дело в том что	4	4
8	в то же время	18	4
9	и в то же	2	3
10	заключается в том что	1	2
11	это не значит что	2	1
12	на самом же деле	1	1
13	в этой связи очень	1	1
14	души и т д	1	1
15	каких бы то ни	1	1
16	одного и того же	1	1
17	то же самое время	1	1
18	не только потому что	1	1
19	и все же это	1	1
20	и т д в	1	1
21	в то же самое	1	1
22	но в то же	5	1
23	и т д все	1	1
24	в том что я	1	1
25	т д все это	1	1
