N	2gram	Vygotskiy_	Myslijsy
1	потому что	48	182
2	то есть	16	142
3	и в	55	121
4	может быть	34	107
5	в том	50	103
6	то что	69	83
7	для нас	9	75
8	что в	43	73
9	и не	19	73
10	только в	12	72
11	не только	24	67
12	а не	16	67
13	таким образом	35	64
14	в этом	30	59
15	но и	16	59
16	том что	46	59
17	так как	20	59
18	то же	16	56
19	не в	12	54
20	если бы	21	53
21	в себе	13	53
22	по себе	13	52
23	не может	15	52
24	того что	12	47
25	в сознании	2	46
26	в душе	2	45
27	было бы	15	45
28	и проч	2	45
29	в нем	13	45
30	не есть	4	42
31	как и	9	42
32	так что	8	39
33	вместе с	16	39
34	что и	11	38
35	мы не	8	38
36	при этом	11	37
37	как в	4	37
38	так и	6	37
39	тогда когда	1	36
40	что мы	12	36
41	тем что	8	33
42	и что	45	32
43	по отношению	3	30
44	а в	7	30
45	что не	5	29
46	между тем	4	29
47	но не	9	29
48	вовсе не	8	28
49	мы можем	8	28
50	для него	5	28
51	есть только	3	28
52	с этим	4	27
53	что язык	1	27
54	могут быть	8	27
55	не было	2	26
56	независимо от	1	26
57	и т	12	26
58	то и	1	26
59	отношению к	2	26
60	этого слова	1	25
61	между собою	1	24
62	в то	6	24
63	с тем	10	23
64	как бы	33	23
65	того как	4	23
66	от того	6	23
67	а потому	1	22
68	что слово	1	22
69	то это	6	22
70	с другой	12	22
71	чувства и	7	22
72	не имеет	2	22
73	но в	7	22
74	и потому	8	21
75	не менее	1	21
76	мысль о	5	20
77	в одном	5	20
78	это не	9	20
79	в ней	5	20
80	мысли и	1	19
81	и как	10	19
82	но это	2	19
83	в сознание	1	19
84	сказать что	14	19
85	с ним	4	19
86	того же	5	19
87	что это	15	19
88	и то	12	19
89	из этих	4	19
90	о том	24	19
91	заключает в	7	19
92	тем самым	1	19
93	должно быть	6	19
94	есть не	7	19
95	в самом	18	18
96	в таком	4	18
97	там же	1	18
98	для того	45	18
99	по поводу	6	18
100	не могут	4	18
101	очевидно что	3	18
102	бы не	1	18
103	в каком	7	18
104	еще не	6	18
105	точки зрения	15	17
106	крайней мере	1	17
107	со стороны	3	17
108	по крайней	1	17
109	слова и	2	17
110	заметить что	1	17
111	что оно	12	17
112	уже в	7	17
113	в его	8	17
114	во всяком	2	17
115	слова в	1	17
116	не можем	8	17
117	только что	11	16
118	и на	12	16
119	к тому	12	16
120	так же	19	16
121	в своем	12	16
122	нашей мысли	1	16
123	в которой	4	16
124	а только	1	16
125	в них	7	16
126	или же	1	16
127	есть нечто	3	16
128	что если	9	16
129	и наоборот	2	16
130	каждый раз	1	16
131	на то	27	16
132	быть может	1	15
133	в этих	3	15
134	уже не	1	15
135	с одной	15	15
136	и тем	6	15
137	в нас	15	15
138	что он	30	15
139	стало быть	1	15
140	в свою	3	15
141	т д	6	15
142	прежде всего	6	15
143	думать что	3	15
144	тому как	3	15
145	на деле	9	14
146	все же	11	14
147	в одно	1	14
148	в котором	5	14
149	в действительности	2	14
150	свою очередь	1	14
151	то в	1	14
152	связи с	2	14
153	так сказать	1	14
154	во всех	6	14
155	когда мы	10	14
156	столь же	3	14
157	там где	6	14
158	должны быть	1	14
159	сам по	4	14
160	в истории	1	14
161	же время	2	14
162	и без	1	14
163	мысли в	1	14
164	мы должны	10	14
165	само по	3	14
166	чувственных восприятий	1	13
167	те же	3	13
168	например в	2	13
169	а между	1	13
170	как на	15	13
171	из них	7	13
172	что все	12	13
173	в смысле	1	13
174	т п	5	13
175	и все	15	13
