N	3gram	Tiupa_Anal	KFilosof
1	по отношению к	9	22
2	не может быть	2	11
3	с точки зрения	2	10
4	как момент его	1	7
5	того или иного	5	3
6	в этом смысле	1	3
7	один и тот	1	3
8	на самом деле	1	3
9	между тем как	1	3
10	и в своей	2	3
11	и тот же	1	3
12	в том что	12	2
13	но лишь в	1	2
14	той или иной	6	2
15	к чему не	1	2
16	и может быть	1	2
17	дело здесь не	4	2
18	тем не менее	3	2
19	здесь мы имеем	1	2
20	в то же	7	2
21	уже не может	1	2
22	включает в себя	2	2
23	в соответствии с	2	2
24	другое дело когда	1	2
25	в этом его	1	2
26	есть на самом	1	2
27	в ее действительной	1	2
28	ни к чему	1	2
29	вопрос о том	1	2
30	то же время	7	2
31	для него самого	1	1
32	которой он не	1	1
33	не имеет места	1	1
34	не должно быть	1	1
35	в свою очередь	7	1
36	и как бы	2	1
37	в данном контексте	1	1
38	где оно не	1	1
39	в конечном счете	5	1
40	по себе а	1	1
41	вмещает в себя	1	1
42	во всяком случае	6	1
43	для меня эта	1	1
44	в большинстве случаев	1	1
45	в противоречие с	2	1
46	позицию по отношению	1	1
47	а не как	1	1
48	в себя и	1	1
49	это уже не	1	1
50	себя в другом	1	1
51	случае мы имеем	1	1
52	но сама она	1	1
53	хотя бы и	1	1
54	ту или иную	1	1
55	дело не в	1	1
56	себя за волосы	1	1
57	для того чтобы	1	1
58	в себя момент	2	1
59	не в том	1	1
60	одного и того	4	1
61	со всех сторон	1	1
62	в противном случае	2	1
63	до сих пор	1	1
64	вступает в противоречие	1	1
65	в мире других	1	1
66	и не должно	1	1
67	своей причастности к	1	1
68	не для того	1	1
69	в первом случае	1	1
70	дело в том	3	1
71	смысле этого слова	1	1
72	между субъектом и	1	1
73	жизни и смерти	1	1
74	само по себе	1	1
75	в этом мире	1	1
76	и тем самым	2	1
77	как бы ни	1	1
78	лишь в момент	1	1
79	в его собственном	1	1
80	и то что	2	1
81	тем или иным	2	1
82	в зависимости от	1	1
83	как если бы	1	1
84	и того же	4	1
85	том что мы	1	1
86	и все же	1	1
87	до того что	1	1
88	я и другой	1	1
89	со стороны его	1	1
90	в известном смысле	2	1
91	уже не мыслится	1	1
92	я в мире	7	1
93	в значительной степени	3	1
94	что и в	1	1
95	мы имеем не	1	1
96	ведь это не	1	1
97	отнюдь еще не	1	1
98	в основе своей	2	1
