N	2gram	Propp_Isto	Russkaja
1	не может	8	22
2	и не	16	19
3	в этом	25	17
4	в том	13	17
5	с другом	2	14
6	и в	43	14
7	друг с	2	14
8	то что	20	13
9	таким образом	15	11
10	то же	11	11
11	точки зрения	3	11
12	но и	24	10
13	в то	2	10
14	не только	28	9
15	с точки	1	9
16	том что	12	9
17	во всяком	2	9
18	может быть	22	9
19	в себе	2	9
20	прежде всего	3	8
21	как на	1	8
22	не будет	1	7
23	самом деле	1	7
24	к тому	9	7
25	о том	4	7
26	в данном	7	7
27	и если	3	7
28	мы должны	9	7
29	и с	10	7
30	к богу	2	7
31	отнюдь не	1	7
32	и к	4	6
33	для всех	1	6
34	и при	2	6
35	все это	4	6
36	на самом	2	6
37	в своих	1	6
38	если бы	7	6
39	и для	3	6
40	с тем	3	6
41	что он	17	6
42	к которой	1	6
43	в своем	2	6
44	всяком случае	2	6
45	до сих	7	5
46	и на	7	5
47	из которых	1	5
48	только в	8	5
49	по существу	3	5
50	данного народа	1	5
51	в своей	4	5
52	себя и	1	5
53	между собой	2	5
54	во всех	1	5
55	сих пор	7	5
56	и только	6	5
57	вопрос о	4	5
58	хотя бы	3	5
59	потому что	8	5
60	в нем	11	5
61	между тем	2	5
62	он не	11	5
63	конечно не	3	5
64	а в	13	5
65	при этом	4	5
66	было бы	5	5
67	на то	4	5
68	он должен	3	5
69	никогда не	9	5
70	что в	29	4
71	во всем	3	4
72	и то	4	4
73	все что	4	4
74	так как	13	4
75	к этой	2	4
76	в его	7	4
77	его в	7	4
78	не в	9	4
79	при том	1	4
80	в корне	1	4
81	вместе с	12	4
82	как и	9	4
83	на земле	2	4
84	в мире	1	4
85	все же	13	4
86	приводит к	1	4
87	к вопросу	1	4
88	со стороны	3	4
89	себе и	2	4
90	ли это	2	4
91	которой он	3	4
92	можно было	3	4
93	что же	2	4
94	в совершенно	1	4
95	от того	3	4
96	как бы	5	4
97	в этой	7	4
98	себя в	2	4
99	жизни и	2	4
100	но не	10	4
101	в другое	1	4
102	в самом	1	3
103	что они	14	3
104	этом случае	8	3
105	был и	1	3
106	собой и	1	3
107	и этот	2	3
108	данном случае	6	3
109	несмотря на	1	3
110	что это	4	3
111	в качестве	4	3
112	для них	3	3
113	что и	17	3
114	сводится к	1	3
115	находят себе	1	3
116	в виде	2	3
117	не было	2	3
118	связи с	9	3
119	или в	14	3
120	ни одна	1	3
121	и будут	1	3
122	тем что	8	3
123	именно в	1	3
124	надо признать	1	3
125	и как	6	3
126	вряд ли	1	3
127	и т	33	3
128	да и	2	3
129	не есть	3	3
130	но если	2	3
131	но мы	1	3
132	еще не	15	3
133	все они	1	3
134	и потому	2	3
135	только к	1	3
136	то это	5	3
137	одна из	2	3
138	на том	3	3
139	так чтобы	1	3
140	в другом	11	3
141	говорить о	1	3
142	приходит к	1	3
143	можно ли	3	3
144	знаем что	9	3
145	что бы	1	3
146	себя от	1	3
147	в большинстве	2	3
148	она может	2	3
149	главным образом	3	3
150	и во	1	3
151	при котором	2	3
152	том чтобы	1	3
153	одной из	1	3
154	с нею	1	3
