N	3gram	Medvedev_V	NovoeSre
1	не может быть	8	4
2	со всех сторон	1	3
3	подобно тому как	3	3
4	лицом к лицу	1	3
5	не значит что	1	3
6	вопрос о том	1	2
7	ни одна из	1	2
8	вместе с тем	4	2
9	равно как и	4	2
10	так же как	1	2
11	в этом смысле	1	2
12	с одной стороны	2	2
13	с другой стороны	8	2
14	сами по себе	1	1
15	в том что	5	1
16	не в том	2	1
17	хотим сказать что	1	1
18	в том случае	1	1
19	в этой системе	1	1
20	до сих пор	2	1
21	как будто бы	1	1
22	могут быть отнесены	1	1
23	в зависимости от	5	1
24	по существу своему	1	1
25	том числе и	2	1
26	можно было бы	2	1
27	и вместе с	1	1
28	не только в	2	1
29	но и в	1	1
30	в том чтобы	2	1
31	в том смысле	1	1
32	как это было	1	1
33	но она не	1	1
34	о том что	3	1
35	же как и	1	1
36	в существе своем	1	1
37	не могут быть	4	1
38	мы говорим о	1	1
39	заключает в себе	1	1
40	в новое время	1	1
41	то что в	1	1
42	том случае если	1	1
43	во всяком случае	2	1
44	та или иная	3	1
45	и во всех	1	1
46	в том числе	2	1
47	творческий процесс в	1	1
48	в то время	1	1
49	это и есть	3	1
50	то время как	1	1
51	и мы не	1	1
52	и не может	2	1
53	о природе и	1	1
