N	2gram	Berdyaev_M	Myslijsy
1	потому что	25	182
2	то есть	3	142
3	и в	61	121
4	может быть	42	107
5	в том	9	103
6	то что	10	83
7	для нас	3	75
8	что в	12	73
9	и не	26	73
10	только в	7	72
11	не только	42	67
12	а не	36	67
13	в этом	34	59
14	но и	34	59
15	том что	7	59
16	так как	10	59
17	то же	4	56
18	не в	16	54
19	если бы	5	53
20	в себе	12	53
21	по себе	2	52
22	не может	39	52
23	того что	13	47
24	в душе	1	45
25	было бы	11	45
26	в нем	26	45
27	не есть	21	42
28	как и	14	42
29	так что	3	39
30	вместе с	7	39
31	что и	6	38
32	мы не	2	38
33	как в	9	37
34	так и	5	37
35	тогда когда	2	36
36	что мы	1	36
37	тем что	7	33
38	и что	4	32
39	по отношению	4	30
40	а в	4	30
41	что не	3	29
42	между тем	2	29
43	но не	8	29
44	вовсе не	1	28
45	для него	28	28
46	есть только	2	28
47	с этим	4	27
48	могут быть	2	27
49	не было	25	26
50	и т	1	26
51	то и	1	26
52	отношению к	4	26
53	душевной жизни	2	25
54	этого слова	1	25
55	в то	2	24
56	с тем	10	23
57	как бы	10	23
58	того как	3	23
59	от того	4	23
60	а потому	1	22
61	то это	1	22
62	с другой	1	22
63	не имеет	7	22
64	только тогда	1	22
65	но в	12	22
66	и потому	17	21
67	не менее	1	21
68	мысль о	2	20
69	в одном	1	20
70	это не	10	20
71	в ней	23	20
72	мысли и	2	19
73	и как	3	19
74	но это	8	19
75	сказать что	5	19
76	с ним	5	19
77	что это	5	19
78	и то	2	19
79	о том	5	19
80	есть уже	8	19
81	заключает в	3	19
82	должно быть	5	19
83	есть не	9	19
84	в самом	15	18
85	для того	4	18
86	по поводу	1	18
87	в мысли	2	18
88	не могут	6	18
89	в человеке	10	18
90	бы не	4	18
91	в каком	2	18
92	что я	1	18
93	еще не	1	18
94	точки зрения	6	17
95	уже в	6	17
96	в его	10	17
97	во всяком	1	17
98	только что	1	16
99	и на	9	16
100	к тому	6	16
101	так же	5	16
102	в своем	17	16
103	в которой	8	16
104	в них	5	16
105	что если	1	16
106	и наоборот	1	16
107	каждый раз	1	16
108	на то	1	16
109	быть может	9	15
110	в этих	6	15
111	уже не	8	15
112	и тем	1	15
113	и по	4	15
114	что он	16	15
115	стало быть	1	15
116	в свою	5	15
117	прежде всего	18	15
118	в ряду	1	15
119	думать что	4	15
120	тому как	2	15
121	на деле	4	14
122	все же	2	14
123	в природе	1	14
124	в котором	9	14
125	то в	2	14
126	во всех	3	14
127	когда мы	2	14
128	бы ни	2	14
129	должны быть	3	14
130	сам по	2	14
131	в истории	2	14
132	и без	2	14
133	мысли в	1	14
134	мы должны	1	14
135	те же	5	13
136	как на	1	13
137	что все	5	13
138	в смысле	1	13
139	т п	1	13
140	есть для	1	13
141	и все	13	13
142	том смысле	2	13
143	смысле этого	1	13
144	и его	13	13
145	от него	4	12
146	одно из	3	12
147	до сих	5	12
148	мысли о	3	12
149	не то	1	12
150	никогда не	30	12
151	хотя и	2	12
152	и вместе	4	12
153	в чем	3	12
154	под влиянием	1	12
155	сих пор	5	12
156	в каждом	4	12
157	оно не	3	12
158	все остальные	1	12
159	всяком случае	1	12
160	человеческого духа	31	12
161	что же	2	12
162	относится к	2	12
163	друг друга	12	12
164	только потому	1	12
165	что такое	2	12
166	все это	6	12
167	есть в	3	12
168	тем более	1	12
169	человека и	19	12
170	что на	1	12
171	все что	5	11
172	и если	1	11
173	что человек	5	11
174	имеет для	1	11
175	только для	1	11
176	из себя	2	11
177	и это	16	11
178	к нему	8	11
179	в состоянии	1	11
180	души и	1	11
181	его в	6	11
182	подобно тому	2	11
183	для человека	5	11
184	в силу	1	11
185	того чтобы	4	11
186	быть не	2	11
187	к ней	6	11
188	той же	3	11
189	с нею	1	11
190	если не	1	11
191	к одному	2	11
192	и только	1	11
193	и их	3	11
194	же что	2	11
195	и с	6	10
196	хотя бы	8	10
197	одной и	2	10
198	духа и	6	10
199	находится в	1	10
200	мы видим	4	10
201	и мы	2	10
202	не от	3	10
203	что как	1	10
204	бы в	3	10
205	мысль что	4	10
206	что только	1	10
207	и от	3	10
208	и есть	21	10
209	бы быть	1	10
210	он не	34	10
211	то время	2	10
212	образа и	2	10
213	такой степени	2	10
214	мы говорим	1	10
215	и для	7	10
216	образ и	7	10
217	так в	1	10
218	тому что	2	10
219	то не	1	9
220	ко всем	3	9
221	и даже	1	9
222	вопрос о	7	9
223	во многих	2	9
224	об отношении	1	9
225	что она	5	9
226	зрения и	1	9
227	только от	1	9
228	могли бы	1	9
229	в нее	1	9
230	во время	1	9
231	от нее	5	9
232	не будет	3	9
233	один из	9	9
234	самом деле	2	9
235	никто не	3	9
236	но оно	1	9
237	с точки	1	9
238	слова для	1	9
239	это было	1	9
240	не все	3	9
241	и других	2	9
242	и о	1	9
243	во всем	5	8
244	которые не	2	8
245	говорить о	1	8
246	не как	4	8
247	но все	1	8
248	от одного	1	8
249	их в	1	8
250	в более	4	8
251	перестает быть	1	8
252	была бы	1	8
253	что они	4	8
254	влияние на	1	8
255	смысле в	2	8
256	от них	1	8
257	одним словом	1	8
258	что есть	7	8
259	не так	6	8
260	можно видеть	1	8
261	отношений между	2	8
262	в которых	5	8
263	между ними	1	8
264	и тогда	2	8
265	и той	2	8
266	не из	1	8
267	в самой	8	8
268	тот же	1	8
269	на вопрос	1	8
270	то мы	1	8
271	на самом	2	8
272	все равно	3	8
273	и более	2	8
274	такое же	1	8
275	на все	3	8
276	человеческой природы	27	8
277	самого себя	6	7
278	с этой	4	7
279	в разных	3	7
280	тем как	2	7
281	примыкает к	1	7
282	но что	1	7
283	связь с	1	7
284	все эти	3	7
285	в жизни	7	7
286	не существует	5	7
287	было в	3	7
288	даже и	2	7
289	не всегда	1	7
290	превращается в	1	7
291	для понимания	1	7
292	к этому	3	7
293	что у	3	7
294	притом не	1	7
295	одном из	1	7
296	из одного	1	7
297	в своих	4	7
298	когда я	1	7
299	она не	9	7
300	не были	2	7
301	и та	2	7
302	и тот	2	7
303	за пределы	5	7
304	значение и	1	7
305	есть вместе	1	7
306	них не	1	7
307	а как	2	7
308	во втором	1	7
309	все в	7	7
310	его с	4	7
311	для себя	1	7
312	от нас	1	7
313	в другой	1	7
314	находятся в	1	7
315	вряд ли	3	7
316	себя и	6	7
317	бы и	8	7
318	и теперь	1	7
319	только один	3	7
320	то все	2	7
321	и во	5	7
322	мысли не	1	7
323	из него	1	7
324	за собою	1	7
325	сама по	1	7
326	не имеют	2	7
327	его к	2	7
328	в искусстве	1	7
329	не с	1	7
330	на это	1	7
331	место в	4	7
332	и к	9	6
333	же и	2	6
334	увидим что	5	6
335	нас в	3	6
336	в виду	2	6
337	если и	1	6
338	давно уже	1	6
339	его на	4	6
340	а именно	1	6
341	в своей	18	6
342	ряду других	1	6
343	есть то	2	6
344	между двумя	1	6
345	себе в	3	6
346	к ним	1	6
347	к которому	1	6
348	она есть	3	6
349	после того	2	6
350	в ее	3	6
351	у него	38	6
352	но он	17	6
353	нем самом	1	6
354	прежде чем	2	6
355	есть явление	3	6
356	в мире	12	6
357	представляется нам	1	6
358	мы уже	1	6
359	хотя в	1	6
360	но есть	1	6
361	оно есть	1	6
362	в человеческой	5	6
363	и самое	3	6
364	должна быть	7	6
365	в сущности	2	6
366	с таким	2	6
367	заключается в	1	6
368	к нам	1	6
369	да и	1	6
370	новое слово	1	6
371	сознание и	1	6
372	и уже	1	6
373	лишь в	8	6
374	не могло	1	6
375	приводит в	1	6
376	в этой	12	6
377	и до	1	6
378	в обществе	1	6
379	мог бы	5	6
380	при котором	1	6
381	в образе	4	6
382	но если	4	6
383	но на	2	6
384	то он	3	6
385	у нас	13	6
386	в их	4	6
387	что ни	1	6
388	на нее	1	6
389	в стороне	1	6
390	на его	1	6
391	об этом	2	6
392	все более	1	6
393	его не	5	6
394	как он	4	6
395	жизни и	6	6
396	человек не	17	6
397	ни был	1	6
398	в той	3	5
399	человеческой жизни	4	5
400	были бы	1	5
401	формы в	1	5
402	или нет	1	5
403	не столько	1	5
404	есть дело	1	5
405	или от	2	5
406	и другим	1	5
407	уже и	1	5
408	природы в	5	5
409	входит в	3	5
410	но эти	1	5
411	значительной степени	2	5
412	конечно не	3	5
413	с другим	3	5
414	вообще и	1	5
415	когда человек	5	5
416	в нашем	2	5
417	ли она	2	5
418	или лучше	1	5
419	на том	3	5
420	а с	1	5
421	чем в	3	5
422	одним из	2	5
423	свет и	2	5
424	и у	3	5
425	рядом с	1	5
426	можно было	1	5
427	этот вопрос	1	5
428	природы и	1	5
429	оно имеет	1	5
430	лучше сказать	1	5
431	есть еще	1	5
432	что до	1	5
433	если в	2	5
434	время как	2	5
435	все то	1	5
436	можно назвать	1	5
437	к другому	4	5
438	что вообще	1	5
439	быть назван	3	5
440	о человеке	24	5
441	в течение	1	5
442	эта мысль	3	5
443	отношении к	4	5
444	переход от	1	5
445	ее не	1	5
446	на этот	2	5
447	и здесь	6	5
448	ответ на	1	5
449	они не	4	5
450	это можно	1	5
451	мы имеем	1	5
452	на которой	1	5
453	слова а	1	5
454	нет ничего	9	5
455	бы для	1	5
456	в какой	1	5
457	от своего	2	5
458	света и	2	5
459	в области	1	5
460	том случае	1	5
461	человека в	26	5
462	а к	2	5
463	бы только	1	5
464	говорим что	1	5
465	а от	3	5
466	есть всегда	2	5
467	нужно было	1	5
468	в начале	2	5
469	как не	1	5
470	не по	1	5
471	отношение к	9	5
472	не к	6	5
473	себе а	1	5
474	человек может	3	4
475	еще более	3	4
476	и необходимости	1	4
477	из нее	1	4
478	в какие	1	4
479	что сознание	1	4
480	но во	1	4
481	в другом	1	4
482	был бы	11	4
483	имея в	1	4
484	есть ни	1	4
485	не вполне	1	4
486	не что	4	4
487	с чем	1	4
488	явление не	1	4
489	что иное	4	4
490	не мог	6	4
491	все его	3	4
492	то так	1	4
493	свободы и	13	4
494	не знает	12	4
495	влияния на	1	4
496	я и	3	4
497	для души	1	4
498	одно только	2	4
499	внешней формы	1	4
500	человеке и	8	4
501	следовательно и	1	4
502	от этого	4	4
503	я представляю	1	4
504	с его	6	4
505	связанная с	1	4
506	не иначе	1	4
507	сами не	1	4
508	и быть	2	4
509	на этом	5	4
510	в наше	2	4
511	эти слова	2	4
512	не дает	1	4
513	ту же	1	4
514	кажется что	1	4
515	он в	4	4
516	его как	2	4
517	для кого	1	4
518	ничего не	4	4
519	что без	2	4
520	из этого	1	4
521	из глубины	5	4
522	чтобы не	4	4
523	ведет к	16	4
524	та же	4	4
525	мысль не	1	4
526	душе и	1	4
527	ни в	3	4
528	это есть	4	4
529	не на	1	4
530	мы чувствуем	1	4
531	но без	1	4
532	отношения к	6	4
533	есть что	1	4
534	же мало	1	4
535	все они	1	4
536	только одно	3	4
537	более чем	3	4
538	сознании и	1	4
539	не потому	2	4
540	более и	1	4
541	у человека	6	4
542	он есть	1	4
543	образа в	1	4
544	между людьми	1	4
545	произведения и	1	4
546	он может	1	4
547	что во	1	4
548	он должен	4	4
549	ему в	1	4
550	смысле что	1	4
551	многих других	1	4
552	не во	1	4
553	отлично от	1	4
554	сознания и	1	4
555	одна и	3	4
556	не без	1	4
557	на что	1	4
558	этой мысли	1	4
559	этом отношении	1	4
560	будет ли	1	4
561	со своим	2	4
562	между этими	1	4
563	но с	2	4
564	себе что	1	4
565	но эта	2	4
566	было для	3	4
567	существует для	1	4
568	к своему	2	4
569	по своему	3	4
570	в такой	4	4
571	и оно	1	4
572	человеком и	1	4
573	это так	1	4
574	на них	1	4
575	к тем	2	4
576	но она	3	4
577	другим и	2	4
578	есть и	6	4
579	явлений в	1	4
580	имеет свою	1	4
581	явления и	1	4
582	про себя	2	4
583	одного из	1	4
584	бытия и	1	4
585	к новому	2	4
586	в разговоре	1	4
587	иное как	4	4
588	в сложном	1	3
589	потому только	2	3
590	к этой	3	3
591	бы даже	1	3
592	это значит	3	3
593	во внутренней	1	3
594	многие другие	1	3
595	одной из	1	3
596	на мир	1	3
597	на такой	1	3
598	и связь	1	3
599	из всего	1	3
600	на одном	1	3
601	также что	1	3
602	а что	1	3
603	на природу	4	3
604	ответить на	2	3
605	на человека	2	3
606	и мысли	1	3
607	мы увидим	4	3
608	все свои	1	3
609	другу и	2	3
610	которая не	2	3
611	если так	1	3
612	и когда	2	3
613	уже есть	1	3
614	было сказано	1	3
615	жизни то	2	3
616	быть в	1	3
617	он сам	11	3
618	она может	2	3
619	а мы	1	3
620	бы это	2	3
621	к этим	3	3
622	к ее	1	3
623	человека то	2	3
624	вносит в	1	3
625	от ее	1	3
626	которые в	2	3
627	а потом	1	3
628	и весь	1	3
629	свое состояние	1	3
630	есть выражение	2	3
631	о влиянии	1	3
632	от его	3	3
633	под конец	1	3
634	что сам	1	3
635	есть одно	2	3
636	которое может	1	3
637	тогда и	1	3
638	и сама	2	3
639	человека хотя	1	3
640	природу и	2	3
641	и человек	5	3
642	не была	4	3
643	что за	2	3
644	но для	2	3
645	может в	1	3
646	с одним	1	3
647	человек и	7	3
648	с которой	2	3
649	необходимости и	2	3
650	себе и	4	3
651	тех которые	2	3
652	как теперь	1	3
653	что нет	2	3
654	представляю себе	1	3
655	совсем не	3	3
656	как человек	2	3
657	другая сторона	1	3
658	другому в	1	3
659	но всегда	1	3
660	я в	1	3
661	это потому	1	3
662	и др	1	3
663	но нет	1	3
664	не значит	2	3
665	значит что	4	3
666	есть одна	1	3
667	и ее	2	3
668	наше время	1	3
669	его мысль	2	3
670	возможны только	1	3
671	и из	1	3
672	для них	3	3
673	в отношении	6	3
674	к самому	2	3
675	должен был	4	3
676	знать что	1	3
677	имел бы	1	3
678	их и	1	3
679	в мыслях	1	3
680	она и	1	3
681	как о	1	3
682	необходимости в	2	3
683	а образ	1	3
684	человека а	3	3
685	его я	1	3
686	и состоит	1	3
687	в первый	1	3
688	он видит	1	3
689	с психологической	1	3
690	не должно	1	3
691	и поэтому	3	3
692	у меня	1	3
693	вызывает в	1	3
