N	2gram	Tiupa_Hudo	Psycholo
1	то что	5	193
2	и в	23	190
3	в том	20	163
4	что в	7	123
5	потому что	3	114
6	том что	9	113
7	и что	4	108
8	может быть	19	107
9	таким образом	3	102
10	в этом	12	100
11	то есть	26	97
12	в самом	7	82
13	как бы	11	80
14	для того	5	78
15	того чтобы	5	78
16	что он	5	76
17	не только	20	75
18	на то	1	73
19	и не	16	73
20	что она	2	71
21	самом деле	2	70
22	точки зрения	11	69
23	не может	9	68
24	если мы	2	66
25	так же	2	63
26	так как	1	63
27	было бы	1	56
28	если бы	3	55
29	то же	12	54
30	о том	2	54
31	при этом	19	52
32	как и	3	51
33	что и	2	50
34	а не	13	50
35	что это	1	49
36	сказать что	4	46
37	по себе	2	46
38	только в	7	46
39	в сущности	1	46
40	заключается в	2	46
41	говорит что	2	45
42	к тому	4	45
43	в искусстве	9	45
44	не в	9	45
45	искусства и	3	43
46	в этой	2	43
47	никогда не	2	42
48	вместе с	1	41
49	как это	7	40
50	но и	14	40
51	как раз	3	39
52	того что	5	39
53	же самое	1	38
54	и это	2	37
55	мы видим	1	37
56	что искусство	1	37
57	и как	4	36
58	вовсе не	2	34
59	и его	12	34
60	тому что	2	33
61	все же	1	33
62	что все	1	33
63	же точно	1	32
64	в себе	13	32
65	все это	2	32
66	художественного произведения	4	32
67	он не	4	31
68	в его	11	31
69	для нас	1	31
70	как будто	1	30
71	как в	2	30
72	с одной	3	29
73	и для	3	29
74	одной стороны	3	29
75	с точки	3	29
76	в нем	6	29
77	искусства в	6	29
78	что они	1	28
79	и то	4	28
80	в своих	1	27
81	в основе	7	27
82	на деле	3	27
83	и на	3	27
84	а в	13	27
85	с другой	9	27
86	все то	1	27
87	так что	1	26
88	произведение искусства	12	26
89	художественной формы	1	25
90	и здесь	1	25
91	жизни и	1	25
92	до конца	1	24
93	тем что	1	24
94	художественное произведение	3	24
95	и совершенно	1	24
96	в целом	3	24
97	в своем	4	23
98	из этого	2	23
99	один из	2	23
100	для этого	1	23
101	могут быть	5	23
102	казалось бы	1	22
103	с этим	1	22
104	из них	1	22
105	между тем	4	22
106	и даже	1	22
107	когда мы	1	22
108	всякий раз	2	22
109	в котором	1	21
110	той же	1	21
111	в своей	7	21
112	искусство есть	2	21
113	ни в	5	21
114	в конце	1	21
115	но только	2	21
116	как мы	1	21
117	другой стороны	6	20
118	в то	8	20
119	тот же	1	20
120	мы имеем	6	20
121	дело с	1	20
122	несмотря на	2	20
123	на этом	2	20
124	это не	4	20
125	все эти	2	20
126	в одном	3	19
127	в какой	2	19
128	в ее	6	19
129	у него	2	19
130	он говорит	1	19
131	с этой	3	18
132	в которой	3	18
133	но в	10	18
134	зависимости от	1	18
135	в каком	2	18
136	вслед за	2	18
137	но не	13	18
138	действующих лиц	1	18
139	и есть	1	18
140	перед нами	1	18
141	есть не	1	18
142	в виду	5	17
143	иначе говоря	5	17
144	что для	1	17
145	из этих	3	17
146	одна из	2	17
147	только не	1	17
148	у нас	1	17
149	и о	4	17
150	и к	3	16
151	из которых	2	16
152	сводится к	11	16
153	говорит о	1	16
154	в таком	3	16
155	же как	1	16
156	и тем	4	16
157	чувства и	1	16
158	не имеет	1	16
159	так и	12	16
160	тому как	3	16
161	в результате	1	15
162	в них	2	15
163	только на	1	15
164	во всех	3	15
165	как говорит	3	15
166	могли бы	1	15
167	не могут	1	15
168	о котором	1	15
169	искусства как	3	15
170	и потому	2	15
171	в зависимости	1	15
172	не просто	2	15
173	далеко не	4	15
174	еще не	4	15
175	для него	5	15
176	в частности	18	15
177	в совершенно	1	14
178	но он	3	14
179	к искусству	1	14
180	то время	1	14
181	в художественном	5	14
182	это и	2	14
183	прежде всего	5	14
184	заключает в	1	14
185	те же	1	14
186	в жизни	3	14
187	при таком	1	14
188	этих двух	2	14
189	бы в	1	14
190	столь же	2	14
191	с той	1	14
192	или в	2	14
193	в области	8	14
194	с ним	2	14
195	именно в	2	13
196	не могли	2	13
197	а с	2	13
198	могла бы	2	13
199	отнюдь не	2	13
200	в той	3	13
201	речь идет	2	13
202	едва ли	1	13
203	искусства не	1	13
204	должен был	1	13
205	со стороны	5	13
206	и другие	2	12
207	в этих	4	12
208	их в	3	12
209	не менее	5	12
210	может служить	2	12
211	того же	3	12
212	в конечном	5	12
213	я не	2	12
214	в рассказе	3	12
215	в самой	2	12
216	в свою	3	12
217	состоит в	20	12
218	но если	1	12
219	и может	2	12
220	идет о	2	12
221	например в	4	12
222	что по	1	12
223	что его	1	12
224	что не	1	12
225	художественном произведении	1	12
226	этой точки	2	12
227	действия и	1	12
228	в поэзии	1	12
229	об этом	2	12
230	конечном счете	5	11
231	не было	1	11
232	не будет	3	11
233	была бы	3	11
234	подобно тому	3	11
235	и поэтому	1	11
236	но мы	1	11
237	как к	5	11
238	раз в	1	11
239	отличие от	7	11
240	он должен	3	11
241	искусства с	1	11
242	исходя из	1	11
243	есть в	3	11
244	искусство и	1	11
245	исходит из	1	11
246	по поводу	1	11
247	его в	4	11
248	образом и	2	11
249	этого слова	2	11
250	с его	6	11
251	на это	1	11
252	в другом	4	10
253	не так	1	10
254	том и	2	10
255	искусства но	4	10
256	в их	5	10
257	в одной	1	10
258	от него	1	10
259	противоречие с	1	10
260	отличается от	2	10
261	в данном	4	10
262	должно быть	1	10
263	в состоянии	1	10
264	тому же	1	10
265	но как	2	10
266	и от	1	10
267	представить себе	1	10
268	здесь мы	1	10
269	не является	5	10
270	ее в	2	10
271	материала и	1	10
272	это было	1	10
273	не есть	1	9
274	в действительности	1	9
275	образом что	1	9
276	что даже	1	9
277	внимание на	1	9
278	в чем	2	9
279	героя и	5	9
280	в него	1	9
281	с ее	6	9
282	бы не	2	9
283	из его	1	9
284	на основании	1	9
285	в отличие	7	9
286	по своему	3	9
287	по его	1	9
288	на его	1	9
289	и по	2	9
290	тем самым	5	9
291	и ее	3	9
292	о чем	3	9
293	точно так	1	9
294	мысль о	1	9
295	роль в	2	9
296	можно сказать	6	9
297	к чему	1	9
298	ту же	1	9
299	в силу	4	9
300	по этому	1	9
301	должен быть	2	9
302	том случае	1	9
303	с совершенно	1	9
304	именно это	1	9
305	себе и	1	8
306	на сцене	1	8
307	искусство в	1	8
308	в сознании	1	8
309	одно и	3	8
310	и конечно	1	8
311	художественного творчества	6	8
312	имеет дело	2	8
313	тем же	1	8
314	такое же	1	8
315	произведения искусства	4	8
316	в такой	1	8
317	место в	5	8
318	теории искусства	1	8
319	и составляет	3	8
320	и другими	1	8
321	в собственном	1	8
322	точно и	1	8
323	по преимуществу	3	8
324	в произведении	3	8
325	из того	1	8
326	именно потому	1	8
327	кажется что	1	8
328	этом смысле	3	8
329	к нему	3	8
330	в противоречие	1	8
331	из которого	4	8
332	и более	2	8
333	искусства есть	1	8
334	бы и	1	8
335	эти два	1	8
336	стороны и	1	8
337	только то	1	8
338	эстетическая реакция	1	8
339	не как	2	7
340	к самому	1	7
341	от этого	1	7
342	представляет собой	11	7
343	и те	1	7
344	свою очередь	2	7
345	чем это	2	7
346	только при	1	7
347	связи с	3	7
348	полагал что	2	7
349	больше и	1	7
350	в каждом	1	7
351	что такое	2	7
352	в поэтической	1	7
353	в особенности	1	7
354	принадлежат к	1	7
355	имеет место	3	7
356	и дает	1	7
357	со всеми	1	7
358	они не	1	7
359	к ним	1	7
360	не существует	1	7
361	действующие лица	1	7
362	того или	4	7
363	случае если	1	7
364	же в	1	7
365	все что	1	7
366	для всех	1	7
367	одно из	2	7
368	если он	1	7
369	этот закон	1	7
370	в глаза	2	7
371	в нашем	2	7
372	от себя	3	7
373	о ней	1	7
374	время в	1	7
375	в качестве	31	7
376	к жизни	2	7
377	с которым	1	7
378	а как	1	7
379	за ним	1	7
380	и действительно	1	7
381	себя и	3	7
382	совпадает с	2	7
383	времени и	2	7
384	ее не	1	7
385	что автор	1	7
386	а на	5	7
387	дело в	1	7
388	в катарсисе	2	7
389	есть как	2	7
390	слова в	3	7
391	таком понимании	1	6
392	даже в	3	6
393	более или	6	6
