N	2gram	Potebnia_M	Hudozhes
1	то есть	69	26
2	в мире	3	24
3	и в	58	23
4	не только	32	20
5	состоит в	1	20
6	в том	38	20
7	при этом	17	19
8	может быть	47	19
9	и не	34	16
10	тогда как	10	15
11	но и	26	14
12	а не	38	13
13	но не	19	13
14	а в	11	13
15	в себе	22	13
16	в этом	18	12
17	то же	13	12
18	такого рода	1	12
19	так и	17	12
20	и его	7	12
21	как бы	12	11
22	точки зрения	8	11
23	в его	7	11
24	по отношению	15	10
25	но в	12	10
26	отношению к	13	10
27	в душе	28	9
28	том что	21	9
29	с другой	13	9
30	не в	23	9
31	не может	30	9
32	себя в	1	8
33	в области	1	8
34	в то	6	8
35	что в	34	7
36	в самом	5	7
37	только в	36	7
38	в своей	3	7
39	же время	4	7
40	в отличие	1	7
41	отличие от	1	7
42	я и	1	7
43	не столько	3	7
44	как это	1	7
45	по своей	2	7
46	лишь в	2	7
47	отношение к	1	7
48	другой стороны	7	6
49	более или	6	6
50	приводит к	1	6
51	уже не	4	6
52	можно сказать	1	6
53	с ее	2	6
54	с его	3	6
55	мы имеем	1	6
56	в ее	2	6
57	или менее	6	6
58	в нем	26	6
59	ни в	2	5
60	в виду	2	5
61	не на	3	5
62	не предполагает	1	5
63	что он	5	5
64	не менее	10	5
65	того чтобы	4	5
66	для того	8	5
67	со стороны	11	5
68	как к	1	5
69	для него	13	5
70	того что	15	5
71	прежде всего	8	5
72	с другими	3	5
73	в их	3	5
74	а на	2	5
75	между ними	2	5
76	тем самым	6	5
77	то что	24	5
78	в ходе	1	5
79	могут быть	17	5
80	место в	3	5
81	слова как	1	5
82	во втором	6	4
83	для себя	4	4
84	без исключения	1	4
85	не следует	6	4
86	например в	4	4
87	значении этого	1	4
88	отношения к	2	4
89	в слове	21	4
90	роли в	1	4
91	из которого	3	4
92	еще не	9	4
93	в данном	1	4
94	языка в	6	4
95	входит в	1	4
96	в другом	3	4
97	сознания в	2	4
98	сказать что	5	4
99	жизни как	1	4
100	к которому	5	4
101	в своем	3	4
102	к тому	5	4
103	и то	4	4
104	это не	10	4
105	в отношении	1	4
106	его в	3	4
107	деятельности в	2	4
108	и как	11	4
109	в этих	10	4
110	так в	4	4
111	в себя	2	4
112	а только	8	4
113	того или	1	4
114	между тем	7	4
115	речи и	11	4
116	он не	4	4
117	и тем	5	4
118	и что	13	4
119	далеко не	4	4
120	и о	3	4
121	однако в	4	4
122	хотя и	6	4
123	в той	1	3
124	на деле	6	3
125	человеческой жизни	1	3
126	и на	8	3
127	с этой	3	3
128	даже в	1	3
129	была бы	3	3
130	подобно тому	7	3
131	если бы	23	3
132	и сам	1	3
133	есть в	4	3
134	а именно	1	3
135	одно слово	1	3
136	в жизни	5	3
137	имеет место	4	3
138	как и	16	3
139	их в	2	3
140	никто не	3	3
141	себя и	3	3
142	тем не	11	3
143	но их	1	3
144	и того	6	3
145	в противоположность	2	3
146	к нему	2	3
147	потому что	89	3
148	одной стороны	6	3
149	отношении к	1	3
150	в одном	13	3
151	имеем в	1	3
152	известной степени	1	3
153	мог бы	5	3
154	во всей	1	3
155	от себя	2	3
156	и внешней	1	3
157	из этих	8	3
158	и для	8	3
159	он должен	2	3
160	таким образом	21	3
161	человека к	1	3
162	с одной	7	3
163	в произведении	1	3
164	с точки	4	3
165	все прочие	1	3
166	внешнего мира	3	3
167	и притом	6	3
168	связи с	6	3
169	но он	3	3
170	в таком	7	3
171	в связи	2	3
172	или даже	3	3
173	во всех	12	3
174	тому как	8	3
175	субъекта и	4	3
176	принадлежит к	1	3
177	в свою	8	3
178	с языком	2	3
179	в которой	5	3
180	не будет	2	3
181	одно и	1	3
182	к области	1	3
183	говоря о	3	3
184	этом смысле	4	3
185	того же	13	3
186	что можно	3	3
187	одного и	6	3
188	слова в	7	3
189	и прежде	1	3
190	в целом	3	3
191	и ее	1	3
192	ведет к	1	2
193	и другие	1	2
194	образом и	2	2
195	один из	2	2
196	таковы например	1	2
197	рассказ о	1	2
198	жизни а	1	2
199	с ним	7	2
200	жить и	1	2
201	не как	4	2
202	задолго до	1	2
203	одно из	5	2
204	но чтобы	1	2
205	том и	2	2
206	по себе	24	2
207	в них	7	2
208	оно не	4	2
209	этой точки	2	2
210	самом деле	2	2
211	между которыми	1	2
212	на мир	1	2
213	заключается в	3	2
214	на свою	1	2
215	все эти	3	2
216	имеет дело	2	2
217	к более	1	2
218	именно в	2	2
219	значения и	1	2
220	значительной степени	3	2
221	из тех	1	2
222	с ними	2	2
223	в одно	5	2
224	как в	18	2
225	роль в	1	2
226	говоря и	1	2
227	бы не	11	2
228	отличается от	1	2
229	вследствие этого	1	2
230	ни для	2	2
231	в известном	2	2
232	всей своей	1	2
233	которая не	1	2
234	в каком	7	2
235	к другому	2	2
236	своей жизни	1	2
237	о том	6	2
238	мы легко	2	2
239	при всем	1	2
240	свою очередь	8	2
241	еще и	1	2
242	вытекает из	3	2
243	не могли	2	2
244	духовной жизни	2	2
245	совпадает с	1	2
246	индивидуального бытия	1	2
247	но во	3	2
248	не всегда	2	2
249	не сама	1	2
250	слова и	7	2
251	могло быть	1	2
252	между двумя	1	2
253	для меня	4	2
254	внешних предметов	1	2
255	не могло	3	2
256	быть названо	5	2
257	может служить	2	2
258	втором случае	1	2
259	говорит что	1	2
260	вслед за	2	2
261	и это	3	2
262	превращается в	2	2
263	времени и	3	2
264	для которого	1	2
265	не вполне	1	2
266	так же	7	2
267	и возможность	1	2
268	существования в	2	2
269	и наоборот	10	2
270	об этом	1	2
271	должен быть	2	2
272	из виду	2	2
273	известного рода	1	2
274	если мы	5	2
275	произведении искусства	1	2
276	в нашем	2	2
277	всякий раз	1	2
278	одна из	4	2
279	этого слова	5	2
280	здесь не	2	2
281	не все	3	2
282	в противном	3	2
283	на котором	1	2
284	в самой	5	2
285	только о	2	2
286	никогда не	7	2
287	и по	8	2
288	жизни но	2	2
289	начиная с	2	2
290	бы то	2	2
291	то в	6	2
292	при котором	3	2
293	но на	3	2
294	этих двух	1	2
295	мышления и	1	2
296	несмотря на	5	2
297	ни было	4	2
298	нашего внутреннего	1	2
299	к нашему	1	2
300	внутренней и	1	2
301	в основании	3	2
302	в формах	3	2
303	которого он	1	2
304	что такое	3	2
305	ее в	1	2
306	все это	3	2
307	что и	16	2
308	что каждый	1	2
309	с их	1	2
310	таком случае	4	2
311	слова не	2	2
312	у него	3	2
313	или в	4	2
314	и более	3	2
315	не от	4	2
316	одним из	2	2
317	что она	3	2
318	каждая из	1	2
319	сама по	4	2
320	тому что	4	2
321	случае не	1	2
322	во внутренней	3	2
323	в какой	2	2
324	противном случае	3	2
325	первой части	1	2
326	в сторону	1	2
327	в чем	6	2
328	делает его	1	2
329	жизни то	1	2
330	вовсе не	13	2
331	вопрос что	1	2
332	тем более	2	2
333	и потому	7	2
334	но как	4	2
335	при чтении	1	2
336	на этом	3	2
337	могут служить	1	2
338	определенным образом	1	2
339	то ни	3	2
340	есть как	2	2
341	и может	5	2
342	но она	3	2
343	другим и	3	2
344	не с	2	2
345	за пределы	4	2
346	но только	2	2
347	жизни оказывается	1	2
348	от своего	2	2
349	не сами	1	2
350	человека и	2	2
351	мы по	1	2
352	с человеком	1	2
353	собственно говоря	2	2
354	могла бы	5	2
355	в этой	3	2
356	что может	1	2
357	для обозначения	2	2
358	и др	1	2
359	нас самих	1	2
360	о его	2	2
361	то чему	1	2
362	с чем	1	2
363	столь же	6	2
364	из этого	2	2
365	не сумеет	1	2
366	ни был	2	2
367	чтобы не	3	2
368	в пространстве	1	2
369	или напротив	1	2
370	при воспоминании	1	1
371	в особенности	1	1
372	с которыми	3	1
373	это на	1	1
374	с содержанием	1	1
375	и способность	1	1
376	от него	8	1
377	все что	5	1
378	вошло в	1	1
379	для всех	6	1
380	и здесь	1	1
381	бы несколько	2	1
382	за ним	2	1
383	одним словом	5	1
384	одном случае	1	1
385	здесь именно	1	1
386	же и	1	1
387	языку по	1	1
388	как с	1	1
389	язык а	1	1
390	этот закон	1	1
391	и свою	1	1
392	если в	3	1
393	например если	3	1
394	как содержание	1	1
395	или после	1	1
396	слова так	3	1
397	впечатление в	1	1
398	я этого	1	1
399	между этими	2	1
400	случае мы	1	1
401	дело с	2	1
402	можно назвать	1	1
403	есть для	2	1
404	что делает	1	1
405	и дает	1	1
406	звук в	2	1
407	не всякий	1	1
408	во внешних	1	1
409	и другим	1	1
410	или а	1	1
411	никакого определенного	1	1
412	что это	5	1
413	от нас	3	1
414	тем как	3	1
415	человеком который	1	1
416	природе и	1	1
417	по выражению	1	1
418	и души	1	1
419	в сущности	2	1
420	какой бы	1	1
421	одном и	3	1
422	в другой	4	1
423	самой жизни	1	1
424	те же	4	1
425	и музыкального	1	1
426	времени когда	1	1
427	предполагает не	1	1
428	но собственно	1	1
429	из того	3	1
430	речи как	1	1
431	например с	2	1
432	и делает	1	1
433	бы они	2	1
434	в результате	1	1
435	то с	1	1
436	открытие и	1	1
437	быть может	6	1
438	и вполне	2	1
439	отдельно от	1	1
440	в единстве	3	1
441	не могут	10	1
442	живые существа	1	1
443	этом как	1	1
444	со всеми	1	1
445	сравнении с	4	1
446	не сможет	1	1
447	должен был	1	1
448	быть так	1	1
449	чтобы в	1	1
450	начинается с	1	1
451	и даже	4	1
452	если не	5	1
453	все то	2	1
454	не более	4	1
455	мы понимаем	1	1
456	предметов в	1	1
457	которых и	2	1
458	от одного	2	1
459	в собственном	4	1
460	говорящего и	2	1
461	а во-вторых	1	1
462	языка без	1	1
463	чего бы	2	1
464	которая действительно	1	1
465	устранены из	1	1
466	мы говорим	3	1
467	любовь и	1	1
468	мысль о	8	1
469	всегда остается	1	1
470	всем остальным	1	1
471	тем что	15	1
472	этого в	2	1
473	в малом	1	1
474	из всего	2	1
475	и действительно	1	1
476	то время	3	1
477	если он	1	1
478	принадлежат к	1	1
479	но самое	1	1
480	видно из	3	1
481	стороны в	1	1
482	быть устранены	4	1
483	зрения или	1	1
484	его сознании	1	1
485	к самому	1	1
486	к нам	3	1
487	что по	3	1
488	приходит в	1	1
489	есть чувство	1	1
490	вместе с	12	1
491	все же	11	1
492	других а	1	1
493	менее определенным	1	1
494	быть назван	1	1
495	предмета и	3	1
496	только для	7	1
497	не имеет	9	1
498	как более	1	1
499	в сравнении	5	1
500	да и	1	1
501	более сложные	1	1
502	о котором	4	1
503	зависимости от	1	1
504	и слово	2	1
505	более как	3	1
506	на их	2	1
507	друг от	3	1
508	на каждом	1	1
509	свою собственную	1	1
510	но мы	3	1
511	они ни	2	1
512	по крайней	6	1
513	он мог	1	1
514	перед нами	1	1
515	языка мы	2	1
516	с этим	11	1
517	все они	3	1
518	а язык	1	1
519	объективно и	1	1
520	тем в	2	1
521	нам не	2	1
522	состоит не	1	1
523	и предполагает	1	1
524	разница в	2	1
525	не существует	2	1
526	в котором	5	1
527	из других	1	1
528	зависит от	6	1
529	в действительности	6	1
530	и такие	1	1
531	этой деятельности	2	1
532	лицом и	2	1
533	языка и	20	1
534	между несколькими	1	1
535	сливается с	1	1
536	по своим	1	1
537	более чем	1	1
538	случаи когда	2	1
539	о явлениях	1	1
540	заключать в	1	1
541	то и	15	1
542	она названа	1	1
543	в сознание	2	1
544	всегда может	1	1
545	с моей	1	1
546	она могла	2	1
547	имеет в	1	1
548	наконец в	1	1
549	единства в	1	1
550	не должно	2	1
551	что входит	1	1
552	другу и	2	1
553	и поэтому	2	1
554	сама собою	1	1
555	быть не	7	1
556	душе в	1	1
557	обращенного к	1	1
558	во многих	5	1
559	из его	1	1
560	людей как	1	1
561	имея в	3	1
562	существенное значение	1	1
563	с которой	1	1
564	и теперь	1	1
565	жизни и	3	1
566	чего не	3	1
567	чувств то	1	1
568	общего чувства	13	1
569	значение для	1	1
570	только на	4	1
571	в близости	1	1
572	зрение и	1	1
573	в образы	2	1
574	точно так	18	1
575	к одному	3	1
576	и внешнее	1	1
577	теми которые	1	1
578	в различных	1	1
579	переходит к	1	1
580	на основании	3	1
581	чем с	1	1
582	образом что	2	1
583	в мир	1	1
584	не так	6	1
585	иначе в	1	1
586	ни были	3	1
587	она по	1	1
588	что речь	2	1
589	знаков из	1	1
590	не что	2	1
591	в истории	8	1
592	от своей	1	1
593	в природу	1	1
594	каждый из	1	1
595	себе в	2	1
596	до того	2	1
597	действия и	1	1
598	в чистом	1	1
599	между людьми	2	1
600	в прошлом	1	1
601	и формы	1	1
602	на которые	1	1
603	как следствие	2	1
604	задний план	1	1
605	как явление	1	1
