N	3gram	Vygotskiy_	slovoVRo
1	не может быть	4	19
2	в то же	1	18
3	той или иной	1	15
4	с точки зрения	12	15
5	в отличие от	3	14
6	с одной стороны	10	11
7	более или менее	1	9
8	в этом случае	5	9
9	в зависимости от	2	8
10	во всяком случае	2	8
11	так и в	1	6
12	не может не	3	6
13	но все же	2	6
14	с другой стороны	8	6
15	в том что	33	5
16	по отношению к	19	5
17	как мы уже	2	5
18	не только в	1	5
19	в этом отношении	7	5
20	во всех областях	1	5
21	одной стороны и	2	4
22	точка зрения на	1	4
23	для того чтобы	20	4
24	на первый план	2	4
25	можно прямо сказать	1	4
26	друг с другом	10	4
27	до сих пор	3	4
28	те или иные	1	4
29	и не может	3	4
30	в свою очередь	4	4
31	можно сказать что	7	4
32	таким образом в	2	4
33	в лучшем случае	3	4
34	не могут быть	3	4
35	оно не может	1	4
36	прямо сказать что	1	3
37	в собственном смысле	2	3
38	и то же	1	3
39	того или иного	1	3
40	между этими двумя	2	3
41	тех или иных	2	3
42	в данном случае	3	3
43	в связи с	6	3
44	в самом предмете	1	3
45	сама по себе	4	3
46	к тому что	5	3
47	там где они	1	3
48	включает в себя	2	3
49	одно и то	1	3
50	как мы видели	4	3
51	в широком смысле	1	3
52	в другом случае	2	3
53	он никогда не	1	2
54	это не значит	1	2
55	и связанное с	1	2
56	и в другом	3	2
57	меньше чем в	1	2
58	с этой точки	7	2
59	таким образом на	1	2
60	тем не менее	1	2
61	в первом случае	2	2
62	ничего нового не	1	2
63	но как мы	1	2
64	языка так же	1	2
65	не только не	7	2
66	имеет дело с	1	2
67	но в этом	2	2
68	в известном смысле	7	2
69	а не только	1	2
70	на каждом шагу	3	2
71	в том и	1	2
72	том и в	1	2
73	но и в	1	2
74	а не как	2	2
75	о том что	7	2
76	и связанная с	1	2
77	этой точки зрения	7	2
78	до последнего времени	1	2
79	тем и другим	1	2
80	в то время	4	2
81	на ту же	1	2
82	его отношение к	3	2
83	мы не можем	2	2
84	можно было бы	8	2
85	в их основе	1	2
86	с самого начала	8	2
87	они ни были	1	2
88	же как и	2	2
89	и в частности	3	2
90	мы уже говорили	2	2
91	и не только	1	2
92	как уже сказано	3	2
93	то время как	4	2
94	который в своей	1	1
95	мы видели что	2	1
96	простое и непосредственное	1	1
97	тем самым он	1	1
98	значение для всей	1	1
99	но тем самым	1	1
100	на всю последующую	1	1
101	что он не	3	1
102	заключается именно в	1	1
103	точек зрения не	1	1
104	он еще не	1	1
105	чем перейти к	2	1
106	в направлении к	1	1
107	но и по	1	1
108	для этого необходимо	1	1
109	в применении к	1	1
110	в той же	3	1
111	мы видим что	2	1
112	этой способности и	1	1
113	как мы говорили	1	1
114	зависимости от этих	1	1
115	в которой они	1	1
116	но и на	1	1
