N	2gram	Tiupa_Lite	Istorich
1	и в	26	181
2	и т	2	160
3	может быть	24	115
4	не только	29	114
5	что он	8	111
6	мы имеем	2	102
7	что в	7	90
8	но и	25	85
9	в этом	19	81
10	так как	2	75
11	то что	14	73
12	таким образом	4	72
13	вместе с	5	71
14	и не	19	67
15	все же	6	65
16	в этих	2	64
17	еще не	4	63
18	не может	10	61
19	так же	1	57
20	то же	13	56
21	никогда не	5	56
22	в том	22	53
23	том что	19	53
24	а в	5	52
25	с другой	11	52
26	потому что	5	52
27	и что	2	51
28	и здесь	1	51
29	что и	3	51
30	мы видели	1	49
31	а не	28	48
32	о том	3	48
33	его в	4	47
34	не в	11	47
35	другой стороны	5	46
36	превращается в	2	45
37	но в	5	44
38	это не	4	43
39	и его	7	43
40	мы знаем	1	42
41	в нем	4	42
42	только в	8	42
43	как в	5	42
44	в царство	1	40
45	или в	1	39
46	тем что	6	38
47	и на	5	38
48	в его	9	38
49	для нас	3	38
50	как и	13	37
51	уже не	9	37
52	он не	4	37
53	так и	7	37
54	мы можем	1	36
55	что они	1	35
56	с тем	2	35
57	мы не	5	35
58	здесь мы	1	35
59	все эти	2	35
60	не всегда	1	34
61	связи с	7	34
62	но не	8	34
63	а именно	1	34
64	у него	5	34
65	во время	1	34
66	что это	1	34
67	же как	3	33
68	сих пор	1	32
69	в качестве	21	32
70	один из	7	31
71	прежде всего	14	31
72	то это	2	31
73	так в	6	31
74	представляет собой	5	31
75	власть над	1	31
76	ничего не	3	31
77	с одной	9	30
78	в русской	13	30
79	до сих	1	30
80	к нему	1	30
81	этом случае	2	29
82	но все	1	29
83	одной стороны	8	29
84	как мы	2	29
85	но это	2	29
86	в иной	1	28
87	и с	4	28
88	например в	3	28
89	героя в	2	27
90	так что	4	27
91	могут быть	4	27
92	в образе	1	27
93	того что	7	27
94	как он	2	27
95	как это	9	26
96	на него	1	26
97	и др	4	26
98	представляют собой	1	26
99	в ней	4	26
100	вопрос о	1	25
101	в дальнейшем	1	25
102	и он	3	25
103	не менее	11	24
104	к этому	2	24
105	было бы	4	24
106	того как	1	24
107	в виде	1	24
108	если бы	1	24
109	представлений о	1	23
110	как бы	8	23
111	тем не	4	23
112	в этой	7	23
113	когда он	1	23
114	в частности	18	23
115	и по	1	22
116	с ним	2	22
117	при этом	23	22
118	в некоторых	1	22
