N	4gram	Tiupa_Teor	Mirosoze
1	не что иное как	1	4
2	в том что он	2	3
3	есть не что иное	1	3
4	для себя а для	1	2
5	не может быть и	1	2
6	не для себя а	1	2
7	той мере в какой	1	1
8	мы имеем в виду	3	1
9	и в самом деле	2	1
10	в том случае если	1	1
11	не сама по себе	1	1
12	в то же время	8	1
13	лишь для того чтобы	1	1
14	том что он не	1	1
15	а между тем в	1	1
16	и по отношению к	1	1
17	но я никогда не	1	1
18	в той мере в	1	1
19	по отношению к нему	1	1
20	не несет в себе	1	1
21	не знает личности как	1	1
