N	4gram	Bakhtin_Pr	SlovoVZh
1	дело в том что	1	4
2	так как если бы	1	4
3	бы то ни было	2	3
4	и по отношению к	1	3
5	но тем не менее	1	2
6	с одной стороны и	1	2
7	все зависит от того	1	1
8	деле это не так	1	1
9	не может быть понято	1	1
10	развитие этой точки зрения	1	1
11	в самом деле в	1	1
12	какой бы то ни	1	1
13	но в то же	7	1
14	к нему как к	1	1
15	но все же не	2	1
16	от того кто является	1	1
17	и в этом смысле	2	1
18	от того в каком	1	1
19	в зависимости от того	1	1
20	как если бы оно	1	1
21	самом деле это не	1	1
22	так же как и	1	1
23	в то время как	2	1
24	мы имеем в виду	1	1
25	героя никогда не бывает	1	1
26	на самом деле это	1	1
27	звучит так как если	1	1
28	бы оно ни было	1	1
29	те идеологические оценки которые	1	1
30	до сих пор не	1	1
31	в этом смысле она	1	1
32	в стиле и в	1	1
33	что до сих пор	1	1
34	по отношению к автору	1	1
35	быть более или менее	2	1
36	и не может быть	1	1
37	то же время не	3	1
38	каких бы то ни	1	1
39	форма сама по себе	1	1
40	в то же время	13	1
41	если бы не было	1	1
42	искусства и в частности	1	1
43	может быть более или	2	1
