N	2gram	Tiupa_Teor	Retstnzi
1	не может	8	4
2	и в	24	3
3	если в	2	2
4	в центре	1	2
5	один из	2	2
6	может и	2	1
7	в особенности	1	1
8	в иную	1	1
9	несмотря на	2	1
10	может быть	22	1
11	не только	24	1
12	точки зрения	11	1
13	с точки	3	1
14	может не	1	1
15	целого во	1	1
16	для него	5	1
17	ситуации и	1	1
18	тех же	1	1
19	в каждом	1	1
20	связи с	3	1
21	с другими	6	1
22	если бы	3	1
23	художественного произведения	5	1
24	исходя из	1	1
25	литературного произведения	11	1
26	на примере	1	1
27	в его	12	1
28	не менее	6	1
29	деятельности в	5	1
30	но и	14	1
31	мы видим	1	1
32	к тому	4	1
33	во второй	7	1
34	сравнении с	1	1
35	можно назвать	1	1
36	тому что	2	1
37	вопрос что	2	1
38	в то	9	1
39	из этих	3	1
40	и больше	2	1
41	он в	1	1
42	же время	8	1
43	то же	12	1
44	по своим	1	1
45	при анализе	1	1
46	а не	14	1
47	бы в	1	1
48	в системе	2	1
49	и не	17	1
50	на нее	1	1
51	о литературе	3	1
52	и на	2	1
53	художественного целого	4	1
