N	3gram	Medvedev_V	StatiiOP
1	в том что	5	47
2	и т д	16	32
3	о том что	3	29
4	в этом отношении	14	24
5	для того чтобы	3	19
6	до сих пор	2	19
7	и т п	9	19
8	с другой стороны	8	13
9	во всяком случае	2	13
10	не может быть	8	11
11	в самом деле	1	9
12	то же время	5	9
13	вместе с тем	4	9
14	на то что	1	9
15	в то же	5	9
16	можно было бы	2	9
17	к тому что	4	8
18	не только в	2	8
19	не в том	2	7
20	в конце концов	2	7
21	в этой области	3	7
22	в данном случае	1	7
23	по этому поводу	7	7
24	но все же	1	7
25	в то время	1	7
26	так же как	1	6
27	в письме к	11	6
28	по отношению к	7	6
29	из рыцарских времен	1	6
30	в этом смысле	1	6
31	не только не	2	6
32	по крайней мере	2	6
33	в том смысле	1	6
34	в одном из	4	6
35	в том отношении	2	6
36	т д но	1	6
37	вопрос о том	1	6
38	что он не	1	5
39	то время как	1	5
40	в том же	1	5
41	говорит о том	1	5
42	но и в	1	5
43	в том чтобы	2	5
44	то что в	1	5
45	после того как	2	5
46	в статье о	1	4
47	в применении к	1	4
48	том отношении что	2	4
49	дело не в	1	4
50	что в своем	1	4
51	так или иначе	1	4
52	сами по себе	1	4
53	с одной стороны	2	4
54	ничего общего с	1	4
55	в связи с	4	4
56	в другом месте	2	4
57	того или иного	1	4
58	на эти вопросы	2	4
59	говорит об этом	1	4
60	в печатном тексте	1	4
61	иметь в виду	2	4
62	у пушкина в	1	3
63	имеет ничего общего	1	3
64	о том как	3	3
65	том смысле что	1	3
66	можно сказать что	4	3
67	то или иное	1	3
68	говоря уже о	1	3
69	в том числе	2	3
70	не значит что	1	3
71	более или менее	6	3
72	не имеет ничего	1	3
73	таким образом в	2	3
74	к тому же	1	3
75	т е не	1	3
76	одном из писем	2	3
77	только в том	2	3
78	не говоря уже	1	3
79	в прямом смысле	1	3
80	по меньшей мере	1	3
81	во всех этих	2	3
82	в этом случае	1	3
83	т е в	2	3
84	было бы совершенно	1	3
85	нет ни одного	1	3
86	на этой почве	1	2
87	отношении что они	1	2
88	и в другом	2	2
89	но вместе с	1	2
90	этой области не	1	2
91	и в результате	1	2
92	в той или	1	2
93	из них и	1	2
94	его работе над	1	2
95	хотя бы и	5	2
96	и др но	1	2
