N	3gram	Berdyaev_O	FransuaR
1	в том что	1	27
2	в этом отношении	1	20
3	для того чтобы	3	17
4	о том что	1	17
5	но и в	2	15
6	и прежде всего	1	14
7	не может быть	2	13
8	в другом месте	1	12
9	как и все	2	11
10	как и в	1	10
11	в эпоху возрождения	1	8
12	после того как	1	8
13	в самом деле	1	7
14	о том как	1	7
15	нужно отметить что	1	7
16	прежде всего в	1	7
17	даже и в	1	6
18	друг с другом	1	5
19	по сравнению с	1	5
20	во всяком случае	1	5
21	вместо того чтобы	1	5
22	как бы в	1	5
23	то что в	1	4
24	том что в	1	4
25	и все что	1	4
26	в самой жизни	1	4
27	и то что	1	4
28	в самом начале	1	4
29	в строгом смысле	1	4
30	и не может	1	4
31	и в самом	1	4
32	и все это	1	3
33	у него в	5	3
34	потому что в	1	3
35	смысле этого слова	1	3
36	в одном месте	1	3
37	он не только	1	3
38	и не в	1	3
39	и в том	1	3
40	и в этом	2	3
41	так и не	1	3
42	сам по себе	1	2
43	между этими двумя	1	2
44	в нем нет	3	2
45	от всех тех	1	2
46	уже указывали на	1	2
47	никто не может	1	2
48	он и не	1	2
49	не могут быть	2	2
50	в нем все	1	2
51	но и там	1	2
52	но от этого	1	2
53	он еще не	1	2
54	говорят о том	1	2
55	и в самой	2	2
56	и в его	1	2
57	что у него	2	2
58	дело доходит до	1	2
59	в обычном смысле	1	2
60	к человеку и	4	2
61	его творчества но	1	2
62	друг к другу	1	2
63	принято думать что	1	1
64	никогда и нигде	1	1
65	еще одну особенность	1	1
66	с его стремлением	2	1
67	как будто бы	1	1
68	с ним может	1	1
69	кого не было	1	1
70	человека в его	2	1
71	я имею в	1	1
72	с вопросом о	1	1
73	в своем художественном	2	1
74	это не есть	1	1
75	она и не	1	1
76	над человеческой природой	1	1
77	вложена в уста	1	1
78	для него также	1	1
79	было для него	1	1
80	от него и	4	1
81	в этих словах	1	1
82	и человеческих отношений	1	1
83	своем художественном творчестве	2	1
84	о человеке которая	1	1
85	имею в виду	1	1
86	он был необычайно	1	1
87	чем в других	1	1
88	гюго диккенса и	1	1
89	в этой отрицательной	1	1
90	он прежде всего	2	1
91	в этом мире	2	1
92	у кого не	1	1
93	есть не только	1	1
94	с разных сторон	2	1
95	что нет у	1	1
96	с тем что	2	1
97	том случае если	1	1
98	дается в форме	1	1
99	что это за	1	1
100	бы и не	1	1
101	и не быть	1	1
102	бы он ни	1	1
103	в противоречии с	1	1
104	не потому ли	1	1
105	этого мира в	1	1
106	он ни был	1	1
107	ни с какими	1	1
108	и он не	1	1
109	в каждом из	1	1
110	находится в противоречии	1	1
111	нем нет ничего	1	1
112	не так как	1	1
113	не в том	1	1
114	в глубь человеческого	1	1
115	по природе своей	1	1
116	в том случае	1	1
117	но и ее	1	1
118	бросается в глаза	1	1
119	само по себе	1	1
120	проповеди а в	1	1
121	в самой глубине	3	1
122	ни с кем	1	1
123	чувств и мыслей	1	1
124	не в силах	1	1
125	никогда не было	2	1
126	то он должен	1	1
127	и мысли и	1	1
128	человеку и его	1	1
129	на то что	1	1
130	в отношении ко	1	1
131	от того что	1	1
132	он говорит в	1	1
133	в них раскрывается	1	1
134	которая была скрыта	1	1
135	искать не в	2	1
136	о бессмертии души	1	1
137	хотя и не	1	1
138	одно из самых	1	1
139	эпоху возрождения но	1	1
140	обычном смысле слова	1	1
141	но в этой	1	1
142	и он всегда	1	1
143	и в ее	1	1
144	у него всегда	2	1
145	здесь нужно искать	1	1
146	прежде всего и	1	1
147	человека и человеческих	1	1
148	все что было	1	1
149	иначе чем в	1	1
