N	4gram	Vygotskiy_	EvropaiC
1	до сих пор не	1	5
2	в том случае если	4	4
3	которых мы говорили выше	1	4
4	о которых мы говорили	2	4
5	заключается в том что	8	3
6	одного и того же	1	3
7	что до сих пор	2	2
8	и уже одно это	1	1
9	состоит в том что	1	1
10	с этой точки зрения	2	1
11	в то время как	3	1
12	то же самое что	2	1
13	образом мы видим что	2	1
14	то для того чтобы	1	1
15	а на самом деле	1	1
16	мы уже знаем что	1	1
17	в том и другом	1	1
18	на то что для	1	1
19	то непосредственное впечатление которое	1	1
20	указывали на то что	1	1
21	в том что он	3	1
22	не в том что	1	1
23	одно и то же	3	1
24	в том что как	1	1
25	таким образом мы видим	1	1
26	вступить в противоречие с	2	1
27	и с точки зрения	1	1
28	в целом ряде случаев	1	1
29	как и все прочие	1	1
30	есть не более как	1	1
31	только в том случае	4	1
32	мы уже говорили что	1	1
33	что ни одна из	1	1
34	в том что оно	1	1
35	одной и той же	3	1
36	указание на то что	1	1
37	в том что они	2	1
38	в том виде как	1	1
39	но именно в этой	1	1
40	в самом деле если	2	1
41	в том или ином	1	1
