N	2gram	Bakhtin_Pr	TeoriaLi
1	в качестве	1	33
2	в мире	7	26
3	не только	26	24
4	и в	64	24
5	в частности	1	23
6	то есть	3	22
7	может быть	43	22
8	при этом	8	20
9	в том	12	20
10	тогда как	1	18
11	я в	2	18
12	и не	55	17
13	а в	10	15
14	но и	26	14
15	а не	29	14
16	так и	8	14
17	в себе	11	14
18	в рамках	2	13
19	такого рода	1	13
20	но не	12	13
21	в этом	33	12
22	но в	14	12
23	в его	30	12
24	то же	18	12
25	своего рода	1	11
26	том что	8	11
27	точки зрения	31	11
28	и его	21	11
29	что в	11	10
30	по отношению	12	10
31	как это	1	10
32	лишь в	4	10
33	отношению к	12	10
34	только в	13	9
35	в данном	2	9
36	с другой	7	9
37	в искусстве	1	9
38	не в	15	9
39	в то	15	9
40	в своей	11	8
41	же время	13	8
42	как бы	33	8
43	не может	26	8
44	в самом	17	7
45	не столько	1	7
46	или иной	1	7
47	и т.п	1	7
48	в отличие	4	7
49	в своем	12	7
50	себя в	3	7
51	мы имеем	1	7
52	отличие от	4	7
53	во второй	2	7
54	отношение к	4	7
55	однако в	3	7
56	место в	1	7
57	в области	1	7
58	в нем	28	7
59	другой стороны	6	6
60	более или	4	6
61	как и	25	6
62	не менее	3	6
63	приводит к	8	6
64	еще не	10	6
65	в основе	4	6
66	то что	21	6
67	со стороны	1	6
68	уже не	15	6
69	с его	11	6
70	в ее	2	6
71	с другими	8	6
72	или иначе	1	6
73	между ними	6	6
74	или менее	4	6
75	героя и	14	6
76	в русской	1	6
77	того или	1	6
78	в первой	3	6
79	или иного	1	6
80	художественного творчества	5	5
81	ни в	5	5
82	в виду	3	5
83	так или	1	5
84	и одновременно	3	5
85	как в	7	5
86	в художественном	6	5
87	можно сказать	2	5
88	того чтобы	2	5
89	для того	1	5
90	литературных произведений	1	5
91	жизни как	1	5
92	за пределами	2	5
93	на почве	5	5
94	как к	3	5
95	по преимуществу	2	5
96	данном случае	2	5
97	для него	23	5
98	а и	1	5
99	того что	3	5
100	в себя	6	5
101	между тем	7	5
102	он не	14	5
103	и тем	1	5
104	высказывания в	1	5
105	в пределах	24	5
106	и о	7	5
107	могут быть	9	5
108	художественного произведения	2	5
109	порядка в	3	4
110	в отношении	5	4
111	не на	7	4
112	не следует	1	4
113	и сам	6	4
114	в этих	5	4
115	отношения к	5	4
116	что он	15	4
117	в слове	3	4
118	художественного восприятия	1	4
119	языка в	1	4
120	совпадает с	2	4
121	входит в	9	4
122	в другом	3	4
123	отношении к	5	4
124	сказать что	4	4
125	в нашем	2	4
126	к тому	4	4
127	этого слова	3	4
128	во времени	3	4
129	никогда не	11	4
130	или иным	1	4
131	это не	12	4
132	хотя и	5	4
133	в литературе	4	4
134	слова в	12	4
135	в их	6	4
136	его в	8	4
137	читателя в	1	4
138	но он	4	4
