N	2gram	Berdyaev_M	Istorich
1	и в	61	181
2	и т	1	160
3	т е	5	133
4	может быть	42	115
5	не только	42	114
6	что он	16	111
7	мы имеем	1	102
8	что в	12	90
9	но и	34	85
10	в этом	34	81
11	так как	10	75
12	то что	10	73
13	вместе с	7	71
14	и не	26	67
15	мы видим	4	65
16	все же	2	65
17	в этих	6	64
18	еще не	1	63
19	не может	39	61
20	так же	5	57
21	то же	4	56
22	никогда не	30	56
23	в том	9	53
24	том что	7	53
25	а в	4	52
26	с другой	1	52
27	потому что	25	52
28	и что	4	51
29	и здесь	6	51
30	что и	6	51
31	а не	36	48
32	о том	5	48
33	связь с	1	47
34	его в	6	47
35	не в	16	47
36	превращается в	1	45
37	мы должны	1	44
38	но в	12	44
39	это не	10	43
40	и его	13	43
41	этот случай	2	42
42	в нем	26	42
43	только в	7	42
44	как в	9	42
45	тем что	7	38
46	и на	9	38
47	в его	10	38
48	для нас	3	38
49	как и	14	37
50	уже не	8	37
51	мы уже	1	37
52	он не	34	37
53	так и	5	37
54	мы увидим	4	36
55	что они	4	35
56	с тем	10	35
57	мы не	2	35
58	все эти	3	35
59	не всегда	1	34
60	но не	8	34
61	а именно	1	34
62	у него	38	34
63	во время	1	34
64	что это	5	34
65	же как	1	33
66	об этом	2	33
67	сих пор	5	32
68	один из	9	31
69	прежде всего	18	31
70	то это	1	31
71	так в	1	31
72	в иное	2	31
73	ничего не	4	31
74	с этим	4	30
75	в русской	4	30
76	до сих	5	30
77	к нему	8	30
78	но все	1	29
79	но это	8	29
80	в иной	3	28
81	что она	5	28
82	и с	6	28
83	так что	3	27
84	могут быть	2	27
85	в образе	4	27
86	того что	13	27
87	в ином	2	27
88	как он	4	27
89	иной мир	4	26
90	и др	1	26
91	в ней	23	26
92	вопрос о	7	25
93	и он	21	25
94	не менее	1	24
95	к этому	3	24
96	было бы	11	24
97	раньше чем	1	24
98	того как	3	24
99	если бы	5	24
100	что мы	1	24
101	на небо	1	24
102	их в	1	23
103	как бы	10	23
104	и это	16	23
105	в этой	12	23
106	имеем в	1	23
107	все это	6	23
108	когда он	3	23
109	в частности	1	23
110	и по	4	22
111	с ним	5	22
112	связано с	5	21
113	в другом	1	21
114	в одном	1	21
115	сказать что	5	21
116	связан с	1	21
117	должны были	1	21
118	к тому	6	21
119	они не	4	21
120	ее в	1	21
121	она не	9	20
122	наряду с	1	20
123	в свете	3	20
124	в силу	1	20
125	с собой	5	19
126	что у	3	19
127	на том	3	19
128	но он	17	19
129	в другой	1	19
130	есть и	6	19
131	все еще	2	19
132	на то	1	19
133	и как	3	19
134	после того	2	19
135	живет в	2	19
136	ином мире	1	18
137	после этого	1	18
138	в то	2	18
139	не все	3	18
140	вовсе не	1	18
141	в них	5	17
142	можно найти	1	17
143	и этим	2	17
144	то и	1	17
145	и только	1	17
146	или он	1	16
147	и она	5	16
148	во всех	3	16
149	этот вопрос	1	16
150	возможно что	1	16
151	всех этих	1	16
152	то мы	1	16
153	в котором	9	16
154	между двумя	1	16
155	не вполне	1	16
156	и действительно	1	16
157	и все	13	16
158	связана с	9	16
159	в пределах	1	15
160	увидим что	5	15
161	но есть	1	15
162	и то	2	15
163	в своей	18	15
164	в которых	5	15
165	его и	2	15
166	и там	10	15
167	в одной	1	15
168	и эти	1	15
169	как будто	4	15
170	и даже	1	15
171	на его	1	15
172	и тем	1	15
173	он в	4	15
174	друг друга	12	15
175	тот кто	5	15
176	с этой	4	14
177	от него	4	14
178	на смену	3	14
179	по отношению	4	14
180	находится в	1	14
181	можно было	1	14
182	мы еще	4	14
183	в него	3	14
184	и ее	2	14
185	одной из	1	14
186	на вопрос	1	14
187	у нас	13	14
188	право на	1	14
189	его на	4	14
190	должна быть	7	14
191	и есть	21	14
192	с ней	3	14
193	с того	2	14
194	такое же	1	14
195	должен был	4	14
196	а также	1	14
197	отношение к	9	14
198	него и	3	14
199	отношению к	4	14
200	на себя	1	14
201	и наконец	1	14
202	двумя мирами	1	13
203	в своем	17	13
204	время как	2	13
205	по себе	2	13
206	то время	2	13
207	и для	7	13
208	в себе	12	13
209	все что	5	13
210	установить что	1	13
211	и у	3	13
212	на этом	5	13
213	в нее	1	13
214	и от	3	13
215	не имеет	7	13
216	к своему	2	13
217	его не	5	13
218	и если	1	13
219	же можно	2	13
220	что иное	4	13
221	во всем	5	12
222	хотя бы	8	12
223	к себе	3	12
224	а потом	1	12
225	ответ на	1	12
226	о нем	2	12
227	в их	4	12
228	к ней	6	12
229	к этой	3	12
230	в жертву	1	12
231	не знает	12	12
232	одним из	2	12
233	что не	3	12
234	в более	4	12
235	и их	3	12
236	у нее	1	12
237	интересно что	1	11
238	в этот	2	11
239	к которому	1	11
240	точки зрения	6	11
241	я не	4	11
242	от этого	4	11
243	должны быть	3	11
244	стоит на	2	11
245	никто не	3	11
246	иное как	4	11
247	у меня	1	11
248	только с	3	11
249	уже в	6	11
250	на нее	1	11
251	происходит в	1	11
252	если он	7	11
253	восходит к	1	11
254	не что	4	11
255	хотя и	2	11
256	относится к	2	11
257	но оно	1	11
258	и вот	7	11
259	на которой	1	11
260	и более	2	11
261	человека в	26	11
262	е в	1	11
263	и к	9	10
264	он видит	1	10
265	не как	4	10
266	на земле	7	10
267	к ним	1	10
268	от них	1	10
269	о связи	1	10
270	не было	25	10
271	в которой	8	10
272	за собой	2	10
273	в греции	1	10
274	а с	1	10
275	и тот	2	10
276	почти всегда	1	10
277	его к	2	10
278	вступает в	1	10
279	что же	2	10
280	но если	4	10
281	ее на	1	10
282	он и	2	10
283	связаны с	1	10
284	и других	2	10
285	о чем	3	10
286	говорит о	1	10
287	то не	1	10
288	начинается с	1	10
289	в это	1	10
290	не должен	1	10
291	приходит к	2	10
292	не мог	6	10
293	себя в	6	10
294	в состоянии	1	10
295	в ее	3	10
296	ни в	3	10
297	если не	1	10
298	ли он	2	10
299	своего отца	1	10
300	только одна	1	10
301	он может	1	10
302	а на	1	10
303	царство и	1	10
304	есть только	2	10
305	то чего	1	10
306	и вместе	4	9
307	но эти	1	9
308	себе в	3	9
309	она в	1	9
310	но для	2	9
311	в чем	3	9
312	не будет	3	9
313	тогда когда	2	9
314	в царстве	2	9
315	зависимости от	1	9
316	это и	7	9
317	в течение	1	9
318	в свою	5	9
319	целый ряд	2	9
320	на этот	2	9
321	тот же	1	9
322	он должен	4	9
323	из этого	1	9
324	ты не	1	9
325	которой он	2	9
326	когда она	1	9
327	за него	1	9
328	что за	2	9
329	не могут	6	9
330	а как	2	9
331	означает что	3	9
332	в основе	4	9
