N	2gram	Vinokur_St	Problemy
1	и в	61	106
2	и не	23	90
3	как бы	8	70
4	может быть	16	66
5	т е	21	59
6	в его	19	56
7	в этом	37	52
8	в нем	9	51
9	не может	10	49
10	как и	11	44
11	что он	23	44
12	точки зрения	16	40
13	но и	28	40
14	для него	10	39
15	и его	11	39
16	а не	19	38
17	о себе	1	37
18	то же	7	36
19	не только	36	36
20	в пределах	1	35
21	то что	27	33
22	но в	16	33
23	прежде всего	11	32
24	он не	11	29
25	в то	10	29
26	все это	13	29
27	и все	3	28
28	в одном	7	27
29	не в	15	27
30	к другому	1	27
31	же время	5	26
32	в самом	14	25
33	и с	6	25
34	к нему	2	25
35	с точки	10	25
36	в сущности	2	25
37	и т	36	25
38	с самим	1	24
39	не как	2	24
40	вовсе не	24	24
41	самом деле	14	24
42	и на	7	23
43	по себе	3	22
44	в каждом	3	22
45	что я	3	22
46	таким образом	16	22
47	там где	6	21
48	как мы	1	21
49	все же	12	20
50	никогда не	7	20
51	только в	11	20
52	потому что	13	20
53	что же	6	19
54	что в	41	19
55	с его	3	19
56	отношению к	3	19
57	слова в	1	19
58	уже не	1	18
59	по отношению	3	18
60	т п	11	18
61	в себе	3	18
62	еще не	4	18
63	о нем	1	18
64	на самом	8	18
65	но не	5	18
66	все эти	7	18
67	и к	5	17
68	а в	18	17
69	в том	56	17
70	это не	8	17
71	так и	15	17
72	так же	7	16
73	если бы	11	16
74	в своей	12	16
75	этом смысле	2	16
76	в другом	5	16
77	о мире	2	15
78	у него	3	15
79	до конца	4	15
80	и для	4	15
81	и сам	4	14
82	в своем	8	14
83	как раз	10	14
84	в конце	5	14
85	а как	5	14
86	в отношении	11	14
87	себя самого	1	14
88	так как	7	14
89	я не	13	14
90	он и	1	14
91	с другим	1	14
92	лишь в	3	14
93	но все	9	13
94	на него	3	13
95	точка зрения	1	13
96	его в	4	13
97	и это	4	13
98	героя в	1	13
99	в романе	4	13
100	себя и	1	13
101	перед нами	1	13
102	в целом	5	13
103	при этом	4	12
104	даже в	5	12
105	отношении к	3	12
106	и как	2	12
107	и даже	8	12
108	и слово	1	12
109	к тому	9	12
110	во всяком	8	12
111	в котором	11	12
112	что и	8	12
113	не знает	2	12
114	себе и	1	12
115	так что	8	12
116	и что	8	12
117	за пределы	2	12
118	было бы	21	12
119	между тем	7	12
120	как в	15	12
121	том что	49	12
122	у меня	3	12
123	но это	9	12
124	ничего не	6	12
125	слово в	1	12
126	в одной	3	12
127	в плане	1	12
128	тем что	6	11
129	их в	2	11
130	входит в	1	11
131	с другой	11	11
132	ни одного	4	11
133	он сам	1	11
134	это слово	6	11
135	бы в	2	11
136	в форме	2	11
137	не могут	2	11
138	бы и	4	11
139	так чтобы	1	11
140	этого слова	2	11
141	она не	3	11
142	как будто	5	11
143	конце концов	2	11
144	а я	1	11
145	более того	1	11
146	самого начала	3	10
147	что не	3	10
148	сих пор	12	10
149	до сих	13	10
150	для себя	3	10
151	с собою	1	10
152	в слове	5	10
153	в творчестве	1	10
154	той же	5	10
155	к одному	1	10
156	слова с	1	10
157	далеко не	1	10
158	как не	1	10
159	отношение к	3	10
160	ведь и	3	10
161	в той	9	9
162	зрения на	1	9
163	другой стороны	9	9
164	в них	2	9
165	хотя бы	8	9
166	что у	8	9
167	хотя и	4	9
168	но он	5	9
169	с самого	4	9
170	точек зрения	1	9
171	могут быть	5	9
