N	3gram	Propp_Isto	OGranits
1	с точки зрения	1	5
2	не может быть	4	4
3	по отношению к	2	3
4	в том что	8	2
5	ничего общего с	1	2
6	не что иное	6	2
7	в зависимости от	1	2
8	в данном случае	6	2
9	есть не что	2	2
10	что иное как	6	2
11	с одной стороны	2	2
12	с другой стороны	10	2
13	с самого начала	1	2
14	привела его к	1	1
15	и тем что	2	1
16	в узком смысле	1	1
17	в этот момент	1	1
18	образом мы можем	1	1
19	на самом деле	1	1
20	еще одну особенность	1	1
21	таким образом мы	2	1
22	мы можем установить	1	1
23	иметь в виду	1	1
24	которое может стать	1	1
25	равно как и	1	1
26	подобно тому как	3	1
27	так же как	7	1
28	на то что	4	1
29	мы уже видели	3	1
30	том что в	2	1
31	но там где	1	1
32	и вне этой	1	1
33	но тем не	2	1
34	в чем же	1	1
35	с одним из	2	1
36	не только на	1	1
37	что в этом	1	1
38	тех случаях когда	2	1
39	в другом месте	1	1
40	этой точки зрения	1	1
41	как и в	2	1
42	в связи с	5	1
43	то же самое	1	1
44	но далеко не	1	1
45	и пр на	1	1
46	к тому что	1	1
47	на эту связь	1	1
48	тем не менее	6	1
49	только то что	1	1
50	и в его	1	1
51	еще тем что	1	1
52	только в связи	2	1
53	в одном случае	5	1
54	с этим же	1	1
55	об этом говорит	2	1
56	почти никогда не	1	1
57	то мы получим	1	1
58	с этой точки	1	1
59	можно было бы	2	1
60	мы не можем	1	1
61	в тех случаях	2	1
62	и вместе с	1	1
63	состоит в том	2	1
64	и не может	1	1
65	может быть и	1	1
