N	4gram	Medvedev_V	EvropaiC
1	до сих пор не	1	5
2	в том случае если	1	4
3	не подлежит сомнению что	1	3
4	но вместе с тем	1	2
5	в то же время	5	2
6	именно в том что	1	1
7	с этой точки зрения	1	1
8	в то время как	1	1
9	только в этом случае	1	1
10	и так или иначе	1	1
11	не говоря уже о	1	1
12	таким образом по отношению	2	1
13	не в том что	2	1
14	одно и то же	1	1
15	но с другой стороны	1	1
16	говоря уже о том	1	1
17	и не может быть	2	1
18	образом по отношению к	2	1
19	только в том случае	1	1
20	а в том что	1	1
21	в том числе и	2	1
22	приводит к тому что	2	1
23	уже о том что	1	1
24	что ни одна из	1	1
25	в том что оно	1	1
26	нет и не может	1	1
27	в том же духе	1	1
28	в этой области не	1	1
29	в начале этой главы	1	1
30	в том или ином	1	1
