N	4gram	Voloshinov	Vvedenie
1	в то же время	1	6
2	с одной стороны и	2	3
3	дело в том что	4	3
4	но в то же	1	3
5	одно и то же	2	2
6	как если бы оно	1	1
7	сама по себе не	1	1
8	с другой стороны как	1	1
9	в руках у нас	1	1
10	так как если бы	4	1
11	то ни было области	1	1
12	бы то ни было	3	1
13	в зависимости от того	1	1
14	мы имеем в виду	1	1
15	это только одна сторона	1	1
16	и в этом смысле	1	1
17	не может быть и	2	1
18	в науке о литературе	1	1
19	в том что в	1	1
20	прежде всего именно в	1	1
21	какой бы то ни	1	1
22	мы имеем дело с	1	1
23	в ее отношении к	1	1
