N	2gram	Bakhtin_Pr	EvropaiE
1	и в	59	37
2	в отношении	3	32
3	в пределах	13	25
4	точки зрения	36	23
5	что в	14	21
6	не только	26	18
7	с точки	21	17
8	в то	15	16
9	то же	15	15
10	хотя бы	5	15
11	отношении к	3	15
12	в качестве	1	14
13	и не	66	14
14	но и	22	14
15	же время	10	14
16	в своем	12	14
17	но в	7	14
18	в этом	40	12
19	в том	17	11
20	в их	5	11
21	в области	3	11
22	так и	13	10
23	в себе	9	9
24	прежде всего	17	9
25	только в	15	9
26	в смысле	4	9
27	так же	10	9
28	не может	31	9
29	с одной	1	8
30	в ее	4	8
31	в своей	17	8
32	между тем	5	8
33	было бы	10	8
34	думать что	1	8
35	к тому	1	8
36	так как	11	7
37	того что	4	7
38	как и	21	7
39	с другой	3	7
40	нам кажется	4	7
41	то есть	64	6
42	с этой	1	6
43	и даже	4	6
44	вслед за	1	6
45	и на	15	6
46	том что	15	6
47	вовсе не	13	6
48	во всех	8	6
49	может быть	38	6
50	того чтобы	5	6
51	для того	3	6
52	стороны и	1	6
53	то что	21	6
54	как бы	40	6
55	в той	9	5
56	как нам	2	5
57	тем самым	3	5
58	в виде	1	5
59	этой точки	3	5
60	не в	10	5
61	в россии	1	5
62	но не	13	5
63	от этого	2	5
64	со стороны	6	5
65	и потому	9	5
66	которую мы	1	5
67	же как	5	5
68	в частности	2	5
69	как мы	10	5
70	одной из	1	5
71	но если	1	5
72	и по	4	5
73	в самом	19	4
74	бы то	3	4
75	то в	1	4
76	мы не	3	4
77	даже в	7	4
78	ни было	4	4
79	того или	1	4
80	для нас	3	4
81	не на	6	4
82	чем в	3	4
83	и притом	3	4
84	само по	4	4
85	именно в	8	4
86	в процессе	4	4
87	по себе	13	4
88	не имеет	2	4
89	в каком	2	4
90	тем более	2	4
91	той или	3	4
92	не служит	2	4
93	в полной	1	4
94	вопрос о	4	4
95	но даже	1	4
96	лежат в	2	4
97	то ни	3	4
98	или иного	1	4
99	как совокупность	1	4
100	как это	2	4
101	несмотря на	7	4
102	к ней	1	4
103	в ней	8	4
104	сказать что	9	4
105	можно сказать	3	4
106	или иной	3	4
107	мира в	6	4
108	независимо от	1	4
109	и к	5	3
110	говорит о	1	3
111	но на	2	3
112	можно ли	1	3
113	в применении	1	3
114	из всех	1	3
115	в определенном	1	3
116	этом отношении	7	3
117	ее в	2	3
118	что и	10	3
119	в результате	6	3
120	мы можем	3	3
121	не является	2	3
122	себе не	1	3
123	можно было	5	3
124	на себя	3	3
125	дело в	1	3
126	тем что	5	3
127	в таком	2	3
128	вообще не	1	3
129	большинстве случаев	3	3
130	в пределы	4	3
131	как в	10	3
132	жизни в	3	3
133	мира и	8	3
134	и со	3	3
135	в которых	2	3
136	по своим	4	3
137	в известном	1	3
138	с другом	4	3
139	на своем	2	3
140	бы ни	1	3
141	в них	5	3
142	во всяком	5	3
143	ни на	2	3
144	бы и	6	3
145	во все	5	3
146	в данном	3	3
147	по нашему	5	3
148	идет о	5	3
149	в свою	1	3
150	не дает	4	3
151	потому что	20	3
152	и тем	2	3
153	во второй	1	3
154	не будет	1	3
155	и для	5	3
156	этом смысле	12	3
157	уже и	2	3
158	отметить что	2	3
159	себе в	1	3
160	в прошлом	1	3
161	известной степени	1	3
162	к ним	3	3
163	как на	4	3
164	известном смысле	1	3
165	в данной	1	3
166	в сфере	4	3
167	и от	3	3
168	место в	2	3
169	о том	5	3
170	и прежде	2	3
171	от них	3	3
172	мы видели	3	3
173	там где	12	3
174	и только	2	3
175	друг с	4	3
176	всяком случае	3	3
177	не из	3	3
178	того же	1	3
179	из них	8	3
180	никогда не	19	3
181	всего в	2	2
182	таким образом	22	2
183	и ту	1	2
184	именно к	2	2
185	и то	1	2
186	в другой	4	2
