N	4gram	Vinokur_Ku	EvropaiC
1	о котором идет речь	2	5
2	в том случае если	3	4
3	заключается в том что	2	3
4	в каждый данный момент	1	3
5	бы то ни было	1	3
6	о которых идет речь	1	3
7	одного и того же	2	3
8	что же касается до	1	2
9	несмотря на то что	1	2
10	для того чтобы быть	2	2
11	лишь в том случае	1	2
12	в то же время	4	2
13	состоит в том что	4	1
14	том случае если бы	1	1
15	с этой точки зрения	3	1
16	стоит в связи с	1	1
17	котором идет речь в	1	1
18	и в другом случае	1	1
19	но для того чтобы	1	1
20	в том и в	1	1
21	в самом широком смысле	2	1
22	что это действительно так	1	1
23	и в том и	1	1
24	есть ничто иное как	1	1
25	до сих пор еще	1	1
26	на то обстоятельство что	2	1
27	в широком смысле слова	1	1
28	в этом последнем случае	1	1
29	ни то ни другое	1	1
30	не говоря уже о	1	1
31	том и в другом	1	1
32	в том что он	3	1
33	не в том что	1	1
34	одно и то же	1	1
35	но с другой стороны	1	1
36	не трудно видеть что	1	1
37	то это потому что	1	1
38	говоря уже о том	1	1
39	дело в том что	1	1
40	и с точки зрения	1	1
41	только в том случае	2	1
42	а в том что	2	1
43	в тех случаях когда	2	1
44	о том что он	1	1
45	уже о том что	1	1
46	в зависимости от среды	1	1
47	в том что оно	2	1
48	одной и той же	1	1
49	также и то что	1	1
50	если бы нам удалось	1	1
51	в том или ином	1	1
