N	4gram	Trubetskoy	EvropaiC
1	о котором идет речь	2	5
2	в том случае если	3	4
3	которых мы говорили выше	1	4
4	о которых мы говорили	1	4
5	заключается в том что	1	3
6	в каждый данный момент	1	3
7	нечего и говорить что	1	3
8	бы то ни было	1	3
9	о которых идет речь	1	3
10	одного и того же	1	3
11	как бы то ни	1	2
12	несмотря на то что	1	2
13	лишь в том случае	2	2
14	в то же время	10	2
15	него похоже лучше а	1	1
16	племя его раса лучше	1	1
17	например тот факт что	1	1
18	мы говорили в начале	1	1
19	которое дальше отстоит от	1	1
20	лучше а то которое	1	1
21	и по сие время	1	1
22	только с точки зрения	1	1
23	то придется признать что	1	1
24	его племя его раса	1	1
25	из двух других существ	1	1
26	том что только они	1	1
27	и в другом случае	2	1
28	они люди что называли	1	1
29	в том и в	2	1
30	ярко выраженной эгоцентрической психологией	1	1
31	этот человек принадлежит признается	1	1
32	мы уже знаем что	1	1
33	были всегда столь наивно	1	1
34	других существ то которое	1	1
35	его раса лучше всех	1	1
36	лучше всех остальных подобных	1	1
37	и в том и	2	1
38	есть ничто иное как	1	1
39	него хуже поэтому всякая	1	1
40	что только они люди	1	1
41	уверены в том что	1	1
42	а то которое дальше	1	1
43	самой совершенной его семья	1	1
44	раса лучше всех остальных	1	1
45	человечеством свою культуру общечеловеческой	1	1
46	романогерманцы были всегда столь	1	1
47	на то что для	1	1
48	говорили в начале этой	1	1
49	хуже поэтому всякая естественная	1	1
50	наивно уверены в том	1	1
51	существ к которой этот	1	1
52	человек с ярко выраженной	1	1
53	всех существ из двух	1	1
54	его семья его сословие	1	1
55	том и в другом	2	1
56	всякая естественная группа существ	1	1
57	и более или менее	1	1
58	из всех существ из	1	1
59	семья его сословие его	1	1
60	к нему ближе более	1	1
61	создания лучшим наиболее совершенным	1	1
62	более на него похоже	1	1
63	похоже лучше а то	1	1
64	человек принадлежит признается им	1	1
65	мы уже указали выше	1	1
66	нему ближе более на	1	1
67	то которое дальше отстоит	1	1
68	отстоит от него хуже	1	1
69	таким образом оказывается что	1	1
70	называли себя человечеством свою	1	1
71	к которой этот человек	1	1
72	сходные друг с другом	1	1
73	естественная группа существ к	1	1
74	возможно лишь при условии	2	1
75	группа существ к которой	1	1
76	которое к нему ближе	1	1
77	что называли себя человечеством	1	1
78	всех остальных подобных им	1	1
79	не трудно видеть что	1	1
80	люди что называли себя	1	1
81	от него хуже поэтому	1	1
82	заключает в себе всегда	1	1
83	то это потому что	2	1
84	всегда столь наивно уверены	1	1
85	венцом создания лучшим наиболее	1	1
86	дело в том что	1	1
87	аспекта одного и того	1	1
88	эгоцентрической психологией бессознательно считает	1	1
89	общечеловеческой цивилизацией и наконец	1	1
90	и говорить что в	1	1
91	совершенным из всех существ	1	1
92	которой этот человек принадлежит	1	1
93	и с точки зрения	1	1
94	но не подлежит сомнению	1	1
95	в этом и состоит	1	1
96	и не может быть	1	1
97	существ из двух других	1	1
98	считает себя центром вселенной	1	1
99	друг с другом все	1	1
100	бессознательно считает себя центром	1	1
101	только в том случае	2	1
102	а в том что	1	1
103	к которой он принадлежит	1	1
104	наиболее совершенным из всех	1	1
105	им самой совершенной его	1	1
106	себя центром вселенной венцом	1	1
107	то которое к нему	1	1
108	в том числе и	1	1
109	выраженной эгоцентрической психологией бессознательно	1	1
110	вселенной венцом создания лучшим	1	1
111	только они люди что	1	1
112	древних галлов и германцев	1	1
113	существ то которое к	1	1
114	на него похоже лучше	1	1
115	ближе более на него	1	1
116	что ни одна из	1	1
117	свою культуру общечеловеческой цивилизацией	1	1
118	центром вселенной венцом создания	1	1
119	в том что только	1	1
120	дальше отстоит от него	1	1
121	принадлежит признается им самой	1	1
122	признается им самой совершенной	1	1
123	себя человечеством свою культуру	1	1
124	тем сильнее чем сильнее	1	1
125	столь наивно уверены в	1	1
126	именно с точки зрения	1	1
127	поэтому всякая естественная группа	1	1
128	двух других существ то	1	1
129	в том виде как	1	1
130	психологией бессознательно считает себя	1	1
131	совершенной его семья его	1	1
132	также и то что	1	1
133	с ярко выраженной эгоцентрической	1	1
134	лучшим наиболее совершенным из	1	1
135	совершенно таким же образом	2	1
136	культуру общечеловеческой цивилизацией и	1	1
