N	2gram	Tiupa_Narr	KulturaY
1	и т	3	143
2	т п	2	93
3	и в	22	84
4	в том	20	74
5	потому что	7	68
6	не только	50	60
7	точки зрения	8	59
8	в этом	23	57
9	было бы	2	53
10	и не	34	52
11	может быть	24	47
12	что в	6	44
13	том что	15	44
14	того чтобы	7	44
15	т д	1	42
16	в самом	8	41
17	для того	4	41
18	у нас	4	38
19	хотя бы	4	37
20	самом деле	4	37
21	так как	1	36
22	с точки	2	36
23	в области	4	34
24	таким образом	5	33
25	а не	27	33
26	если бы	9	32
27	можно было	2	32
28	не в	12	30
29	в его	12	30
30	прежде всего	7	30
31	все же	10	29
32	не менее	6	28
33	того что	7	28
34	все эти	3	28
35	уже не	11	26
36	в силу	5	26
37	то что	14	25
38	русского языка	1	25
39	вовсе не	2	25
40	не может	16	25
41	вопрос о	1	24
42	с другой	6	24
43	еще не	6	24
44	то же	12	23
45	с помощью	2	23
46	только в	23	23
47	так и	12	23
48	тем не	7	21
49	по себе	4	20
50	во всяком	2	20
51	и что	1	20
52	но и	39	20
53	тем что	1	19
54	о том	5	19
55	что он	7	19
56	зависимости от	3	19
57	языка и	1	19
58	всяком случае	2	19
59	но в	10	19
60	и с	3	18
61	с тем	1	18
62	к тому	13	18
63	в сущности	2	18
64	в качестве	27	18
65	связи с	3	18
66	между тем	5	18
67	вместе с	3	18
68	как бы	11	18
69	все это	1	18
70	в той	4	17
71	другой стороны	2	17
72	как это	7	17
73	что это	4	17
74	слова и	1	17
75	как раз	9	17
76	это не	6	17
77	в виду	2	16
78	в зависимости	3	16
79	что и	3	16
80	что не	2	16
81	тот же	1	16
82	ничего не	8	16
83	но не	7	16
84	при этом	31	15
85	именно в	5	15
86	в данном	17	15
87	как на	2	15
88	в нашем	4	15
89	не было	3	15
90	и тем	9	15
91	один из	8	15
92	по отношению	5	15
93	целый ряд	1	15
94	только потому	1	15
95	того как	1	15
96	а в	19	15
97	лишь в	3	15
98	должно быть	1	15
99	и на	5	14
100	сказать что	5	14
101	хотя и	8	14
102	в связи	3	14
103	я не	5	14
104	сих пор	3	14
105	в ней	5	14
106	до сих	3	14
107	как мы	3	14
108	мы имеем	6	14
109	также и	4	14
110	отношению к	5	14
111	что она	3	13
112	крайней мере	1	13
113	в этой	8	13
114	там где	1	13
115	не случайно	2	13
