N	3gram	Tiupa_Anal	Problemy
1	то же время	7	26
2	в то же	9	26
3	с точки зрения	6	25
4	по отношению к	9	18
5	и т п	3	18
6	в этом смысле	3	16
7	не может быть	17	14
8	с самим собою	1	14
9	но в то	2	11
10	до сих пор	1	10
11	в отношении к	1	10
12	в самом деле	3	9
13	с другой стороны	2	9
14	с самим собой	2	9
15	во всяком случае	1	9
16	в том что	13	8
17	и не может	4	8
18	друг с другом	2	8
19	сама по себе	1	7
20	как раз и	2	7
21	бы то ни	3	7
22	и в этом	4	7
23	между тем как	2	6
24	в отличие от	8	6
25	то ни было	3	6
26	том что он	2	6
27	в той или	3	5
28	ведь и сам	1	5
29	хотя бы и	1	5
30	сам по себе	1	5
31	в зависимости от	1	5
32	к тому же	6	5
33	той или иной	8	5
34	по крайней мере	4	5
35	подобно тому как	5	5
36	можно было бы	1	5
37	и не в	4	4
38	тем не менее	3	4
39	сами по себе	3	4
40	а между тем	1	4
41	более или менее	2	4
42	смысле этого слова	1	4
43	как если бы	1	4
44	о том что	8	4
45	как и в	2	4
46	в этом отношении	5	4
47	с ним и	1	4
48	а вовсе не	1	4
49	никак не может	1	3
50	в той же	1	3
51	можно сказать что	1	3
52	и то же	2	3
53	в данном случае	3	3
54	не только не	2	3
55	выходит за пределы	1	3
56	все без исключения	1	3
57	в том и	2	3
58	на то что	2	3
59	большей или меньшей	4	3
60	никогда не бывает	1	3
61	как бы уже	1	3
62	в эту минуту	1	3
63	и в самом	3	3
64	но и не	5	3
65	того и другого	2	3
66	а в то	2	3
67	на этот вопрос	1	3
68	в большей или	1	3
69	все же не	1	3
70	одно и то	2	3
71	или меньшей степени	1	3
72	в этом случае	4	3
73	как мы увидим	1	3
74	я и другого	2	2
75	этого слова в	1	2
76	как будто бы	1	2
77	уже не могут	1	2
78	в себе все	1	2
79	он не только	1	2
80	внутреннего и внешнего	2	2
81	но и на	1	2
82	или иной форме	1	2
83	в том же	1	2
84	для того чтобы	3	2
85	в свою очередь	1	2
86	а затем и	1	2
87	тот же самый	1	2
88	с оглядкой на	1	2
89	ибо и в	1	2
90	как бы не	2	2
91	чего бы то	1	2
92	в такой же	1	2
93	и в словах	1	2
94	вместе с тем	1	2
95	но ведь и	1	2
96	в том или	3	2
97	о том же	1	2
98	самим по себе	1	2
99	а не в	3	2
100	то же самое	3	2
101	на этот раз	1	2
102	к тому что	2	2
103	в этих случаях	1	2
104	как и его	1	2
105	от автора и	1	2
106	хотя он и	1	2
107	не столько в	1	2
108	о себе не	1	2
109	этой точки зрения	2	2
110	в пределы одного	1	2
111	что же касается	1	2
112	пределы одного сознания	1	2
113	какой бы то	2	2
114	как один из	1	2
115	и к тому	2	2
116	в художественном творчестве	1	2
117	в самом произведении	1	2
118	он может быть	1	2
119	в значительной степени	1	2
120	я не могу	1	2
121	и та же	1	2
122	не только в	3	2
123	же время оно	1	2
124	лишь одним из	1	2
125	одна и та	1	2
126	которого никогда не	1	2
127	и в сущности	1	2
128	в этом последнем	1	2
129	о мире и	1	2
